"TC_ID","TC_NAME","TC_LTR","TC_CS"
"TC_ID1","TC_NAME1764","6/17/2015","Failed"
"TC_ID4","TC_NAME3957","6/3/2015","Failed"
"TC_ID7","TC_NAME8604","7/2/2015","Failed"
"TC_ID11","TC_NAME6905","6/5/2015","Failed"
"TC_ID15","TC_NAME6836","6/16/2015","Failed"
"TC_ID16","TC_NAME2658","7/1/2015","Failed"
"TC_ID18","TC_NAME9885","7/9/2015","Failed"
"TC_ID20","TC_NAME661","6/1/2015","Failed"
"TC_ID21","TC_NAME2232","6/9/2015","Failed"
"TC_ID24","TC_NAME4804","6/26/2015","Failed"
"TC_ID27","TC_NAME455","6/25/2015","Failed"
"TC_ID33","TC_NAME6139","6/19/2015","Failed"
"TC_ID36","TC_NAME746","6/10/2015","Failed"
"TC_ID41","TC_NAME1631","6/18/2015","Failed"
"TC_ID44","TC_NAME9543","6/18/2015","Failed"
"TC_ID50","TC_NAME295","6/26/2015","Failed"
"TC_ID51","TC_NAME5966","6/24/2015","Failed"
"TC_ID55","TC_NAME381","6/15/2015","Failed"
"TC_ID58","TC_NAME6785","6/26/2015","Failed"
"TC_ID63","TC_NAME6364","7/1/2015","Failed"
"TC_ID65","TC_NAME9586","6/23/2015","Failed"
"TC_ID68","TC_NAME3573","6/1/2015","Failed"
"TC_ID69","TC_NAME5721","6/5/2015","Failed"
"TC_ID71","TC_NAME8164","6/18/2015","Failed"
"TC_ID73","TC_NAME1832","6/2/2015","Failed"
"TC_ID75","TC_NAME7723","6/22/2015","Failed"
"TC_ID76","TC_NAME1801","6/10/2015","Failed"
"TC_ID77","TC_NAME3972","6/30/2015","Failed"
"TC_ID78","TC_NAME4503","6/18/2015","Failed"
"TC_ID81","TC_NAME4414","6/23/2015","Failed"
"TC_ID85","TC_NAME2811","6/15/2015","Failed"
"TC_ID86","TC_NAME6071","6/30/2015","Failed"
"TC_ID90","TC_NAME8253","6/5/2015","Failed"
"TC_ID96","TC_NAME2554","6/24/2015","Failed"
"TC_ID98","TC_NAME8964","7/1/2015","Failed"
"TC_ID99","TC_NAME4","7/8/2015","Failed"
"TC_ID103","TC_NAME8404","6/1/2015","Failed"
"TC_ID104","TC_NAME1639","6/5/2015","Failed"
"TC_ID106","TC_NAME7388","6/15/2015","Failed"
"TC_ID108","TC_NAME2918","6/8/2015","Failed"
"TC_ID109","TC_NAME7424","7/8/2015","Failed"
"TC_ID110","TC_NAME4323","7/8/2015","Failed"
"TC_ID122","TC_NAME7811","6/12/2015","Failed"
"TC_ID124","TC_NAME3512","6/10/2015","Failed"
"TC_ID128","TC_NAME3560","6/23/2015","Failed"
"TC_ID131","TC_NAME6833","6/23/2015","Failed"
"TC_ID132","TC_NAME3058","7/14/2015","Failed"
"TC_ID134","TC_NAME811","6/10/2015","Failed"
"TC_ID135","TC_NAME6902","7/15/2015","Failed"
"TC_ID136","TC_NAME2492","6/11/2015","Failed"
