"BUGID","PRODUCT","COMPONENT","ASSIGNEE","STATUS","RESOLUTION","SUMMARY","CHANGED"
"1469052","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","""Open Containing Folder"" locks up Firefox","6/28/2018 22:38"
"1453520","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","Crash in AsyncShutdownTimeout | profile-before-change | JSON store: writing data,OS.File: flush I/O queued before profileBeforeChange","6/25/2018 10:08"
"864148","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","Download Manager: Provide a pre-warning if there is no enough disk space in the target location to complete an intended file download","6/22/2018 5:07"
"1445101","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","Use native GTK3 dialogs","6/7/2018 14:33"
"1440846","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","Firefox uses 60% of my CPU while downloading a file","6/7/2018 6:35"
"265126","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","downloader not actually downloading zero size file","5/25/2018 18:44"
"752440","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","Downloads panel needs ""queue to open when complete"" behaviour","5/2/2018 8:46"
"909760","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","Have download progress in Finder","3/22/2018 14:58"
"1440679","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","Firefox always show download ""Failed"" even if it downloads successfully","3/5/2018 8:55"
"838681","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","Figure out use-cases of the retention preference, and support them in the new downloads experience","3/5/2018 2:30"
"923244","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","In Firefox' new (impoverished) Downloads window, the date of the download is too old","2/27/2018 4:39"
"882176","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","The default action does not show up in the context menu of a download in the downloads library.","2/27/2018 4:07"
"901324","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","Private mode download option","2/18/2018 14:20"
"1101598","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","Use the origin of the blob in the download panel/window and not just 'blob'.","2/14/2018 6:29"
"630030","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","Clearing download results from the downloads dialog locks up the entire browser for the duration of the 'clear'.","2/7/2018 14:00"
"1068656","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","[userstory] Implement new Downloads Panel item state for items that can be unblocked","1/11/2018 15:16"
"726453","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","Improve accessibility and keyboard interaction","11/20/2017 4:47"
"961414","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","Pause and resume a large (4gb) download fails","10/10/2017 2:01"
"1401006","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","Change the visual animation for the download when the file size/time remaining is unknown","9/23/2017 8:37"
"858065","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","Add an option to automatically open ""about:downloads"" when a download starts","9/18/2017 9:15"
"402525","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","[10.5] Firefox attempts download to invalid folder on Leopard, fails","9/6/2017 15:38"
"1256457","Firefox","Downloads Panel","nobody@mozilla.org","UNCONFIRMED","---","Making more entries in the download window selectable","8/24/2017 6:44"
"984023","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","Show downloads notification in panel when the downloads button is in a panel and that panel is open","8/11/2017 17:19"
"929981","Firefox","Downloads Panel","nobody@mozilla.org","NEW","---","After drag&drop a downloaded item from Download Manager to another folder, open containing folder functionality is not working","8/10/2017 0:09"
