"R_ID","R_NAME","R_DESC","R_OWNER","R_STATUS"
"R_ID10","R_NAME425","sound of audible alarm0","Jay","Open"
"R_ID14","R_NAME308","If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).0","Caleb","Open"
"R_ID21","R_NAME1253","Each log entry shall have a time stamp81 with its time of occurrence.0","Alex","Open"
"R_ID31","R_NAME1904","Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.0","Caleb","Open"
"R_ID43","R_NAME311","If the drug volume in the reservoir measures less than Vlra = 1 ml, and an infusion is in progress, a low-reservoir warning100 shall be issued.0","Caleb","Open"
"R_ID46","R_NAME946","The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.0","Caleb","Open"
"R_ID52","R_NAME1018","The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.0","Alex","Open"
"R_ID54","R_NAME1513","Clinician-commanded bolus shall be halted when continuing to infuse prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0","Caleb","Open"
"R_ID55","R_NAME1801","When an occlusion alarm occurs, the pump shall be stopped immediately without completing the current pump stroke0","Caleb","Open"
"R_ID62","R_NAME55","Alarms shall be issued in order of occurrence.0","Caleb","Open"
"R_ID66","R_NAME1147","A real-time clock must produce timestamps accurate to 10 ms.0","Caleb","Open"
"R_ID68","R_NAME1523","Successfully masked faults shall be recorded in the Fault Log, but raise an alarm.0","Alex","Open"
"R_ID74","R_NAME655","The PCA pump shall detect downstream occlusion.0","Alex","Open"
"R_ID78","R_NAME952","Hardware faults that prevent operation of the Control Panel shall illuminate a hardware fault indicator (light-emitting diode).0","Caleb","Open"
"R_ID88","R_NAME710","Clinician-requested bolus delivery shall be immediately halted when alarms sound.0","Priya","Open"
"R_ID99","R_NAME1774","The Control Panel shall provide means to inactivate audible alarms temporarily for a predefined period of time.0","Caleb","Open"
"R_ID116","R_NAME727","The drug library102 can be thought of as a lookup table that, given a drug name and a location, provides typical and safe limits of different infusion parameters. The drug library shall be determined by an authorized and authenticated hospital pharmacist0","Alex","Open"
"R_ID118","R_NAME1319","The PCA pump must not leak current greater than 10 mA0","Jay","Open"
"R_ID122","R_NAME1753","When the stop button is pressed, the current pump stroke shall be completed prior to stopping the pump.0","Caleb","Open"
"R_ID165","R_NAME1173","The user interface must show that the PCA pump is working on battery backup, and an estimate of the number of minutes of battery-powered infusion remain.1","Caleb","Open"
"R_ID179","R_NAME1216","The minimum clinician-chosen duration for a clinician-requested bolus shall be the prescribed minimum number of minutes between consecutive patient-requested bolus deliveries, ?prb.1","Caleb","Open"
"R_ID183","R_NAME1654","A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.1","Alex","Open"
"R_ID192","R_NAME1502","An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.1","Caleb","Open"
"R_ID199","R_NAME1508","The PCA pump shall use a physician’s prescription as device parameters.1","Priya","Open"
"R_ID211","R_NAME1320","Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions1","Alex","Open"
"R_ID212","R_NAME1425","The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.31","Caleb","Open"
