"TC_ID","TC_NAME","TC_LTR","TC_CS"
"TC_ID2","TC_NAME2975","6/18/2015","Passed"
"TC_ID3","TC_NAME699","6/10/2015","Passed"
"TC_ID5","TC_NAME9523","7/3/2015","Passed"
"TC_ID6","TC_NAME5011","6/19/2015","Passed"
"TC_ID8","TC_NAME9881","6/4/2015","Passed"
"TC_ID9","TC_NAME1842","6/3/2015","Passed"
"TC_ID10","TC_NAME3051","6/29/2015","Passed"
"TC_ID12","TC_NAME2093","7/1/2015","Passed"
"TC_ID13","TC_NAME5945","6/12/2015","Passed"
"TC_ID14","TC_NAME8736","7/15/2015","Passed"
"TC_ID17","TC_NAME3229","6/17/2015","Passed"
"TC_ID19","TC_NAME2784","7/3/2015","Passed"
"TC_ID22","TC_NAME7931","7/1/2015","Passed"
"TC_ID23","TC_NAME2709","6/30/2015","Passed"
"TC_ID25","TC_NAME1275","6/12/2015","Passed"
"TC_ID26","TC_NAME7581","7/8/2015","Passed"
"TC_ID28","TC_NAME3366","6/1/2015","Passed"
"TC_ID29","TC_NAME500","6/23/2015","Passed"
"TC_ID30","TC_NAME3982","6/17/2015","Passed"
"TC_ID31","TC_NAME833","6/16/2015","Passed"
"TC_ID32","TC_NAME1351","6/9/2015","Passed"
"TC_ID34","TC_NAME7545","6/23/2015","Passed"
"TC_ID35","TC_NAME6175","7/13/2015","Passed"
"TC_ID37","TC_NAME5145","7/13/2015","Passed"
"TC_ID38","TC_NAME265","6/2/2015","Passed"
"TC_ID39","TC_NAME7522","6/24/2015","Passed"
"TC_ID40","TC_NAME2256","6/2/2015","Passed"
"TC_ID42","TC_NAME6774","6/23/2015","Passed"
"TC_ID43","TC_NAME7906","6/18/2015","Passed"
"TC_ID45","TC_NAME9016","6/30/2015","Passed"
"TC_ID46","TC_NAME2864","7/7/2015","Passed"
"TC_ID47","TC_NAME2989","6/24/2015","Passed"
"TC_ID48","TC_NAME9057","6/19/2015","Passed"
"TC_ID49","TC_NAME4911","7/10/2015","Passed"
"TC_ID52","TC_NAME6913","6/10/2015","Passed"
"TC_ID53","TC_NAME3228","7/10/2015","Passed"
"TC_ID54","TC_NAME1034","6/12/2015","Passed"
"TC_ID56","TC_NAME4843","6/5/2015","Passed"
"TC_ID57","TC_NAME9750","7/1/2015","Passed"
"TC_ID59","TC_NAME4417","6/5/2015","Passed"
"TC_ID60","TC_NAME6709","6/23/2015","Passed"
"TC_ID61","TC_NAME4841","6/17/2015","Passed"
"TC_ID62","TC_NAME2565","6/4/2015","Passed"
"TC_ID64","TC_NAME9826","6/26/2015","Passed"
"TC_ID66","TC_NAME1217","7/7/2015","Passed"
"TC_ID67","TC_NAME3587","6/3/2015","Passed"
"TC_ID70","TC_NAME1528","7/2/2015","Passed"
"TC_ID72","TC_NAME2770","7/10/2015","Passed"
"TC_ID74","TC_NAME6657","7/15/2015","Passed"
"TC_ID79","TC_NAME3620","6/25/2015","Passed"
"TC_ID80","TC_NAME7012","6/17/2015","Passed"
"TC_ID82","TC_NAME5537","7/6/2015","Passed"
"TC_ID83","TC_NAME5825","6/2/2015","Passed"
"TC_ID84","TC_NAME9455","6/22/2015","Passed"
"TC_ID87","TC_NAME6570","7/6/2015","Passed"
"TC_ID88","TC_NAME4059","6/1/2015","Passed"
"TC_ID89","TC_NAME7567","6/8/2015","Passed"
"TC_ID91","TC_NAME2536","6/19/2015","Passed"
"TC_ID92","TC_NAME9138","7/10/2015","Passed"
"TC_ID93","TC_NAME6117","6/2/2015","Passed"
"TC_ID94","TC_NAME4894","6/9/2015","Passed"
"TC_ID95","TC_NAME8315","6/8/2015","Passed"
"TC_ID97","TC_NAME7753","6/3/2015","Passed"
"TC_ID100","TC_NAME9049","6/12/2015","Passed"
"TC_ID101","TC_NAME8704","6/1/2015","Passed"
"TC_ID102","TC_NAME1191","7/13/2015","Passed"
"TC_ID105","TC_NAME5272","6/5/2015","Passed"
"TC_ID107","TC_NAME1376","6/22/2015","Passed"
"TC_ID111","TC_NAME3999","6/18/2015","Passed"
"TC_ID112","TC_NAME7521","6/4/2015","Passed"
"TC_ID113","TC_NAME1232","6/8/2015","Passed"
"TC_ID114","TC_NAME3895","6/2/2015","Passed"
"TC_ID115","TC_NAME8882","6/26/2015","Passed"
"TC_ID116","TC_NAME591","6/19/2015","Passed"
"TC_ID117","TC_NAME2656","6/18/2015","Passed"
"TC_ID118","TC_NAME9307","6/29/2015","Passed"
"TC_ID119","TC_NAME3303","6/2/2015","Passed"
"TC_ID120","TC_NAME5524","7/8/2015","Passed"
"TC_ID121","TC_NAME3535","6/17/2015","Passed"
"TC_ID123","TC_NAME5713","6/23/2015","Passed"
"TC_ID125","TC_NAME801","6/4/2015","Passed"
"TC_ID126","TC_NAME182","6/19/2015","Passed"
"TC_ID127","TC_NAME9011","7/9/2015","Passed"
"TC_ID129","TC_NAME213","7/8/2015","Passed"
"TC_ID130","TC_NAME567","6/10/2015","Passed"
"TC_ID133","TC_NAME901","7/14/2015","Passed"
"TC_ID137","TC_NAME4052","7/10/2015","Passed"
"TC_ID141","TC_NAME2000","7/1/2015","Passed"
"TC_ID143","TC_NAME1675","6/16/2015","Passed"
"TC_ID144","TC_NAME8578","7/14/2015","Passed"
"TC_ID148","TC_NAME3829","6/16/2015","Passed"
"TC_ID150","TC_NAME4578","7/9/2015","Passed"
"TC_ID152","TC_NAME3612","6/22/2015","Passed"
"TC_ID153","TC_NAME9294","6/2/2015","Passed"
"TC_ID154","TC_NAME6705","6/29/2015","Passed"
"TC_ID155","TC_NAME118","6/5/2015","Passed"
"TC_ID157","TC_NAME3935","6/30/2015","Passed"
"TC_ID158","TC_NAME1185","6/8/2015","Passed"
"TC_ID160","TC_NAME8976","6/10/2015","Passed"
"TC_ID161","TC_NAME201","6/22/2015","Passed"
"TC_ID163","TC_NAME5658","6/8/2015","Passed"
"TC_ID164","TC_NAME9848","6/10/2015","Passed"
"TC_ID165","TC_NAME5074","6/10/2015","Passed"
"TC_ID166","TC_NAME9050","7/7/2015","Passed"
"TC_ID167","TC_NAME5113","6/11/2015","Passed"
"TC_ID169","TC_NAME1614","6/4/2015","Passed"
"TC_ID171","TC_NAME2588","6/25/2015","Passed"
"TC_ID172","TC_NAME5316","6/11/2015","Passed"
"TC_ID173","TC_NAME1076","7/15/2015","Passed"
"TC_ID175","TC_NAME64","7/15/2015","Passed"
"TC_ID176","TC_NAME7611","6/22/2015","Passed"
"TC_ID177","TC_NAME4588","6/2/2015","Passed"
"TC_ID178","TC_NAME3484","6/12/2015","Passed"
"TC_ID179","TC_NAME1889","7/8/2015","Passed"
"TC_ID181","TC_NAME5197","7/3/2015","Passed"
"TC_ID182","TC_NAME8092","6/29/2015","Passed"
"TC_ID184","TC_NAME3213","7/6/2015","Passed"
"TC_ID185","TC_NAME5294","7/10/2015","Passed"
"TC_ID186","TC_NAME200","6/25/2015","Passed"
"TC_ID187","TC_NAME6887","7/1/2015","Passed"
"TC_ID189","TC_NAME8646","7/3/2015","Passed"
"TC_ID190","TC_NAME6137","7/7/2015","Passed"
"TC_ID191","TC_NAME4562","7/15/2015","Passed"
"TC_ID192","TC_NAME6769","6/3/2015","Passed"
"TC_ID195","TC_NAME8791","6/26/2015","Passed"
"TC_ID196","TC_NAME2719","6/12/2015","Passed"
"TC_ID197","TC_NAME2791","7/15/2015","Passed"
"TC_ID199","TC_NAME7964","6/12/2015","Passed"
"TC_ID201","TC_NAME1643","6/24/2015","Passed"
"TC_ID203","TC_NAME2484","6/9/2015","Passed"
"TC_ID204","TC_NAME1141","6/25/2015","Passed"
"TC_ID205","TC_NAME5704","7/15/2015","Passed"
"TC_ID206","TC_NAME5465","6/25/2015","Passed"
"TC_ID209","TC_NAME5123","6/18/2015","Passed"
"TC_ID212","TC_NAME4652","7/7/2015","Passed"
"TC_ID214","TC_NAME4986","6/23/2015","Passed"
"TC_ID215","TC_NAME1274","7/8/2015","Passed"
"TC_ID216","TC_NAME4314","7/14/2015","Passed"
"TC_ID217","TC_NAME2243","7/14/2015","Passed"
"TC_ID218","TC_NAME8500","6/17/2015","Passed"
"TC_ID219","TC_NAME8863","6/1/2015","Passed"
"TC_ID221","TC_NAME5048","7/2/2015","Passed"
"TC_ID222","TC_NAME1508","6/19/2015","Passed"
"TC_ID224","TC_NAME132","6/1/2015","Passed"
"TC_ID228","TC_NAME5659","7/9/2015","Passed"
"TC_ID231","TC_NAME3207","6/22/2015","Passed"
"TC_ID233","TC_NAME5653","6/2/2015","Passed"
"TC_ID234","TC_NAME4705","6/25/2015","Passed"
"TC_ID235","TC_NAME3586","7/15/2015","Passed"
"TC_ID236","TC_NAME2017","6/23/2015","Passed"
"TC_ID237","TC_NAME5509","6/15/2015","Passed"
"TC_ID238","TC_NAME5882","7/10/2015","Passed"
"TC_ID239","TC_NAME6014","6/23/2015","Passed"
"TC_ID240","TC_NAME3036","6/12/2015","Passed"
"TC_ID241","TC_NAME2736","6/30/2015","Passed"
"TC_ID242","TC_NAME819","7/10/2015","Passed"
"TC_ID243","TC_NAME9598","6/1/2015","Passed"
"TC_ID244","TC_NAME6138","6/16/2015","Passed"
"TC_ID246","TC_NAME3342","7/15/2015","Passed"
"TC_ID247","TC_NAME9386","6/17/2015","Passed"
"TC_ID248","TC_NAME4610","7/6/2015","Passed"
"TC_ID249","TC_NAME8105","6/10/2015","Passed"
"TC_ID250","TC_NAME5603","6/25/2015","Passed"
"TC_ID251","TC_NAME712","6/30/2015","Passed"
"TC_ID253","TC_NAME8670","6/10/2015","Passed"
"TC_ID255","TC_NAME9216","6/10/2015","Passed"
"TC_ID257","TC_NAME2883","6/18/2015","Passed"
"TC_ID258","TC_NAME5620","6/15/2015","Passed"
"TC_ID260","TC_NAME7553","6/15/2015","Passed"
"TC_ID263","TC_NAME2406","7/14/2015","Passed"
"TC_ID264","TC_NAME4243","7/10/2015","Passed"
"TC_ID265","TC_NAME4618","7/3/2015","Passed"
"TC_ID266","TC_NAME2269","6/15/2015","Passed"
"TC_ID267","TC_NAME2414","6/23/2015","Passed"
"TC_ID268","TC_NAME6685","6/4/2015","Passed"
"TC_ID269","TC_NAME8619","6/2/2015","Passed"
"TC_ID271","TC_NAME2283","6/15/2015","Passed"
"TC_ID272","TC_NAME3018","6/3/2015","Passed"
"TC_ID274","TC_NAME1978","6/9/2015","Passed"
"TC_ID276","TC_NAME2373","7/8/2015","Passed"
