"DID","AID"
"DID1","AID1446"
"DID1","AID3311"
"DID1","AID818"
"DID1","AID1839"
"DID5","AID1564"
"DID5","AID3912"
"DID6","AID1268"
"DID6","AID219"
"DID6","AID3604"
"DID7","AID228"
"DID7","AID2906"
"DID7","AID363"
"DID7","AID1756"
"DID11","AID382"
"DID11","AID2248"
"DID11","AID1048"
"DID11","AID3006"
"DID11","AID3956"
"DID11","AID378"
"DID12","AID1361"
"DID12","AID165"
"DID12","AID3966"
"DID12","AID213"
"DID12","AID1858"
"DID12","AID2728"
"DID13","AID3256"
"DID13","AID3486"
"DID13","AID3982"
"DID13","AID412"
"DID13","AID16"
"DID13","AID3160"
"DID14","AID3195"
"DID14","AID3517"
"DID14","AID947"
"DID14","AID1112"
"DID15","AID2556"
"DID15","AID2899"
"DID15","AID3375"
"DID15","AID2306"
"DID15","AID388"
"DID15","AID3906"
"DID15","AID614"
"DID17","AID3500"
"DID18","AID1653"
"DID18","AID2253"
"DID18","AID540"
"DID18","AID2719"
"DID19","AID3183"
"DID20","AID2320"
"DID20","AID3781"
"DID20","AID1436"
"DID20","AID3258"
"DID24","AID1416"
"DID25","AID576"
"DID25","AID2554"
"DID25","AID2871"
"DID25","AID309"
"DID25","AID238"
"DID25","AID2015"
"DID25","AID3311"
"DID27","AID3135"
"DID27","AID749"
"DID27","AID750"
"DID27","AID1807"
"DID27","AID3994"
"DID27","AID1853"
"DID28","AID2320"
"DID28","AID3781"
"DID28","AID2284"
"DID28","AID2971"
"DID28","AID556"
"DID28","AID950"
"DID28","AID1693"
"DID28","AID2673"
"DID28","AID3"
"DID28","AID3957"
"DID28","AID1666"
"DID28","AID2004"
"DID28","AID2293"
"DID28","AID2453"
"DID29","AID2327"
"DID29","AID346"
"DID29","AID3513"
"DID29","AID3544"
"DID29","AID1912"
"DID29","AID3678"
"DID29","AID3696"
"DID29","AID1187"
"DID29","AID362"
"DID30","AID2564"
"DID31","AID3220"
"DID31","AID1579"
"DID31","AID1710"
"DID31","AID2753"
"DID31","AID3690"
"DID31","AID929"
"DID31","AID2471"
"DID31","AID2574"
"DID31","AID3508"
"DID31","AID3568"
"DID33","AID1605"
"DID33","AID3944"
"DID35","AID1386"
"DID35","AID224"
"DID37","AID3449"
"DID37","AID3492"
"DID37","AID649"
"DID37","AID1740"
"DID37","AID2285"
"DID37","AID3673"
"DID37","AID783"
"DID38","AID2337"
"DID38","AID3605"
"DID40","AID1602"
"DID40","AID3749"
"DID42","AID1667"
"DID42","AID1809"
"DID43","AID255"
"DID43","AID317"
"DID45","AID2309"
"DID45","AID2702"
"DID45","AID3608"
"DID45","AID2659"
"DID45","AID2706"
"DID47","AID1942"
"DID47","AID2505"
"DID47","AID3274"
"DID47","AID3636"
"DID47","AID2221"
"DID47","AID449"
"DID48","AID1395"
"DID48","AID466"
"DID48","AID2638"
"DID48","AID3409"
"DID48","AID3800"
"DID48","AID467"
"DID48","AID1435"
"DID48","AID1685"
"DID48","AID2970"
"DID49","AID2932"
"DID49","AID594"
"DID49","AID3732"
"DID49","AID978"
"DID53","AID1416"
"DID55","AID1418"
"DID55","AID1587"
"DID55","AID3848"
"DID55","AID1943"
"DID56","AID1762"
"DID56","AID1904"
"DID56","AID2229"
"DID56","AID255"
"DID58","AID2208"
"DID58","AID2924"
"DID58","AID662"
"DID59","AID2692"
"DID60","AID1511"
"DID60","AID1679"
"DID60","AID3580"
"DID60","AID2594"
"DID60","AID3965"
"DID60","AID1425"
"DID60","AID2513"
"DID60","AID2892"
"DID60","AID3432"
"DID61","AID2213"
"DID61","AID1819"
"DID63","AID181"
"DID63","AID3326"
"DID63","AID3676"
"DID63","AID1826"
"DID63","AID2619"
"DID63","AID3454"
"DID63","AID3818"
"DID64","AID2836"
"DID64","AID2855"
"DID64","AID3126"
"DID67","AID1550"
"DID67","AID3833"
"DID70","AID671"
"DID71","AID1804"
"DID71","AID1872"
"DID71","AID2126"
"DID71","AID2717"
"DID71","AID3280"
"DID71","AID5"
"DID72","AID3219"
"DID72","AID924"
"DID72","AID2161"
"DID72","AID2848"
"DID72","AID3231"
"DID72","AID553"
"DID74","AID2659"
"DID74","AID2706"
"DID75","AID2671"
"DID76","AID2653"
"DID76","AID3337"
"DID76","AID902"
"DID76","AID1124"
"DID76","AID3161"
"DID76","AID3099"
"DID76","AID3869"
"DID77","AID3360"
"DID78","AID1172"
"DID79","AID2682"
"DID79","AID3176"
"DID79","AID3979"
"DID82","AID3018"
"DID82","AID3921"
"DID84","AID3620"
"DID84","AID3904"
"DID84","AID960"
"DID84","AID1028"
"DID84","AID655"
"DID84","AID200"
"DID84","AID1006"
"DID84","AID239"
"DID85","AID1704"
"DID85","AID2442"
"DID85","AID2715"
"DID85","AID922"
"DID85","AID154"
"DID86","AID1717"
"DID86","AID2406"
"DID86","AID2743"
"DID86","AID3854"
"DID86","AID3692"
"DID88","AID1121"
"DID88","AID2033"
"DID88","AID280"
"DID88","AID281"
"DID90","AID884"
"DID90","AID2248"
"DID90","AID1161"
"DID90","AID1252"
"DID90","AID2355"
"DID90","AID2873"
"DID90","AID662"
"DID92","AID771"
"DID92","AID1339"
"DID92","AID755"
"DID92","AID1800"
"DID93","AID3368"
"DID93","AID1708"
"DID93","AID2996"
"DID93","AID3343"
"DID94","AID2568"
"DID94","AID2304"
"DID94","AID3356"
"DID97","AID3047"
"DID97","AID3914"
"DID97","AID3551"
"DID97","AID3596"
"DID97","AID1203"
"DID97","AID3622"
