AID,BID
AID1,BID2801
AID1,BID3731
AID2,BID2858
AID2,BID3146
AID3,BID3045
AID3,BID3350
AID4,BID2529
AID4,BID627
AID5,BID1324
AID5,BID3382
AID5,BID3383
AID6,BID1127
AID6,BID1435
AID7,BID2620
AID7,BID2873
AID7,BID2955
AID8,BID2025
AID8,BID2159
AID8,BID3078
AID9,BID3190
AID9,BID3209
AID10,BID1792
AID10,BID2267
AID10,BID388
AID11,BID1053
AID11,BID1297
AID12,BID1186
AID12,BID2654
AID12,BID3822
AID13,BID234
AID13,BID3335
AID13,BID589
AID14,BID2747
AID14,BID2813
AID14,BID3316
AID14,BID3966
AID15,BID1121
AID15,BID2526
AID15,BID378
AID16,BID2888
AID16,BID2923
AID16,BID3436
AID17,BID1069
AID17,BID1558
AID17,BID703
AID18,BID1463
AID18,BID2194
AID18,BID2765
AID19,BID1152
AID19,BID1731
AID19,BID2728
AID20,BID1458
AID20,BID680
AID20,BID82
AID21,BID1152
AID21,BID1656
AID21,BID2639
AID22,BID1063
AID22,BID3397
AID23,BID2809
AID23,BID2923
AID24,BID1030
AID24,BID2321
AID24,BID2649
AID24,BID3299
AID25,BID20
AID25,BID3985
AID25,BID979
AID26,BID1237
AID26,BID2597
AID27,BID1033
AID27,BID3208
AID28,BID166
AID28,BID2900
AID28,BID961
AID29,BID2185
AID29,BID2780
AID30,BID3089
AID30,BID3327
AID31,BID1643
AID31,BID2420
AID32,BID1340
AID32,BID1669
AID32,BID358
AID33,BID1039
AID33,BID1361
AID34,BID1963
AID34,BID2765
AID35,BID633
AID35,BID90
AID35,BID921
AID36,BID1916
AID36,BID1938
AID36,BID2555
AID37,BID117
AID37,BID3540
AID38,BID54
AID38,BID763
AID39,BID1077
AID39,BID1171
AID39,BID2910
AID40,BID2929
AID40,BID2940
AID40,BID666
AID41,BID1032
AID41,BID1865
AID41,BID3634
AID42,BID3117
AID42,BID3216
AID43,BID1521
AID43,BID25
AID44,BID1617
AID44,BID525
AID45,BID2722
AID45,BID76
AID46,BID1756
AID46,BID2615
AID46,BID3657
AID47,BID2854
AID47,BID3824
AID48,BID3327
AID48,BID844
AID49,BID10
AID49,BID3613
AID50,BID1183
AID50,BID664
AID51,BID2593
AID51,BID831
AID52,BID1465
AID52,BID3600
AID52,BID621
