"AID","CID"
"AID243","CID1"
"AID1238","CID1"
"AID1926","CID1"
"AID950","CID1"
"AID1014","CID1"
"AID1716","CID1"
"AID1584","CID2"
"AID338","CID2"
"AID1487","CID2"
"AID1925","CID2"
"AID167","CID3"
"AID448","CID4"
"AID1105","CID4"
"AID921","CID5"
"AID1698","CID5"
"AID475","CID5"
"AID1403","CID8"
"AID1595","CID8"
"AID186","CID9"
"AID900","CID9"
"AID1848","CID9"
"AID432","CID11"
"AID287","CID12"
"AID540","CID12"
"AID1423","CID12"
"AID327","CID12"
"AID1747","CID13"
"AID490","CID14"
"AID1082","CID14"
"AID1848","CID14"
"AID833","CID15"
"AID413","CID15"
"AID416","CID15"
"AID890","CID15"
"AID1144","CID16"
"AID1687","CID16"
"AID260","CID17"
"AID940","CID17"
"AID827","CID18"
"AID1068","CID18"
"AID1595","CID18"
"AID934","CID19"
"AID1246","CID19"
"AID1503","CID19"
"AID1881","CID19"
"AID317","CID20"
"AID515","CID20"
"AID1613","CID20"
"AID81","CID20"
"AID1317","CID20"
"AID596","CID21"
"AID821","CID21"
"AID1311","CID21"
"AID1772","CID21"
"AID133","CID21"
"AID1538","CID22"
"AID944","CID23"
"AID1420","CID23"
"AID1699","CID23"
"AID1829","CID23"
"AID383","CID24"
"AID1969","CID24"
"AID83","CID24"
"AID586","CID24"
"AID1335","CID24"
"AID1634","CID24"
"AID390","CID25"
"AID14","CID25"
"AID1039","CID25"
"AID517","CID26"
"AID211","CID26"
"AID438","CID26"
"AID272","CID27"
"AID350","CID27"
"AID1280","CID27"
"AID1776","CID27"
"AID1307","CID27"
"AID1565","CID27"
"AID155","CID28"
"AID698","CID28"
"AID543","CID29"
"AID1393","CID29"
"AID1952","CID29"
"AID74","CID29"
"AID724","CID29"
"AID1870","CID29"
"AID1915","CID29"
"AID243","CID30"
"AID60","CID30"
"AID618","CID30"
"AID641","CID30"
"AID673","CID31"
"AID1121","CID31"
"AID973","CID32"
"AID810","CID33"
"AID865","CID33"
"AID1677","CID33"
"AID365","CID34"
"AID1006","CID34"
"AID1058","CID34"
"AID934","CID34"
"AID1246","CID34"
"AID1503","CID34"
"AID1881","CID34"
"AID1646","CID35"
"AID371","CID36"
"AID1307","CID36"
"AID1565","CID36"
"AID1421","CID37"
"AID1327","CID37"
"AID1453","CID37"
"AID1489","CID37"
"AID1692","CID37"
"AID954","CID38"
"AID502","CID39"
"AID1366","CID39"
"AID1890","CID40"
"AID1447","CID40"
"AID953","CID41"
"AID887","CID42"
"AID641","CID43"
"AID1009","CID43"
"AID1109","CID43"
"AID1118","CID43"
"AID1974","CID43"
"AID1223","CID44"
"AID988","CID45"
"AID1084","CID45"
"AID1481","CID45"
"AID650","CID46"
"AID601","CID47"
"AID1271","CID48"
"AID1250","CID48"
"AID1907","CID48"
"AID1547","CID49"
"AID127","CID51"
"AID1401","CID51"
"AID1567","CID51"
"AID390","CID53"
"AID455","CID55"
"AID762","CID55"
"AID773","CID55"
"AID674","CID56"
"AID907","CID56"
"AID1368","CID56"
"AID1827","CID57"
"AID1329","CID58"
"AID40","CID58"
"AID333","CID58"
"AID682","CID59"
"AID1442","CID59"
"AID1053","CID59"
"AID764","CID60"
"AID871","CID60"
"AID1015","CID60"
"AID1088","CID60"
"AID141","CID61"
"AID545","CID61"
"AID933","CID61"
"AID1787","CID61"
"AID269","CID61"
"AID991","CID61"
"AID1313","CID62"
"AID1665","CID62"
"AID1902","CID62"
"AID209","CID62"
"AID738","CID64"
"AID303","CID64"
"AID1419","CID65"
"AID490","CID66"
"AID1082","CID66"
"AID1848","CID66"
"AID393","CID66"
"AID712","CID66"
"AID739","CID66"
"AID470","CID67"
"AID1349","CID67"
"AID1137","CID68"
"AID1898","CID68"
"AID61","CID68"
"AID416","CID68"
"AID993","CID68"
"AID74","CID69"
"AID1536","CID69"
"AID768","CID71"
"AID1408","CID71"
"AID1676","CID71"
"AID1101","CID72"
"AID725","CID73"
"AID1711","CID73"
"AID528","CID73"
"AID1405","CID73"
"AID74","CID74"
"AID724","CID74"
"AID1870","CID74"
"AID1915","CID74"
"AID1585","CID74"
"AID1672","CID74"
"AID1819","CID75"
"AID1647","CID76"
"AID1851","CID76"
"AID1037","CID76"
"AID1117","CID76"
"AID1264","CID76"
"AID679","CID77"
"AID1249","CID77"
"AID1038","CID77"
"AID1502","CID77"
"AID1455","CID78"
"AID117","CID78"
"AID1563","CID78"
"AID426","CID79"
"AID68","CID79"
"AID163","CID79"
"AID207","CID79"
"AID1983","CID80"
"AID547","CID81"
"AID728","CID82"
"AID1151","CID83"
"AID1558","CID83"
"AID156","CID83"
"AID1187","CID83"
"AID606","CID84"
"AID960","CID84"
"AID1525","CID84"
"AID1935","CID84"
"AID1641","CID84"
"AID328","CID85"
"AID1707","CID85"
"AID514","CID86"
"AID821","CID86"
"AID1884","CID86"
"AID461","CID86"
"AID1528","CID87"
"AID1924","CID87"
"AID1101","CID88"
"AID1234","CID89"
"AID79","CID89"
"AID117","CID90"
"AID1125","CID90"
"AID1758","CID90"
"AID1576","CID90"
"AID1642","CID91"
"AID1127","CID91"
"AID185","CID92"
"AID1891","CID92"
"AID133","CID93"
"AID389","CID93"
"AID597","CID93"
"AID81","CID93"
"AID1657","CID93"
"AID656","CID94"
"AID535","CID94"
"AID1878","CID94"
"AID224","CID95"
"AID1599","CID95"
"AID46","CID95"
"AID1318","CID95"
"AID1518","CID95"
"AID1564","CID95"
"AID968","CID96"
"AID498","CID97"
"AID943","CID97"
"AID151","CID97"
"AID1373","CID97"
"AID1719","CID97"
"AID578","CID98"
"AID892","CID98"
"AID979","CID98"
"AID538","CID98"
"AID775","CID99"
"AID1800","CID99"
"AID138","CID100"
"AID751","CID100"
"AID211","CID101"
"AID438","CID101"
"AID704","CID102"
"AID93","CID102"
"AID731","CID103"
"AID1202","CID103"
"AID1465","CID103"
"AID1575","CID103"
"AID1469","CID103"
"AID43","CID104"
"AID1717","CID104"
"AID791","CID104"
"AID1553","CID104"
"AID115","CID105"
"AID1279","CID105"
"AID107","CID106"
"AID1249","CID107"
"AID12","CID108"
"AID745","CID108"
"AID1191","CID109"
"AID1257","CID109"
"AID1259","CID110"
"AID1376","CID110"
"AID958","CID111"
"AID1360","CID112"
"AID1611","CID112"
"AID1787","CID112"
"AID147","CID113"
"AID1841","CID113"
"AID1354","CID113"
"AID953","CID115"
"AID229","CID116"
"AID668","CID116"
"AID792","CID116"
"AID1873","CID116"
"AID1263","CID117"
"AID770","CID117"
"AID1515","CID117"
"AID1781","CID117"
"AID1772","CID118"
"AID951","CID118"
"AID593","CID119"
"AID860","CID119"
"AID1777","CID119"
"AID1642","CID120"
"AID752","CID120"
"AID961","CID122"
"AID273","CID122"
"AID494","CID123"
"AID665","CID123"
"AID1208","CID124"
"AID1970","CID124"
"AID711","CID125"
"AID1483","CID125"
"AID280","CID125"
"AID436","CID125"
"AID1533","CID125"
"AID1094","CID126"
"AID1254","CID127"
"AID1872","CID127"
"AID132","CID127"
"AID1556","CID128"
"AID1257","CID129"
"AID1621","CID129"
"AID1863","CID129"
"AID1897","CID129"
"AID221","CID130"
"AID74","CID130"
"AID1536","CID130"
"AID989","CID131"
"AID1897","CID131"
"AID383","CID132"
"AID483","CID132"
"AID275","CID132"
"AID759","CID132"
"AID314","CID133"
"AID1498","CID133"
"AID1509","CID133"
"AID643","CID134"
"AID1406","CID135"
"AID1835","CID135"
"AID1368","CID135"
"AID1802","CID135"
"AID728","CID136"
"AID1037","CID136"
"AID1067","CID137"
"AID404","CID138"
"AID1363","CID138"
"AID1562","CID138"
"AID1680","CID138"
"AID209","CID138"
"AID936","CID139"
"AID939","CID139"
"AID666","CID140"
"AID68","CID141"
"AID314","CID142"
"AID1104","CID142"
"AID676","CID143"
"AID1014","CID143"
"AID1086","CID144"
"AID1119","CID144"
"AID1963","CID144"
"AID612","CID145"
"AID1530","CID145"
"AID626","CID146"
"AID1793","CID146"
"AID1036","CID147"
"AID1662","CID147"
"AID46","CID148"
"AID1362","CID150"
"AID1456","CID150"
"AID1906","CID151"
"AID386","CID151"
"AID392","CID151"
"AID1227","CID151"
"AID870","CID152"
"AID926","CID152"
"AID1214","CID152"
"AID1498","CID152"
"AID650","CID152"
"AID878","CID152"
"AID1329","CID153"
"AID894","CID154"
"AID193","CID155"
"AID1247","CID155"
"AID1725","CID156"
"AID1066","CID156"
"AID1942","CID157"
"AID478","CID157"
"AID992","CID158"
"AID1468","CID158"
"AID1690","CID158"
"AID1892","CID158"
"AID1030","CID158"
"AID1059","CID159"
"AID1511","CID159"
"AID1232","CID160"
"AID402","CID161"
"AID509","CID161"
"AID80","CID161"
"AID841","CID162"
"AID1904","CID162"
"AID1871","CID162"
"AID596","CID163"
"AID173","CID164"
"AID1945","CID164"
"AID1461","CID165"
"AID1082","CID165"
"AID40","CID166"
"AID130","CID166"
"AID1333","CID166"
"AID1692","CID167"
"AID982","CID168"
"AID1659","CID168"
"AID1010","CID169"
"AID1212","CID169"
"AID110","CID170"
"AID678","CID170"
"AID1634","CID170"
"AID114","CID171"
"AID152","CID171"
"AID621","CID171"
"AID143","CID171"
"AID1930","CID171"
"AID919","CID172"
"AID972","CID172"
"AID1051","CID172"
"AID1784","CID172"
"AID1827","CID173"
"AID635","CID173"
"AID1592","CID173"
"AID1762","CID173"
"AID434","CID174"
"AID706","CID174"
"AID1926","CID174"
"AID144","CID174"
"AID628","CID174"
"AID244","CID175"
"AID1356","CID175"
"AID1813","CID175"
"AID1013","CID176"
"AID1919","CID176"
"AID839","CID176"
"AID752","CID177"
"AID690","CID177"
"AID1192","CID177"
"AID1019","CID178"
"AID41","CID178"
"AID1098","CID178"
"AID308","CID179"
"AID337","CID179"
"AID796","CID179"
"AID187","CID179"
"AID1981","CID179"
"AID225","CID180"
"AID709","CID180"
"AID348","CID181"
"AID1121","CID181"
"AID1800","CID181"
"AID1915","CID182"
"AID108","CID182"
"AID245","CID183"
"AID1921","CID184"
"AID473","CID186"
"AID1635","CID186"
"AID1755","CID186"
"AID256","CID186"
"AID387","CID187"
"AID167","CID187"
"AID560","CID189"
"AID1324","CID189"
"AID1531","CID189"
"AID162","CID190"
"AID439","CID190"
"AID654","CID190"
"AID1379","CID190"
"AID865","CID190"
"AID1504","CID191"
"AID253","CID191"
"AID270","CID191"
"AID956","CID191"
"AID1122","CID191"
"AID1806","CID191"
"AID1820","CID192"
"AID1073","CID192"
"AID1217","CID193"
"AID214","CID193"
"AID560","CID194"
"AID864","CID194"
"AID1040","CID194"
"AID1494","CID194"
"AID1505","CID194"
"AID150","CID194"
"AID1631","CID194"
"AID1187","CID195"
"AID368","CID196"
"AID512","CID196"
"AID1929","CID196"
"AID255","CID197"
"AID24","CID197"
"AID74","CID197"
"AID451","CID197"
"AID582","CID197"
"AID909","CID197"
"AID919","CID198"
"AID972","CID198"
"AID1051","CID198"
"AID1784","CID198"
"AID52","CID198"
"AID413","CID198"
"AID890","CID199"
"AID1551","CID199"
"AID1803","CID199"
"AID603","CID200"
"AID1590","CID200"
"AID1101","CID200"
"AID805","CID201"
"AID1769","CID201"
"AID1942","CID201"
"AID1103","CID202"
"AID419","CID202"
"AID1283","CID202"
"AID1785","CID203"
"AID812","CID204"
"AID1351","CID205"
"AID1999","CID207"
"AID202","CID207"
"AID1329","CID207"
"AID1960","CID207"
"AID1346","CID208"
"AID1752","CID208"
"AID1348","CID209"
"AID475","CID209"
"AID174","CID210"
"AID1895","CID210"
"AID1575","CID211"
"AID1652","CID211"
"AID1753","CID212"
"AID1764","CID212"
"AID1795","CID212"
"AID970","CID213"
"AID1566","CID213"
"AID1964","CID214"
"AID308","CID215"
"AID1530","CID215"
"AID342","CID216"
"AID662","CID216"
"AID1212","CID216"
"AID1511","CID216"
"AID253","CID217"
"AID1180","CID217"
"AID1551","CID217"
"AID67","CID218"
"AID769","CID218"
"AID795","CID218"
"AID1326","CID218"
"AID916","CID219"
"AID1075","CID219"
"AID1964","CID219"
"AID2","CID219"
"AID531","CID219"
"AID731","CID220"
"AID1202","CID220"
"AID1465","CID220"
"AID1575","CID220"
"AID25","CID220"
"AID1200","CID220"
"AID1378","CID220"
"AID77","CID221"
"AID627","CID221"
"AID823","CID221"
"AID1342","CID222"
"AID24","CID223"
"AID74","CID223"
"AID451","CID223"
"AID582","CID223"
"AID909","CID223"
"AID1457","CID223"
"AID375","CID224"
"AID569","CID224"
"AID111","CID224"
"AID719","CID224"
"AID77","CID225"
"AID627","CID225"
"AID402","CID226"
"AID509","CID226"
"AID298","CID226"
"AID137","CID227"
"AID688","CID227"
"AID897","CID227"
"AID239","CID229"
"AID243","CID230"
"AID1238","CID230"
"AID1926","CID230"
"AID1148","CID230"
"AID1767","CID230"
"AID514","CID231"
"AID1091","CID231"
"AID295","CID233"
"AID1622","CID233"
"AID1291","CID233"
"AID299","CID234"
"AID889","CID234"
"AID1538","CID235"
"AID1543","CID235"
"AID1089","CID236"
"AID323","CID237"
"AID866","CID237"
"AID1949","CID237"
"AID123","CID238"
"AID540","CID238"
"AID81","CID239"
"AID151","CID239"
"AID1938","CID239"
"AID110","CID241"
"AID206","CID241"
"AID284","CID241"
"AID374","CID241"
"AID1013","CID242"
"AID206","CID243"
"AID531","CID243"
"AID869","CID244"
"AID567","CID244"
"AID8","CID245"
"AID611","CID245"
"AID807","CID245"
"AID1552","CID245"
"AID927","CID246"
"AID958","CID246"
"AID48","CID246"
"AID1038","CID246"
"AID1988","CID246"
"AID450","CID247"
"AID649","CID248"
"AID308","CID248"
"AID337","CID248"
"AID796","CID248"
"AID1850","CID250"
"AID514","CID250"
"AID14","CID251"
"AID990","CID251"
"AID1767","CID252"
"AID807","CID252"
"AID812","CID253"
"AID918","CID253"
"AID1189","CID253"
"AID625","CID254"
"AID1820","CID254"
"AID1263","CID254"
"AID215","CID255"
"AID1677","CID255"
"AID1906","CID255"
"AID1330","CID256"
"AID278","CID256"
"AID1998","CID256"
"AID1845","CID257"
"AID358","CID257"
"AID864","CID257"
"AID1020","CID257"
"AID1383","CID257"
"AID1496","CID257"
"AID1515","CID258"
"AID622","CID258"
"AID1975","CID259"
"AID483","CID259"
"AID874","CID259"
"AID1244","CID260"
"AID325","CID260"
"AID21","CID261"
"AID667","CID261"
"AID1485","CID261"
"AID858","CID261"
"AID1428","CID261"
"AID1743","CID261"
"AID1823","CID261"
"AID83","CID262"
"AID500","CID262"
"AID882","CID262"
"AID905","CID262"
"AID57","CID263"
"AID697","CID263"
"AID989","CID263"
"AID1844","CID264"
"AID306","CID265"
"AID1539","CID265"
"AID581","CID266"
"AID1324","CID266"
"AID1628","CID267"
"AID1637","CID267"
"AID1062","CID268"
"AID1348","CID268"
"AID158","CID270"
"AID1052","CID270"
"AID1372","CID270"
"AID1979","CID270"
"AID457","CID271"
"AID1029","CID271"
"AID1556","CID271"
"AID972","CID272"
"AID1694","CID272"
"AID810","CID272"
"AID1360","CID273"
"AID1611","CID273"
"AID482","CID274"
"AID884","CID274"
"AID450","CID275"
"AID254","CID275"
"AID850","CID275"
"AID1665","CID275"
"AID1033","CID277"
"AID1055","CID278"
"AID1955","CID278"
"AID203","CID280"
"AID691","CID280"
"AID317","CID281"
"AID1988","CID281"
"AID547","CID282"
"AID404","CID282"
"AID271","CID283"
"AID1618","CID283"
"AID858","CID283"
"AID1005","CID283"
"AID1391","CID283"
"AID1733","CID285"
"AID1945","CID285"
"AID1027","CID285"
"AID1337","CID285"
"AID459","CID286"
"AID563","CID286"
"AID1789","CID286"
"AID1908","CID286"
"AID1383","CID287"
"AID456","CID287"
"AID1150","CID287"
"AID46","CID288"
"AID1344","CID288"
"AID402","CID289"
"AID509","CID289"
"AID1306","CID291"
"AID1394","CID291"
"AID1298","CID292"
"AID1941","CID292"
"AID1686","CID292"
"AID1555","CID293"
"AID1173","CID293"
"AID1177","CID293"
"AID734","CID294"
"AID1527","CID294"
"AID803","CID294"
"AID1134","CID294"
"AID990","CID296"
"AID1862","CID296"
"AID156","CID296"
"AID1976","CID296"
"AID36","CID297"
"AID961","CID297"
"AID742","CID298"
"AID414","CID299"
"AID785","CID299"
"AID31","CID300"
"AID1999","CID300"
"AID952","CID300"
"AID173","CID301"
"AID347","CID301"
"AID379","CID301"
"AID1456","CID301"
"AID1550","CID301"
"AID1449","CID301"
"AID977","CID303"
"AID53","CID303"
"AID1567","CID303"
"AID1965","CID303"
"AID756","CID304"
"AID1924","CID304"
"AID1455","CID304"
"AID953","CID305"
"AID1735","CID305"
"AID57","CID306"
"AID697","CID306"
"AID989","CID306"
"AID127","CID306"
"AID1041","CID306"
"AID1869","CID306"
"AID61","CID307"
"AID1711","CID307"
"AID1903","CID307"
"AID1271","CID309"
"AID375","CID310"
"AID569","CID310"
"AID342","CID311"
"AID662","CID311"
"AID1212","CID311"
"AID1511","CID311"
"AID1813","CID313"
"AID1084","CID313"
"AID388","CID314"
"AID741","CID314"
"AID1732","CID314"
"AID1795","CID314"
"AID1919","CID315"
"AID209","CID316"
"AID1746","CID316"
