"BID","DID"
"BID538","DID1"
"BID582","DID1"
"BID1134","DID1"
"BID1181","DID7"
"BID2975","DID7"
"BID4","DID11"
"BID2514","DID11"
"BID1003","DID12"
"BID701","DID13"
"BID1636","DID13"
"BID2127","DID14"
"BID2762","DID14"
"BID2515","DID25"
"BID1672","DID27"
"BID2313","DID27"
"BID1502","DID29"
"BID1986","DID29"
"BID2492","DID29"
"BID292","DID31"
"BID1291","DID31"
"BID1484","DID31"
"BID1756","DID31"
"BID1307","DID35"
"BID137","DID37"
"BID678","DID37"
"BID1323","DID37"
"BID2241","DID37"
"BID2074","DID38"
"BID868","DID45"
"BID1742","DID45"
"BID680","DID56"
"BID1351","DID58"
"BID2929","DID58"
"BID2497","DID63"
"BID856","DID63"
"BID2781","DID63"
"BID1075","DID76"
"BID1449","DID76"
"BID1555","DID76"
"BID1587","DID76"
"BID246","DID78"
"BID1162","DID82"
"BID1946","DID85"
"BID759","DID86"
"BID2180","DID86"
"BID2336","DID88"
"BID1485","DID90"
"BID1894","DID90"
"BID267","DID98"
"BID1070","DID98"
"BID2209","DID98"
"BID2434","DID98"
"BID541","DID102"
"BID2897","DID106"
"BID2014","DID107"
"BID2478","DID107"
"BID187","DID109"
"BID532","DID109"
"BID720","DID109"
"BID1395","DID112"
"BID2502","DID112"
"BID363","DID118"
"BID1507","DID119"
"BID2185","DID119"
"BID2854","DID119"
"BID605","DID124"
"BID2168","DID124"
"BID765","DID125"
"BID1855","DID128"
"BID667","DID131"
"BID2545","DID131"
"BID2777","DID131"
"BID2494","DID132"
"BID516","DID141"
"BID2197","DID142"
"BID655","DID143"
"BID2860","DID143"
"BID2645","DID145"
"BID629","DID146"
"BID2511","DID146"
"BID2176","DID147"
"BID437","DID148"
"BID2302","DID148"
"BID1638","DID148"
"BID1685","DID148"
"BID1696","DID150"
"BID1944","DID150"
"BID707","DID153"
"BID1062","DID153"
"BID1414","DID153"
"BID380","DID157"
"BID622","DID157"
"BID1346","DID157"
"BID1562","DID157"
"BID1802","DID157"
"BID2265","DID157"
"BID838","DID158"
"BID1048","DID158"
"BID600","DID168"
"BID2407","DID168"
"BID2573","DID168"
"BID898","DID172"
"BID1801","DID174"
"BID393","DID181"
"BID790","DID187"
"BID1891","DID190"
"BID252","DID192"
"BID29","DID203"
"BID1898","DID203"
"BID1938","DID206"
"BID1652","DID207"
"BID1007","DID207"
"BID1596","DID208"
"BID2407","DID208"
"BID2654","DID208"
"BID217","DID211"
"BID1172","DID211"
"BID2071","DID212"
"BID918","DID214"
"BID941","DID214"
"BID942","DID214"
"BID1087","DID214"
"BID2244","DID214"
"BID2301","DID214"
"BID1164","DID214"
"BID2375","DID214"
"BID133","DID218"
"BID2491","DID218"
"BID856","DID219"
"BID2781","DID219"
"BID1102","DID220"
"BID1352","DID220"
"BID727","DID220"
"BID719","DID221"
"BID1509","DID221"
"BID2777","DID221"
"BID666","DID222"
"BID1689","DID222"
"BID1433","DID224"
"BID1855","DID224"
"BID894","DID225"
"BID547","DID228"
"BID1486","DID229"
"BID1680","DID231"
"BID413","DID242"
"BID2546","DID242"
"BID1070","DID242"
"BID1175","DID242"
"BID157","DID244"
"BID718","DID245"
"BID1119","DID245"
"BID1520","DID245"
"BID1934","DID245"
"BID2962","DID245"
"BID2357","DID252"
"BID1580","DID252"
"BID954","DID253"
"BID2678","DID253"
"BID1234","DID254"
"BID900","DID255"
"BID2545","DID255"
"BID2083","DID257"
"BID83","DID263"
"BID2057","DID263"
"BID2319","DID263"
"BID1921","DID265"
"BID14","DID265"
"BID1955","DID268"
"BID2248","DID268"
"BID1491","DID283"
"BID2573","DID283"
"BID1476","DID285"
"BID2172","DID285"
"BID2335","DID285"
"BID2068","DID286"
"BID2226","DID286"
"BID805","DID288"
"BID128","DID289"
"BID1112","DID289"
"BID2073","DID291"
"BID2990","DID291"
"BID2940","DID291"
"BID1617","DID291"
"BID1007","DID294"
"BID178","DID300"
"BID613","DID300"
"BID2458","DID300"
"BID411","DID300"
"BID2539","DID300"
"BID1143","DID302"
"BID1459","DID302"
"BID1595","DID302"
"BID1799","DID302"
"BID1521","DID304"
"BID1681","DID306"
"BID464","DID308"
"BID2923","DID308"
"BID1707","DID309"
"BID2365","DID309"
"BID2600","DID310"
"BID1159","DID318"
"BID1580","DID320"
"BID204","DID323"
"BID881","DID323"
"BID2200","DID324"
"BID1023","DID325"
"BID2280","DID325"
"BID205","DID327"
"BID1297","DID327"
"BID1515","DID327"
"BID377","DID327"
"BID2139","DID327"
"BID1529","DID328"
"BID402","DID331"
"BID608","DID331"
"BID1017","DID331"
"BID1188","DID331"
"BID539","DID336"
"BID1332","DID336"
"BID1240","DID341"
"BID1184","DID344"
"BID2194","DID345"
"BID1117","DID346"
"BID2357","DID346"
"BID222","DID353"
"BID818","DID353"
"BID2103","DID354"
"BID2778","DID354"
"BID1680","DID355"
"BID732","DID356"
"BID2845","DID356"
"BID997","DID356"
"BID1906","DID356"
"BID1652","DID357"
"BID2597","DID360"
"BID869","DID364"
"BID1338","DID364"
"BID1741","DID364"
"BID1419","DID367"
"BID1540","DID367"
"BID1620","DID367"
"BID2394","DID367"
"BID62","DID368"
"BID1159","DID368"
"BID1438","DID368"
"BID2159","DID368"
"BID1309","DID369"
"BID1407","DID369"
"BID612","DID370"
"BID2117","DID370"
"BID2782","DID370"
"BID898","DID371"
"BID1","DID373"
"BID384","DID375"
"BID1917","DID375"
"BID277","DID377"
"BID1502","DID377"
"BID1707","DID380"
"BID549","DID380"
"BID2471","DID380"
"BID1099","DID386"
"BID2589","DID386"
"BID2273","DID389"
"BID993","DID391"
"BID1322","DID391"
"BID136","DID394"
"BID149","DID394"
"BID968","DID396"
"BID1587","DID396"
"BID2465","DID400"
"BID137","DID400"
"BID678","DID400"
"BID1323","DID400"
"BID2241","DID400"
"BID1079","DID402"
"BID1782","DID402"
"BID2634","DID402"
"BID2709","DID402"
"BID765","DID405"
"BID280","DID406"
"BID2621","DID406"
"BID2497","DID410"
"BID1476","DID413"
"BID2172","DID413"
"BID2335","DID413"
"BID2290","DID413"
"BID721","DID417"
"BID1833","DID418"
"BID2310","DID418"
"BID350","DID422"
"BID1886","DID422"
"BID2520","DID422"
"BID2063","DID426"
"BID2198","DID426"
"BID717","DID427"
"BID2592","DID427"
"BID43","DID428"
"BID100","DID429"
"BID1582","DID431"
"BID2214","DID431"
"BID1463","DID431"
"BID1613","DID431"
"BID1216","DID437"
"BID2651","DID437"
"BID1794","DID439"
"BID1424","DID443"
"BID2934","DID446"
"BID206","DID446"
"BID284","DID446"
"BID1633","DID446"
"BID1954","DID446"
"BID925","DID447"
"BID1650","DID447"
"BID1673","DID447"
"BID1133","DID452"
"BID854","DID453"
"BID1655","DID460"
"BID1486","DID461"
"BID2335","DID463"
"BID2911","DID464"
"BID2213","DID466"
"BID1811","DID468"
"BID1855","DID471"
"BID678","DID475"
"BID750","DID477"
"BID1364","DID477"
"BID1003","DID480"
"BID1502","DID480"
"BID1986","DID480"
"BID2492","DID480"
"BID907","DID482"
"BID1014","DID482"
"BID2487","DID482"
"BID30","DID490"
"BID13","DID491"
"BID1316","DID492"
"BID2603","DID492"
"BID2966","DID493"
"BID805","DID496"
"BID1004","DID496"
"BID440","DID497"
"BID1267","DID497"
"BID1506","DID500"
"BID2814","DID500"
"BID311","DID500"
"BID1198","DID500"
"BID1450","DID501"
"BID1543","DID501"
"BID1855","DID502"
"BID2795","DID508"
"BID1369","DID509"
"BID1727","DID509"
"BID1852","DID509"
"BID350","DID514"
"BID1886","DID514"
"BID2520","DID514"
"BID1899","DID517"
"BID1184","DID518"
"BID2720","DID519"
"BID371","DID521"
"BID715","DID521"
"BID1879","DID524"
"BID2071","DID525"
"BID704","DID526"
"BID2678","DID526"
"BID114","DID526"
"BID1676","DID526"
"BID1522","DID529"
"BID1506","DID533"
"BID2814","DID533"
"BID367","DID535"
"BID2081","DID535"
"BID975","DID535"
"BID1492","DID535"
"BID1238","DID536"
"BID656","DID536"
"BID2421","DID536"
"BID2754","DID536"
"BID50","DID540"
"BID142","DID540"
"BID2125","DID540"
"BID1889","DID550"
"BID1612","DID552"
"BID2525","DID552"
"BID2772","DID552"
"BID1696","DID553"
"BID1944","DID553"
"BID2842","DID555"
"BID62","DID556"
"BID1617","DID556"
"BID253","DID558"
"BID1652","DID559"
"BID228","DID560"
"BID47","DID562"
"BID978","DID562"
"BID1459","DID562"
"BID2606","DID562"
"BID593","DID566"
"BID2134","DID569"
"BID2580","DID569"
"BID2017","DID572"
"BID1424","DID573"
"BID618","DID581"
"BID1133","DID581"
"BID2633","DID586"
"BID519","DID591"
"BID1941","DID592"
"BID2467","DID592"
"BID2561","DID592"
"BID1852","DID594"
"BID2552","DID594"
"BID1930","DID596"
"BID617","DID598"
"BID1036","DID598"
"BID1154","DID598"
"BID389","DID603"
"BID868","DID603"
"BID1742","DID603"
"BID1413","DID603"
"BID2146","DID603"
"BID2845","DID603"
"BID1330","DID607"
"BID1847","DID609"
"BID387","DID613"
"BID550","DID616"
"BID237","DID617"
"BID479","DID617"
"BID2229","DID617"
"BID1941","DID619"
"BID2467","DID619"
"BID2561","DID619"
"BID589","DID623"
"BID822","DID623"
"BID991","DID623"
"BID194","DID625"
"BID271","DID635"
"BID2433","DID636"
"BID1465","DID636"
"BID56","DID636"
"BID1308","DID636"
"BID826","DID637"
"BID1313","DID643"
"BID1712","DID643"
"BID2978","DID643"
"BID721","DID644"
"BID719","DID646"
"BID1509","DID646"
"BID2777","DID646"
"BID1093","DID664"
"BID765","DID666"
"BID1062","DID666"
"BID919","DID668"
"BID2882","DID668"
"BID2976","DID670"
"BID849","DID673"
"BID2758","DID673"
"BID415","DID675"
"BID730","DID675"
"BID1730","DID676"
"BID2690","DID676"
"BID777","DID682"
"BID910","DID682"
"BID2974","DID682"
"BID539","DID686"
"BID1870","DID686"
"BID2533","DID687"
"BID2537","DID687"
"BID2884","DID687"
"BID64","DID687"
"BID2999","DID694"
"BID565","DID700"
"BID1589","DID700"
"BID2357","DID700"
"BID1640","DID700"
"BID2329","DID700"
"BID1508","DID701"
"BID1863","DID701"
"BID1047","DID706"
"BID1051","DID706"
"BID1059","DID706"
"BID1134","DID706"
"BID1206","DID706"
"BID1675","DID706"
"BID1802","DID706"
"BID773","DID710"
"BID2940","DID715"
"BID1277","DID715"
"BID194","DID719"
"BID630","DID719"
"BID386","DID722"
"BID2540","DID722"
"BID1388","DID731"
"BID1351","DID733"
"BID2929","DID733"
"BID2144","DID736"
"BID998","DID741"
"BID2821","DID741"
"BID2873","DID746"
"BID1635","DID748"
"BID1093","DID752"
"BID17","DID753"
"BID35","DID753"
"BID1327","DID753"
"BID1953","DID753"
"BID2315","DID753"
"BID2422","DID757"
"BID265","DID758"
"BID915","DID758"
"BID865","DID760"
"BID978","DID762"
"BID2377","DID762"
"BID1272","DID763"
"BID420","DID766"
"BID1179","DID769"
"BID2117","DID770"
"BID2034","DID772"
"BID2204","DID772"
"BID2574","DID773"
"BID1635","DID775"
"BID2860","DID775"
"BID899","DID776"
"BID2622","DID776"
"BID2640","DID776"
"BID97","DID777"
"BID525","DID777"
"BID796","DID777"
"BID891","DID777"
"BID1594","DID777"
"BID1715","DID778"
"BID1558","DID781"
"BID2325","DID788"
"BID315","DID791"
"BID567","DID791"
"BID2726","DID791"
"BID1708","DID791"
"BID2131","DID791"
"BID1838","DID794"
"BID2495","DID794"
"BID2843","DID794"
"BID1366","DID797"
"BID1042","DID798"
"BID663","DID801"
"BID1252","DID801"
"BID1682","DID801"
"BID2943","DID801"
"BID720","DID802"
"BID960","DID802"
"BID1102","DID802"
"BID1352","DID802"
"BID14","DID804"
"BID2932","DID808"
"BID851","DID809"
"BID2802","DID809"
"BID323","DID810"
"BID677","DID810"
"BID1893","DID810"
"BID2612","DID810"
"BID526","DID813"
"BID1098","DID813"
"BID1735","DID813"
"BID1967","DID813"
"BID2242","DID813"
"BID2900","DID813"
"BID2999","DID813"
"BID11","DID816"
"BID856","DID816"
"BID2240","DID816"
"BID228","DID821"
"BID114","DID822"
"BID1676","DID822"
"BID790","DID822"
"BID1849","DID822"
"BID1146","DID823"
"BID550","DID830"
"BID70","DID832"
"BID2008","DID832"
"BID2064","DID832"
"BID590","DID836"
"BID1503","DID836"
"BID419","DID837"
"BID1938","DID837"
"BID845","DID841"
"BID2817","DID841"
"BID1596","DID841"
"BID2407","DID841"
"BID98","DID847"
"BID1050","DID847"
"BID1753","DID847"
"BID2758","DID847"
"BID2505","DID851"
"BID2647","DID851"
"BID2724","DID851"
"BID1187","DID853"
"BID2836","DID853"
"BID2929","DID853"
"BID2955","DID853"
"BID2071","DID861"
"BID1234","DID865"
"BID765","DID866"
"BID2155","DID868"
"BID246","DID876"
"BID556","DID876"
"BID1893","DID876"
"BID2951","DID876"
"BID222","DID880"
"BID816","DID880"
"BID1870","DID880"
"BID1848","DID880"
"BID1332","DID882"
"BID2883","DID882"
"BID380","DID883"
"BID622","DID883"
"BID1346","DID883"
"BID1562","DID883"
"BID1802","DID883"
"BID2265","DID883"
"BID901","DID885"
"BID2993","DID885"
"BID629","DID890"
"BID2511","DID890"
"BID2677","DID891"
"BID986","DID897"
"BID1090","DID899"
"BID1395","DID899"
"BID1792","DID899"
"BID1065","DID904"
"BID2012","DID904"
"BID1093","DID912"
"BID1923","DID913"
"BID2157","DID913"
"BID622","DID913"
"BID631","DID914"
"BID1311","DID914"
"BID1504","DID914"
"BID238","DID915"
"BID1075","DID915"
"BID1267","DID915"
"BID2038","DID915"
"BID2103","DID916"
"BID2778","DID916"
"BID2465","DID916"
"BID2964","DID916"
"BID1334","DID918"
"BID2754","DID918"
"BID1320","DID919"
"BID365","DID919"
"BID2164","DID919"
"BID142","DID922"
"BID402","DID922"
"BID1362","DID922"
"BID1713","DID930"
"BID2609","DID930"
"BID2359","DID933"
"BID124","DID937"
"BID198","DID939"
"BID1644","DID939"
"BID2768","DID939"
"BID2239","DID943"
"BID2694","DID943"
"BID592","DID944"
"BID2230","DID944"
"BID1191","DID947"
"BID1488","DID949"
"BID1521","DID950"
"BID2892","DID950"
"BID1852","DID950"
"BID2350","DID950"
"BID1719","DID954"
"BID1006","DID955"
"BID2124","DID955"
"BID277","DID957"
"BID1502","DID957"
"BID282","DID964"
"BID982","DID964"
"BID1777","DID964"
"BID136","DID965"
"BID149","DID965"
"BID629","DID966"
"BID2511","DID966"
"BID1010","DID969"
"BID1826","DID969"
"BID2538","DID969"
"BID2433","DID973"
"BID1113","DID974"
"BID204","DID975"
"BID881","DID975"
"BID1558","DID975"
"BID198","DID976"
"BID499","DID976"
"BID1176","DID976"
"BID1309","DID976"
"BID869","DID976"
"BID1338","DID976"
"BID1741","DID976"
"BID1923","DID981"
"BID2157","DID981"
"BID669","DID982"
"BID1090","DID982"
"BID700","DID985"
"BID1044","DID987"
"BID2750","DID989"
"BID686","DID990"
"BID1215","DID990"
"BID181","DID992"
"BID1447","DID992"
"BID2769","DID993"
"BID857","DID994"
"BID1434","DID994"
"BID558","DID1002"
"BID2442","DID1002"
"BID590","DID1005"
"BID1027","DID1005"
"BID563","DID1006"
"BID1930","DID1007"
"BID2786","DID1008"
"BID1349","DID1021"
"BID2476","DID1021"
"BID253","DID1029"
"BID358","DID1029"
"BID2297","DID1029"
"BID1756","DID1030"
"BID1846","DID1030"
"BID2135","DID1032"
"BID1647","DID1035"
"BID1422","DID1039"
"BID1511","DID1039"
"BID1832","DID1039"
"BID2408","DID1039"
"BID260","DID1039"
"BID1792","DID1039"
"BID2359","DID1041"
"BID290","DID1041"
"BID2565","DID1041"
"BID1491","DID1042"
"BID1183","DID1044"
"BID1233","DID1044"
"BID2817","DID1044"
"BID2958","DID1044"
"BID153","DID1045"
"BID1358","DID1045"
"BID2138","DID1045"
"BID261","DID1046"
"BID1833","DID1048"
"BID2310","DID1048"
"BID1577","DID1048"
"BID1668","DID1048"
"BID2428","DID1051"
"BID2493","DID1051"
"BID2807","DID1051"
"BID1491","DID1053"
"BID2573","DID1053"
"BID1112","DID1059"
"BID1316","DID1059"
"BID2597","DID1061"
"BID487","DID1068"
"BID947","DID1068"
"BID625","DID1069"
"BID1374","DID1069"
"BID2601","DID1069"
"BID376","DID1070"
"BID2067","DID1070"
"BID2938","DID1070"
"BID647","DID1071"
"BID864","DID1072"
"BID1590","DID1072"
"BID1737","DID1072"
"BID415","DID1073"
"BID730","DID1073"
"BID1070","DID1073"
"BID1175","DID1073"
"BID655","DID1076"
"BID1313","DID1076"
"BID1712","DID1076"
"BID2978","DID1076"
"BID1285","DID1077"
"BID438","DID1078"
"BID1106","DID1078"
"BID1939","DID1078"
"BID794","DID1080"
"BID2926","DID1080"
"BID2411","DID1080"
"BID723","DID1083"
"BID771","DID1083"
"BID917","DID1083"
"BID1060","DID1086"
"BID13","DID1094"
"BID1144","DID1094"
"BID2436","DID1094"
"BID2601","DID1096"
"BID1060","DID1096"
"BID1646","DID1096"
"BID2687","DID1096"
"BID2289","DID1098"
"BID187","DID1099"
