"BID","CID"
"BID198","CID1"
"BID499","CID1"
"BID1176","CID1"
"BID1309","CID1"
"BID1117","CID11"
"BID1202","CID13"
"BID2037","CID13"
"BID376","CID21"
"BID2067","CID21"
"BID2938","CID21"
"BID626","CID23"
"BID2531","CID23"
"BID2845","CID23"
"BID2801","CID31"
"BID2602","CID33"
"BID865","CID41"
"BID129","CID43"
"BID365","CID43"
"BID649","CID43"
"BID1211","CID43"
"BID1225","CID43"
"BID1217","CID51"
"BID1439","CID51"
"BID2574","CID53"
"BID547","CID61"
"BID15","CID81"
"BID210","CID81"
"BID905","CID81"
"BID1660","CID81"
"BID2076","CID91"
"BID2172","CID103"
"BID1566","CID113"
"BID2925","CID121"
"BID1488","CID133"
"BID812","CID141"
"BID386","CID161"
"BID2540","CID161"
"BID1930","CID163"
"BID2290","CID173"
"BID1558","CID181"
"BID2650","CID183"
"BID1558","CID191"
"BID1504","CID201"
"BID1113","CID211"
"BID2313","CID213"
"BID2273","CID221"
"BID2597","CID223"
"BID731","CID231"
"BID537","CID253"
"BID607","CID253"
"BID1503","CID253"
"BID1491","CID261"
"BID2573","CID261"
"BID1980","CID263"
"BID64","CID271"
"BID1640","CID281"
"BID617","CID283"
"BID1036","CID283"
"BID1154","CID283"
"BID222","CID291"
"BID816","CID291"
"BID1870","CID291"
"BID922","CID293"
"BID2174","CID293"
"BID2286","CID301"
"BID440","CID303"
"BID2106","CID311"
"BID2184","CID311"
"BID2653","CID311"
"BID2112","CID313"
"BID2613","CID313"
"BID370","CID323"
"BID1937","CID323"
"BID210","CID331"
"BID581","CID331"
"BID780","CID341"
"BID2199","CID341"
"BID2305","CID341"
"BID634","CID343"
"BID1916","CID343"
"BID2654","CID343"
"BID1582","CID353"
"BID2214","CID353"
"BID1515","CID361"
"BID2161","CID361"
"BID2790","CID361"
"BID476","CID363"
"BID2773","CID363"
"BID78","CID371"
"BID2359","CID371"
"BID2505","CID371"
"BID186","CID373"
"BID2864","CID373"
"BID1750","CID381"
"BID2011","CID381"
"BID2039","CID381"
"BID2645","CID383"
"BID1387","CID391"
"BID1655","CID391"
"BID2366","CID391"
"BID1215","CID393"
"BID1557","CID393"
"BID2610","CID401"
"BID2788","CID401"
"BID2259","CID403"
"BID57","CID411"
"BID2167","CID411"
"BID409","CID413"
"BID2427","CID413"
"BID2720","CID423"
"BID323","CID431"
"BID677","CID431"
"BID1893","CID431"
"BID2612","CID431"
"BID575","CID433"
"BID92","CID441"
"BID1340","CID441"
"BID2472","CID441"
"BID2986","CID441"
"BID2608","CID451"
"BID2855","CID451"
"BID2325","CID453"
"BID1685","CID461"
"BID2703","CID461"
"BID2343","CID463"
"BID773","CID471"
"BID2204","CID481"
"BID87","CID483"
"BID869","CID491"
"BID1338","CID491"
"BID1741","CID491"
"BID1640","CID493"
"BID2949","CID493"
"BID496","CID501"
"BID2363","CID521"
"BID416","CID531"
"BID2055","CID531"
"BID724","CID533"
"BID1818","CID533"
"BID1837","CID533"
"BID503","CID541"
"BID180","CID543"
"BID1170","CID551"
"BID2758","CID553"
"BID759","CID561"
"BID1899","CID563"
"BID1284","CID571"
"BID1910","CID571"
"BID2681","CID573"
"BID1191","CID581"
"BID2458","CID583"
"BID1055","CID591"
"BID1352","CID603"
"BID1709","CID611"
"BID1566","CID613"
"BID1057","CID641"
"BID1118","CID641"
"BID1237","CID641"
"BID1754","CID641"
"BID537","CID643"
"BID234","CID651"
"BID265","CID651"
"BID2695","CID653"
"BID1010","CID661"
"BID1826","CID661"
"BID2538","CID661"
"BID840","CID663"
"BID961","CID663"
"BID2795","CID673"
"BID2860","CID681"
"BID868","CID683"
"BID97","CID693"
"BID525","CID693"
"BID796","CID693"
"BID891","CID693"
"BID1594","CID693"
"BID1238","CID701"
"BID2938","CID703"
"BID1528","CID711"
"BID2235","CID711"
"BID867","CID713"
"BID878","CID721"
"BID1133","CID721"
"BID1799","CID721"
"BID1841","CID721"
"BID1656","CID723"
"BID925","CID731"
"BID1650","CID731"
"BID1673","CID731"
"BID1277","CID741"
"BID2091","CID743"
"BID1395","CID753"
"BID2502","CID753"
"BID47","CID761"
"BID978","CID761"
"BID1459","CID761"
"BID2606","CID761"
"BID1038","CID771"
"BID1728","CID771"
"BID1830","CID771"
"BID1660","CID773"
"BID2633","CID773"
"BID2743","CID773"
"BID1339","CID783"
"BID1786","CID783"
"BID2014","CID791"
"BID2478","CID791"
"BID586","CID793"
"BID806","CID793"
"BID994","CID793"
"BID1074","CID793"
"BID980","CID801"
"BID2418","CID803"
"BID2148","CID811"
"BID2263","CID811"
"BID1686","CID843"
"BID1388","CID851"
"BID730","CID853"
"BID1533","CID853"
"BID300","CID861"
"BID2879","CID863"
"BID56","CID873"
"BID1308","CID873"
"BID2176","CID891"
"BID20","CID893"
"BID313","CID911"
"BID618","CID911"
"BID2703","CID911"
"BID2938","CID911"
"BID605","CID913"
"BID2168","CID913"
"BID1465","CID921"
"BID628","CID923"
"BID1429","CID923"
"BID1595","CID923"
"BID2626","CID923"
"BID2813","CID923"
"BID222","CID931"
"BID818","CID931"
"BID2934","CID943"
"BID2667","CID951"
"BID2677","CID961"
"BID864","CID963"
"BID1590","CID963"
"BID1737","CID963"
"BID1879","CID971"
"BID402","CID973"
"BID608","CID973"
"BID1017","CID973"
"BID1188","CID973"
"BID673","CID981"
"BID2052","CID991"
"BID2166","CID991"
"BID2605","CID991"
"BID181","CID1003"
"BID1447","CID1003"
"BID837","CID1011"
"BID1101","CID1011"
"BID194","CID1021"
"BID630","CID1021"
"BID8","CID1051"
"BID221","CID1051"
"BID650","CID1051"
"BID1210","CID1051"
"BID2073","CID1053"
"BID2990","CID1053"
"BID1771","CID1061"
"BID2075","CID1061"
"BID1356","CID1063"
"BID1761","CID1073"
"BID2064","CID1073"
"BID83","CID1091"
"BID2698","CID1091"
"BID374","CID1093"
"BID544","CID1093"
"BID1867","CID1093"
"BID1774","CID1101"
"BID2501","CID1101"
"BID2750","CID1101"
"BID2842","CID1101"
"BID74","CID1103"
"BID1650","CID1103"
"BID1945","CID1103"
"BID2723","CID1103"
"BID1416","CID1111"
"BID2629","CID1111"
"BID1422","CID1121"
"BID1511","CID1121"
"BID1832","CID1121"
"BID2408","CID1121"
"BID1611","CID1123"
"BID2209","CID1131"
"BID104","CID1143"
"BID1989","CID1143"
"BID2118","CID1143"
"BID900","CID1151"
"BID2545","CID1151"
"BID315","CID1153"
"BID567","CID1153"
"BID2726","CID1153"
"BID600","CID1161"
"BID2407","CID1161"
"BID2573","CID1161"
"BID367","CID1163"
"BID2081","CID1163"
"BID317","CID1171"
"BID924","CID1173"
"BID1444","CID1181"
"BID898","CID1183"
"BID2253","CID1191"
"BID2920","CID1191"
"BID2786","CID1193"
"BID2702","CID1201"
"BID2669","CID1211"
"BID2181","CID1213"
"BID1309","CID1221"
"BID1007","CID1223"
"BID1090","CID1241"
"BID1395","CID1241"
"BID1792","CID1241"
"BID765","CID1243"
"BID299","CID1251"
"BID1507","CID1261"
"BID2185","CID1261"
"BID2854","CID1261"
"BID1309","CID1263"
"BID1407","CID1263"
"BID928","CID1271"
"BID1003","CID1271"
"BID2050","CID1271"
"BID2148","CID1281"
"BID2666","CID1281"
"BID816","CID1283"
"BID1630","CID1303"
"BID160","CID1321"
"BID2474","CID1321"
"BID2549","CID1321"
"BID767","CID1323"
"BID1180","CID1323"
"BID350","CID1331"
"BID2235","CID1331"
"BID794","CID1333"
"BID2926","CID1333"
"BID2018","CID1341"
"BID1536","CID1351"
"BID2946","CID1351"
"BID2419","CID1353"
"BID2689","CID1353"
"BID558","CID1361"
"BID2442","CID1361"
"BID2834","CID1371"
"BID2136","CID1373"
"BID2618","CID1373"
"BID1075","CID1383"
"BID1449","CID1383"
"BID1555","CID1383"
"BID1587","CID1383"
"BID998","CID1391"
"BID2821","CID1391"
"BID1625","CID1393"
"BID2441","CID1393"
"BID1320","CID1401"
"BID282","CID1403"
"BID2186","CID1403"
"BID2811","CID1411"
"BID777","CID1413"
"BID910","CID1413"
"BID655","CID1421"
"BID2239","CID1423"
"BID2694","CID1423"
"BID200","CID1431"
"BID413","CID1431"
"BID2234","CID1431"
"BID1541","CID1433"
"BID274","CID1441"
"BID1052","CID1441"
"BID2638","CID1443"
"BID2353","CID1451"
"BID2699","CID1451"
"BID2443","CID1453"
"BID2724","CID1453"
"BID2894","CID1461"
"BID765","CID1471"
"BID1062","CID1471"
"BID790","CID1473"
"BID1357","CID1483"
"BID383","CID1491"
"BID497","CID1491"
"BID920","CID1491"
"BID1765","CID1491"
"BID1997","CID1491"
"BID711","CID1493"
"BID2306","CID1493"
"BID602","CID1501"
"BID626","CID1501"
"BID947","CID1511"
"BID1005","CID1511"
"BID1216","CID1513"
"BID2651","CID1513"
"BID155","CID1521"
"BID1011","CID1521"
"BID1075","CID1521"
"BID2490","CID1521"
"BID2657","CID1521"
"BID1560","CID1523"
"BID1828","CID1523"
"BID1391","CID1531"
"BID1476","CID1533"
"BID2172","CID1533"
"BID2335","CID1533"
"BID704","CID1543"
"BID2678","CID1543"
"BID622","CID1561"
"BID1526","CID1561"
"BID1870","CID1561"
"BID2133","CID1561"
"BID1718","CID1563"
"BID437","CID1571"
"BID2302","CID1571"
"BID899","CID1573"
"BID2622","CID1573"
"BID2640","CID1573"
"BID1541","CID1581"
"BID741","CID1583"
"BID1282","CID1591"
"BID1658","CID1591"
"BID1785","CID1591"
"BID502","CID1593"
"BID1542","CID1593"
"BID2345","CID1593"
"BID413","CID1601"
"BID2546","CID1601"
"BID194","CID1603"
"BID172","CID1611"
"BID1339","CID1611"
"BID98","CID1613"
"BID1050","CID1613"
