"BID","DID"
"BID1620","DID271"
"BID3458","DID271"
"BID1620","DID810"
"BID3458","DID810"
"BID1552","DID16"
"BID3575","DID16"
"BID1552","DID967"
"BID3575","DID967"
"BID2466","DID176"
"BID3317","DID176"
"BID2466","DID288"
"BID3317","DID288"
"BID3313","DID715"
"BID3709","DID715"
"BID3313","DID836"
"BID3709","DID836"
"BID3313","DID912"
"BID3709","DID912"
"BID2957","DID696"
"BID3608","DID696"
"BID2957","DID997"
"BID3608","DID997"
"BID1101","DID48"
"BID3238","DID48"
"BID207","DID307"
"BID3912","DID307"
"BID207","DID804"
"BID3912","DID804"
"BID206","DID789"
"BID444","DID789"
"BID206","DID988"
"BID444","DID988"
"BID2324","DID558"
"BID3360","DID558"
"BID2324","DID671"
"BID3360","DID671"
"BID2324","DID99"
"BID3360","DID99"
"BID1229","DID234"
"BID2080","DID234"
"BID1229","DID528"
"BID2080","DID528"
"BID171","DID436"
"BID1805","DID436"
"BID171","DID592"
"BID1805","DID592"
"BID1080","DID385"
"BID761","DID385"
"BID1080","DID64"
"BID761","DID64"
"BID1080","DID830"
"BID761","DID830"
"BID2756","DID908"
"BID3790","DID908"
"BID2756","DID912"
"BID3790","DID912"
"BID1598","DID376"
"BID1909","DID376"
"BID1598","DID834"
"BID1909","DID834"
"BID1611","DID167"
"BID3875","DID167"
"BID1611","DID929"
"BID3875","DID929"
"BID297","DID338"
"BID429","DID338"
"BID297","DID834"
"BID429","DID834"
"BID1897","DID200"
"BID939","DID200"
"BID110","DID686"
"BID3619","DID686"
"BID1452","DID292"
"BID1573","DID292"
"BID1452","DID384"
"BID1573","DID384"
"BID1452","DID57"
"BID1573","DID57"
"BID2707","DID274"
"BID605","DID274"
"BID2707","DID854"
"BID605","DID854"
"BID3245","DID107"
"BID36","DID107"
"BID3245","DID133"
"BID36","DID133"
"BID3245","DID142"
"BID36","DID142"
"BID1369","DID107"
"BID2891","DID107"
"BID1369","DID119"
"BID2891","DID119"
"BID1369","DID95"
"BID2891","DID95"
