CID,DID
CID1,DID271
CID1,DID810
CID2,DID16
CID2,DID967
CID3,DID176
CID3,DID288
CID4,DID715
CID4,DID836
CID4,DID912
CID5,DID696
CID5,DID997
CID6,DID48
CID7,DID307
CID7,DID804
CID8,DID789
CID8,DID988
CID9,DID558
CID9,DID671
CID9,DID99
CID10,DID234
CID10,DID528
CID11,DID436
CID11,DID592
CID12,DID385
CID12,DID64
CID12,DID830
CID13,DID908
CID13,DID912
CID14,DID376
CID14,DID834
CID15,DID167
CID15,DID929
CID16,DID338
CID16,DID834
CID17,DID200
CID18,DID686
CID19,DID292
CID19,DID384
CID19,DID57
CID20,DID274
CID20,DID854
CID21,DID107
CID21,DID133
CID21,DID142
CID22,DID107
CID22,DID119
CID22,DID95
CID23,DID101
CID23,DID766
CID24,DID399
CID24,DID868
CID25,DID312
CID25,DID628
CID26,DID428
CID26,DID770
CID27,DID249
CID27,DID475
CID27,DID902
CID28,DID125
CID28,DID819
CID29,DID147
CID29,DID426
CID29,DID662
CID30,DID528
CID30,DID698
CID31,DID236
CID31,DID752
CID32,DID181
CID32,DID399
CID33,DID457
CID33,DID751
CID34,DID494
CID34,DID70
CID35,DID252
CID35,DID329
CID36,DID13
CID36,DID939
CID37,DID149
CID37,DID230
CID37,DID744
CID38,DID173
CID38,DID45
CID39,DID806
CID40,DID396
CID40,DID771
CID41,DID352
CID41,DID378
CID41,DID563
CID42,DID270
CID42,DID43
CID43,DID145
CID43,DID166
CID43,DID893
CID44,DID323
CID44,DID396
CID44,DID791
CID45,DID248
CID45,DID81
CID46,DID295
CID46,DID338
CID46,DID725
CID47,DID398
CID47,DID608
CID48,DID697
CID48,DID701
CID49,DID386
CID49,DID641
CID49,DID87
CID50,DID349
CID50,DID904
CID50,DID995
CID51,DID427
CID51,DID596
CID51,DID83
CID52,DID152
CID52,DID717
CID52,DID757
CID53,DID243
CID53,DID323
CID53,DID813
CID54,DID180
CID54,DID266
CID54,DID826
CID55,DID880
CID55,DID930
CID56,DID293
CID56,DID876
CID57,DID47
CID57,DID670
CID58,DID17
CID58,DID847
CID59,DID417
CID59,DID685
CID60,DID154
CID60,DID830
CID61,DID147
CID61,DID407
CID61,DID977
CID62,DID513
CID62,DID930
CID63,DID112
CID63,DID236
CID63,DID96
CID64,DID241
CID64,DID833
CID65,DID202
CID65,DID252
CID65,DID954
CID66,DID312
CID66,DID682
CID67,DID26
CID67,DID336
CID67,DID663
CID68,DID656
CID68,DID769
CID69,DID109
CID69,DID556
CID69,DID697
CID70,DID107
CID70,DID164
CID70,DID954
CID71,DID428
CID71,DID77
CID72,DID504
CID72,DID690
CID73,DID896
CID73,DID939
CID74,DID131
CID74,DID412
CID74,DID432
CID75,DID859
CID75,DID863
CID75,DID996
CID76,DID475
CID76,DID641
CID77,DID556
CID77,DID629
CID78,DID391
CID78,DID661
CID79,DID178
CID79,DID437
CID80,DID742
CID81,DID667
CID81,DID867
CID82,DID209
CID82,DID248
CID83,DID172
CID83,DID751
CID84,DID416
CID84,DID559
CID85,DID161
CID85,DID437
CID85,DID756
CID86,DID107
CID86,DID721
CID87,DID495
CID87,DID811
CID88,DID354
CID88,DID83
CID88,DID846
CID89,DID307
CID89,DID476
CID89,DID586
CID90,DID250
CID90,DID746
CID90,DID810
CID91,DID305
CID91,DID35
CID91,DID608
CID92,DID527
CID92,DID757
CID93,DID118
CID93,DID354
CID93,DID369
CID94,DID122
CID94,DID243
CID94,DID883
CID95,DID188
CID95,DID660
CID95,DID709
CID96,DID89
CID96,DID890
CID97,DID614
CID97,DID737
CID97,DID853
CID98,DID229
CID99,DID371
CID99,DID78
CID99,DID83
CID100,DID172
CID100,DID223
CID100,DID68
CID101,DID19
CID101,DID97
CID102,DID154
CID102,DID157
CID102,DID584
CID103,DID822
CID103,DID850
CID104,DID145
CID104,DID390
CID104,DID960
CID105,DID535
CID105,DID777
