"SRQID","DRQID"
"srqid1","drqid1159"
"srqid1","drqid3445"
"srqid1","drqid1821"
"srqid1","drqid952"
"srqid1","drqid1076"
"srqid1","drqid365"
"srqid2","drqid1675"
"srqid2","drqid3950"
"srqid3","drqid209"
"srqid3","drqid520"
"srqid3","drqid2503"
"srqid3","drqid712"
"srqid4","drqid3297"
"srqid4","drqid2822"
"srqid4","drqid2949"
"srqid4","drqid2578"
"srqid4","drqid2665"
"srqid4","drqid3871"
"srqid5","drqid1812"
"srqid5","drqid2055"
"srqid5","drqid1959"
"srqid5","drqid2725"
"srqid5","drqid2784"
"srqid5","drqid3615"
"srqid6","drqid3242"
"srqid6","drqid3595"
"srqid6","drqid1660"
"srqid6","drqid2400"
"srqid6","drqid2114"
"srqid6","drqid2162"
"srqid6","drqid2276"
"srqid6","drqid595"
"srqid6","drqid3675"
"srqid6","drqid655"
"srqid7","drqid2500"
"srqid7","drqid823"
"srqid7","drqid1660"
"srqid7","drqid2400"
"srqid7","drqid1952"
"srqid7","drqid3072"
"srqid7","drqid1681"
"srqid7","drqid988"
"srqid8","drqid3769"
"srqid8","drqid1700"
"srqid8","drqid241"
"srqid8","drqid3022"
"srqid8","drqid386"
"srqid8","drqid771"
"srqid9","drqid3736"
"srqid9","drqid857"
"srqid9","drqid1961"
"srqid9","drqid3230"
"srqid9","drqid821"
"srqid10","drqid2847"
"srqid10","drqid335"
"srqid10","drqid2661"
"srqid10","drqid370"
"srqid11","drqid1078"
"srqid11","drqid2349"
"srqid11","drqid3258"
"srqid11","drqid710"
"srqid11","drqid1521"
"srqid12","drqid692"
"srqid12","drqid2477"
"srqid12","drqid3454"
"srqid12","drqid2768"
"srqid12","drqid333"
"srqid13","drqid2297"
"srqid13","drqid1849"
"srqid13","drqid2208"
"srqid14","drqid409"
"srqid14","drqid3810"
"srqid14","drqid1228"
"srqid14","drqid1314"
"srqid14","drqid1078"
"srqid14","drqid2640"
"srqid14","drqid707"
"srqid14","drqid1097"
"srqid14","drqid1189"
"srqid15","drqid2010"
"srqid15","drqid1760"
"srqid16","drqid1377"
"srqid16","drqid3599"
"srqid16","drqid326"
"srqid16","drqid349"
"srqid17","drqid1591"
"srqid17","drqid1815"
"srqid17","drqid642"
"srqid17","drqid791"
"srqid18","drqid231"
"srqid18","drqid34"
"srqid18","drqid1170"
"srqid18","drqid3020"
"srqid18","drqid1053"
"srqid19","drqid832"
"srqid19","drqid1262"
"srqid19","drqid565"
"srqid19","drqid124"
"srqid19","drqid2224"
"srqid19","drqid3994"
"srqid19","drqid794"
"srqid19","drqid1676"
"srqid19","drqid2358"
"srqid19","drqid1825"
"srqid19","drqid24"
"srqid19","drqid837"
"srqid20","drqid2707"
"srqid20","drqid2702"
"srqid20","drqid3375"
"srqid20","drqid395"
"srqid20","drqid3399"
"srqid20","drqid351"
"srqid20","drqid3692"
"srqid20","drqid1793"
"srqid21","drqid2247"
"srqid21","drqid692"
"srqid21","drqid1514"
"srqid21","drqid610"
"srqid21","drqid2301"
"srqid21","drqid3448"
"srqid21","drqid1783"
"srqid22","drqid1059"
"srqid22","drqid3796"
"srqid22","drqid1387"
"srqid22","drqid1684"
"srqid22","drqid3082"
"srqid22","drqid1126"
"srqid22","drqid2992"
"srqid22","drqid3860"
"srqid22","drqid1529"
"srqid22","drqid420"
"srqid22","drqid822"
"srqid22","drqid1119"
"srqid22","drqid169"
"srqid22","drqid2009"
"srqid23","drqid3947"
"srqid23","drqid504"
"srqid23","drqid2305"
"srqid23","drqid3293"
"srqid23","drqid1628"
"srqid23","drqid2380"
"srqid24","drqid1246"
"srqid24","drqid695"
"srqid24","drqid1103"
"srqid24","drqid3756"
"srqid24","drqid1942"
"srqid24","drqid2210"
"srqid24","drqid609"
"srqid25","drqid1295"
"srqid25","drqid3126"
"srqid25","drqid1835"
"srqid25","drqid1911"
"srqid26","drqid1604"
"srqid26","drqid2133"
"srqid26","drqid2392"
"srqid26","drqid2719"
"srqid26","drqid2577"
"srqid26","drqid2740"
"srqid26","drqid4"
"srqid27","drqid2976"
"srqid27","drqid1491"
"srqid28","drqid2659"
"srqid28","drqid2918"
"srqid28","drqid736"
"srqid29","drqid2800"
"srqid29","drqid3066"
"srqid29","drqid706"
"srqid29","drqid58"
"srqid30","drqid1818"
"srqid30","drqid3439"
"srqid30","drqid930"
