CC_ID,CC_NAME,CC_DATE,CC_VER,CC_DESC,CC_LOC
CC_ID1,CC_NAME523,2015-08-20,V5,"The minimum clinician-chosen duration for a clinician-requested bolus shall be the prescribed minimum number of minutes between consecutive patient-requested bolus deliveries, ?prb.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\functions\TokenFct.java0
CC_ID2,CC_NAME169,2015-07-01,V5,"Hospital procedures must endow the attending clinician access to the door key135, yet prevent other persons’ access.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\statements\AlterRoleStatement.java0
CC_ID3,CC_NAME6319,2015-08-21,V2,Information in event and Fault Logs shall be retained for at least ?log = 1000 hours after the PCA pump is turned-off and unplugged.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\TruncateResponse.java0
CC_ID4,CC_NAME7910,2015-08-05,V0,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\AbstractSSTableSimpleWriter.java0
CC_ID5,CC_NAME7649,2015-07-03,V4,The PCA pump shall implement a safety architecture112 that separates normal operation from fault detection and response.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\hadoop\cql3\CqlBulkRecordWriter.java0
CC_ID6,CC_NAME4836,2015-07-03,V4,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\compress\ICompressor.java0
CC_ID7,CC_NAME6132,2015-08-05,V5,The patient’s prescription shall be retained for at least ?data = 96 hours after the PCA pump is turned-off and unplugged.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\notifications\SSTableDeletingNotification.java0
CC_ID8,CC_NAME11366,2015-08-13,V1,At least one visual alarm signal shall be provided that identifies the specific alarm condition and its priority. This signal shall be perceived correctly (be legible) at a distance of 1 m from the equipment0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\thrift\TCustomNonblockingServerSocket.java0
CC_ID9,CC_NAME75,2015-07-28,V1,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\BatchCommitLogService.java0
CC_ID10,CC_NAME12458,2015-08-25,V6,") All filled prescriptions (liquid, narcotic pain-killer dispensed by the hospital pharmacy) must be labeled at least visibly with a. Patient name b. Drug code c. Name of drug d. Concentration0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\SearchIterator.java0
CC_ID11,CC_NAME6591,2015-08-27,V2,A real-time clock must produce timestamps accurate to 10 ms.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\WrappingCompactionStrategy.java0
CC_ID12,CC_NAME11978,2015-08-27,V0,"If delivered patient-requested bolus flow rate exceeds the prescribed patient-requested bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the pump goes into free flow0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\compress\DeflateCompressor.java0
CC_ID13,CC_NAME9731,2015-07-10,V0,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\config\EncryptionOptions.java0
CC_ID14,CC_NAME5073,2015-07-07,V5,The PCA pump shall have a stop button0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\auth\RolesCacheMBean.java0
CC_ID15,CC_NAME7605,2015-08-27,V4,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\Memtable.java0
CC_ID16,CC_NAME53,2015-08-05,V6,The pump shall deliver basal infusion at the prescribed basal rate within a basal infusion flow tolerance of Fbasal tol = 0.5 ml/hr of the prescribed basal rate.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\AbstractCellNameType.java0
CC_ID17,CC_NAME12503,2015-08-10,V0,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\IndexName.java0
CC_ID18,CC_NAME5547,2015-07-22,V5,The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\utils\SigarLibrary.java0
CC_ID19,CC_NAME3988,2015-08-04,V0,The PCA pump shall detect upstream occlusion.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\format\big\SimpleSliceReader.java0
CC_ID20,CC_NAME9821,2015-08-03,V0,Prescribed V T BI and rate shall not exceed the hard limits set by the drug library from the hospital pharmacy for the drug loaded in the PCA pump.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\metrics\StorageMetrics.java0
CC_ID21,CC_NAME10799,2015-08-17,V1,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CellNameType.java0
CC_ID22,CC_NAME520,2015-08-11,V3,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\service\StartupCheck.java0
