CC_ID,CC_NAME,CC_DATE,CC_VER,CC_DESC,CC_LOC
CC_ID1,CC_NAME5226,2015-08-17,V3,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\selection\SelectionColumns.java0
CC_ID2,CC_NAME5666,2015-08-19,V3,The PCA pump shall have a start button.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\metrics\DroppedMessageMetrics.java0
CC_ID3,CC_NAME766,2015-07-16,V4,The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\SSTableRewriter.java0
CC_ID4,CC_NAME8699,2015-08-27,V2,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\transport\CBCodec.java0
CC_ID5,CC_NAME7605,2015-08-19,V5,"If delivered basal flow rate is less than the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops, the pump shall issue an basal under-infusion warning (EC3.2.8).0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\TruncateHints.java0
CC_ID6,CC_NAME956,2015-08-31,V4,The Control Panel shall provide means to inactivate audible alarms indefinitely0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\sstable\metadata\ValidationMetadata.java0
CC_ID7,CC_NAME3872,2015-07-17,V3,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\transport\ServerError.java0
CC_ID8,CC_NAME4624,2015-07-20,V0,The mechanical pump shall not allow reverse flow from the patient into the pump.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\io\util\FileUtils.java0
CC_ID9,CC_NAME9468,2015-08-13,V5,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompoundCType.java0
CC_ID10,CC_NAME6580,2015-08-24,V0,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\EnableAutoCompaction.java0
CC_ID11,CC_NAME1398,2015-08-18,V0,"If the drug volume in the reservoir measures less than Vers =0.5 ml, and an infusion is in progress, an empty-reservoir alarm101 shall be issued stopping the pump.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\transport\ProtocolException.java0
CC_ID12,CC_NAME9774,2015-07-16,V6,The patient’s prescription shall be retained for at least ?data = 96 hours after the PCA pump is turned-off and unplugged.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\AbstractCompactionTask.java0
CC_ID13,CC_NAME2804,2015-07-20,V0,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\tools\nodetool\Status.java0
CC_ID14,CC_NAME8086,2015-08-11,V2,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.0",.\UDFStuff\src_csdr\src\java\org\apache\cassandra\net\IncomingTcpConnection.java0
