CC_ID,FL_ID
CC_ID1,FL_ID4962
CC_ID1,FL_ID5302
CC_ID2,FL_ID257
CC_ID4,FL_ID3007
CC_ID4,FL_ID9538
CC_ID6,FL_ID1587
CC_ID6,FL_ID8566
CC_ID7,FL_ID974
CC_ID9,FL_ID4772
CC_ID11,FL_ID5283
CC_ID14,FL_ID8465
CC_ID15,FL_ID914
CC_ID17,FL_ID7552
CC_ID17,FL_ID8493
CC_ID18,FL_ID4277
CC_ID18,FL_ID793
CC_ID19,FL_ID9925
CC_ID20,FL_ID3183
CC_ID20,FL_ID463
CC_ID21,FL_ID7623
CC_ID23,FL_ID2579
CC_ID23,FL_ID580
CC_ID25,FL_ID4310
CC_ID26,FL_ID3492
CC_ID26,FL_ID497
CC_ID32,FL_ID1291
CC_ID32,FL_ID7854
CC_ID34,FL_ID4294
CC_ID34,FL_ID4384
CC_ID36,FL_ID3540
CC_ID37,FL_ID611
CC_ID37,FL_ID9318
CC_ID38,FL_ID7146
CC_ID39,FL_ID1980
CC_ID40,FL_ID5899
CC_ID40,FL_ID6195
CC_ID41,FL_ID7249
CC_ID42,FL_ID9007
CC_ID42,FL_ID9985
CC_ID43,FL_ID8148
CC_ID47,FL_ID3187
CC_ID47,FL_ID3430
CC_ID51,FL_ID9100
CC_ID52,FL_ID1852
CC_ID54,FL_ID3168
CC_ID54,FL_ID4550
CC_ID55,FL_ID3818
CC_ID57,FL_ID2038
CC_ID57,FL_ID2749
CC_ID58,FL_ID4098
CC_ID58,FL_ID8291
CC_ID59,FL_ID5413
CC_ID59,FL_ID8585
CC_ID60,FL_ID8310
CC_ID62,FL_ID3818
CC_ID62,FL_ID8393
CC_ID64,FL_ID5196
CC_ID64,FL_ID7674
CC_ID67,FL_ID1145
CC_ID67,FL_ID6822
CC_ID69,FL_ID3222
CC_ID69,FL_ID7079
CC_ID71,FL_ID125
CC_ID71,FL_ID2033
CC_ID73,FL_ID9587
CC_ID74,FL_ID9970
CC_ID75,FL_ID1606
CC_ID75,FL_ID3267
CC_ID76,FL_ID3351
CC_ID76,FL_ID8774
CC_ID78,FL_ID5671
CC_ID79,FL_ID1192
CC_ID80,FL_ID2357
CC_ID80,FL_ID4502
CC_ID81,FL_ID1220
CC_ID81,FL_ID7990
CC_ID82,FL_ID7643
CC_ID83,FL_ID323
CC_ID83,FL_ID3886
CC_ID84,FL_ID5625
CC_ID85,FL_ID125
CC_ID85,FL_ID6617
CC_ID87,FL_ID3792
CC_ID87,FL_ID8205
CC_ID88,FL_ID4540
CC_ID88,FL_ID4629
CC_ID90,FL_ID4279
CC_ID90,FL_ID7049
CC_ID91,FL_ID4740
CC_ID91,FL_ID6435
CC_ID93,FL_ID6465
CC_ID94,FL_ID4732
CC_ID96,FL_ID1217
CC_ID98,FL_ID2170
CC_ID98,FL_ID6269
CC_ID99,FL_ID3450
CC_ID100,FL_ID9802
CC_ID101,FL_ID5092
CC_ID102,FL_ID8102
CC_ID103,FL_ID6769
CC_ID104,FL_ID1148
CC_ID104,FL_ID839
CC_ID105,FL_ID2944
CC_ID105,FL_ID7019
CC_ID107,FL_ID2185
CC_ID107,FL_ID799
CC_ID109,FL_ID9263
CC_ID111,FL_ID3995
CC_ID112,FL_ID1093
CC_ID113,FL_ID1282
