R_ID,CC_ID
R_ID3,CC_ID11938
R_ID3,CC_ID13160
R_ID3,CC_ID2295
R_ID3,CC_ID23898
R_ID3,CC_ID8407
R_ID3,CC_ID912
R_ID5,CC_ID10044
R_ID5,CC_ID15108
R_ID5,CC_ID1565
R_ID5,CC_ID24433
R_ID5,CC_ID469
R_ID5,CC_ID7587
R_ID6,CC_ID10931
R_ID10,CC_ID10055
R_ID10,CC_ID1845
R_ID10,CC_ID23031
R_ID10,CC_ID6215
R_ID10,CC_ID6985
R_ID11,CC_ID6852
R_ID11,CC_ID7043
R_ID12,CC_ID828
R_ID15,CC_ID21759
R_ID15,CC_ID23069
R_ID15,CC_ID23576
R_ID15,CC_ID4582
R_ID15,CC_ID594
R_ID17,CC_ID4575
R_ID18,CC_ID12400
R_ID18,CC_ID12589
R_ID18,CC_ID13364
R_ID18,CC_ID18169
R_ID18,CC_ID19176
R_ID18,CC_ID21675
R_ID18,CC_ID22237
R_ID19,CC_ID12958
R_ID19,CC_ID13670
R_ID19,CC_ID17392
R_ID19,CC_ID3671
R_ID19,CC_ID8824
R_ID19,CC_ID8925
R_ID19,CC_ID9407
R_ID20,CC_ID10600
R_ID20,CC_ID24930
R_ID20,CC_ID5727
R_ID21,CC_ID13614
R_ID21,CC_ID14231
R_ID21,CC_ID21186
R_ID21,CC_ID23240
R_ID21,CC_ID24654
R_ID21,CC_ID7128
R_ID22,CC_ID3102
R_ID23,CC_ID4199
R_ID24,CC_ID11324
R_ID24,CC_ID11533
R_ID24,CC_ID22035
R_ID24,CC_ID22827
R_ID24,CC_ID3798
R_ID24,CC_ID6761
R_ID24,CC_ID8389
R_ID25,CC_ID19234
R_ID26,CC_ID12127
R_ID26,CC_ID15974
R_ID26,CC_ID16549
R_ID26,CC_ID1862
R_ID26,CC_ID6447
R_ID26,CC_ID6476
R_ID26,CC_ID8835
R_ID27,CC_ID11476
R_ID27,CC_ID12359
R_ID28,CC_ID15849
R_ID30,CC_ID1408
R_ID30,CC_ID14786
R_ID30,CC_ID21233
R_ID30,CC_ID24270
R_ID30,CC_ID6597
R_ID30,CC_ID9708
R_ID31,CC_ID16639
R_ID31,CC_ID17254
R_ID33,CC_ID1075
R_ID33,CC_ID11269
R_ID33,CC_ID2130
R_ID33,CC_ID2305
R_ID33,CC_ID3004
R_ID34,CC_ID11871
R_ID34,CC_ID12961
R_ID34,CC_ID13679
R_ID34,CC_ID6502
R_ID34,CC_ID9654
R_ID35,CC_ID17309
R_ID35,CC_ID17347
R_ID35,CC_ID18141
R_ID35,CC_ID18605
R_ID35,CC_ID18787
R_ID35,CC_ID24479
R_ID35,CC_ID256
R_ID36,CC_ID17187
R_ID37,CC_ID5750
R_ID41,CC_ID11434
R_ID44,CC_ID13172
R_ID44,CC_ID17182
R_ID44,CC_ID1806
R_ID44,CC_ID20565
R_ID44,CC_ID22260
R_ID44,CC_ID24549
R_ID44,CC_ID6202
R_ID46,CC_ID5508
R_ID48,CC_ID10839
R_ID48,CC_ID21957
R_ID49,CC_ID13701
R_ID50,CC_ID11064
R_ID50,CC_ID15900
R_ID50,CC_ID16695
R_ID50,CC_ID18052
R_ID50,CC_ID23668
R_ID50,CC_ID6224
R_ID54,CC_ID14611
R_ID54,CC_ID23554
R_ID54,CC_ID4122
R_ID54,CC_ID5153
R_ID54,CC_ID7775
R_ID54,CC_ID8935
R_ID56,CC_ID13363
R_ID57,CC_ID9619
R_ID59,CC_ID2146
R_ID59,CC_ID8773
R_ID59,CC_ID8796
R_ID60,CC_ID11072
R_ID60,CC_ID1917
R_ID61,CC_ID12422
R_ID61,CC_ID14731
R_ID61,CC_ID15900
R_ID61,CC_ID24151
R_ID61,CC_ID4249
R_ID62,CC_ID13791
R_ID62,CC_ID24823
R_ID63,CC_ID15247
R_ID63,CC_ID19422
R_ID65,CC_ID19123
R_ID65,CC_ID21673
R_ID67,CC_ID16429
R_ID67,CC_ID5209
R_ID67,CC_ID6035
R_ID67,CC_ID733
R_ID68,CC_ID24244
R_ID68,CC_ID5464
R_ID69,CC_ID1171
R_ID69,CC_ID19377
R_ID69,CC_ID2008
R_ID69,CC_ID22064
R_ID69,CC_ID2266
R_ID69,CC_ID24157
R_ID70,CC_ID7091
R_ID71,CC_ID17699
R_ID72,CC_ID20393
R_ID72,CC_ID6581
R_ID72,CC_ID9182
R_ID72,CC_ID9725
R_ID72,CC_ID9940
R_ID73,CC_ID1438
