CC_ID,FL_ID
CC_ID2,FL_ID566
CC_ID3,FL_ID193
CC_ID5,FL_ID698
CC_ID6,FL_ID1127
CC_ID6,FL_ID255
CC_ID7,FL_ID1142
CC_ID8,FL_ID1040
CC_ID9,FL_ID210
CC_ID10,FL_ID841
CC_ID12,FL_ID191
CC_ID13,FL_ID728
CC_ID16,FL_ID1023
CC_ID19,FL_ID1080
CC_ID22,FL_ID66
CC_ID23,FL_ID1
CC_ID25,FL_ID1196
CC_ID25,FL_ID978
CC_ID26,FL_ID1053
CC_ID27,FL_ID358
CC_ID30,FL_ID1172
CC_ID30,FL_ID674
CC_ID34,FL_ID714
CC_ID35,FL_ID10
CC_ID35,FL_ID169
CC_ID37,FL_ID1166
CC_ID38,FL_ID459
CC_ID41,FL_ID210
CC_ID41,FL_ID943
CC_ID42,FL_ID1089
CC_ID43,FL_ID142
CC_ID43,FL_ID300
CC_ID44,FL_ID1122
CC_ID45,FL_ID28
CC_ID45,FL_ID61
CC_ID46,FL_ID517
CC_ID47,FL_ID215
CC_ID49,FL_ID1257
CC_ID52,FL_ID975
CC_ID54,FL_ID196
CC_ID57,FL_ID190
CC_ID59,FL_ID152
CC_ID60,FL_ID76
CC_ID62,FL_ID1068
CC_ID63,FL_ID1213
CC_ID64,FL_ID618
CC_ID65,FL_ID791
CC_ID66,FL_ID775
CC_ID69,FL_ID604
CC_ID70,FL_ID251
CC_ID71,FL_ID658
CC_ID72,FL_ID149
CC_ID74,FL_ID586
CC_ID78,FL_ID1126
CC_ID78,FL_ID991
CC_ID79,FL_ID1164
CC_ID80,FL_ID623
CC_ID80,FL_ID876
CC_ID83,FL_ID1021
CC_ID84,FL_ID7
CC_ID85,FL_ID139
CC_ID85,FL_ID473
CC_ID86,FL_ID386
CC_ID89,FL_ID1240
CC_ID90,FL_ID665
CC_ID92,FL_ID1062
CC_ID93,FL_ID383
CC_ID93,FL_ID501
CC_ID96,FL_ID715
CC_ID100,FL_ID114
CC_ID101,FL_ID911
CC_ID102,FL_ID988
CC_ID104,FL_ID922
CC_ID105,FL_ID833
CC_ID106,FL_ID633
