CC_ID,TC_ID
CC_ID2,TC_ID5624
CC_ID2,TC_ID7972
CC_ID4,TC_ID16383
CC_ID6,TC_ID16071
CC_ID6,TC_ID6317
CC_ID7,TC_ID7209
CC_ID9,TC_ID8068
CC_ID10,TC_ID14985
CC_ID11,TC_ID17885
CC_ID14,TC_ID19656
CC_ID15,TC_ID1759
CC_ID17,TC_ID18008
CC_ID19,TC_ID10240
CC_ID20,TC_ID24998
CC_ID21,TC_ID8039
CC_ID22,TC_ID861
CC_ID23,TC_ID20543
CC_ID23,TC_ID8673
CC_ID26,TC_ID3099
CC_ID27,TC_ID1344
CC_ID29,TC_ID9209
CC_ID30,TC_ID14661
CC_ID31,TC_ID16617
CC_ID32,TC_ID10784
CC_ID33,TC_ID13966
CC_ID36,TC_ID21359
CC_ID37,TC_ID8108
CC_ID37,TC_ID9229
CC_ID39,TC_ID16616
CC_ID39,TC_ID19598
CC_ID39,TC_ID23467
CC_ID40,TC_ID14867
CC_ID40,TC_ID16524
CC_ID40,TC_ID295
CC_ID41,TC_ID6200
CC_ID42,TC_ID19689
CC_ID43,TC_ID10569
CC_ID44,TC_ID14627
CC_ID45,TC_ID23267
CC_ID46,TC_ID21450
CC_ID53,TC_ID13712
CC_ID54,TC_ID4434
CC_ID55,TC_ID23430
CC_ID56,TC_ID616
CC_ID58,TC_ID18647
CC_ID59,TC_ID10076
CC_ID59,TC_ID11204
CC_ID59,TC_ID915
CC_ID60,TC_ID13677
CC_ID62,TC_ID24465
CC_ID64,TC_ID18307
CC_ID66,TC_ID21531
CC_ID69,TC_ID12079
CC_ID70,TC_ID4017
CC_ID71,TC_ID13726
CC_ID71,TC_ID2113
CC_ID71,TC_ID4985
CC_ID74,TC_ID13028
CC_ID79,TC_ID23933
CC_ID79,TC_ID3853
CC_ID80,TC_ID196
CC_ID81,TC_ID13075
CC_ID84,TC_ID4252
CC_ID85,TC_ID142
CC_ID85,TC_ID7313
CC_ID88,TC_ID4958
CC_ID89,TC_ID23221
CC_ID89,TC_ID8424
CC_ID94,TC_ID9722
CC_ID95,TC_ID10629
CC_ID98,TC_ID21741
CC_ID100,TC_ID14551
CC_ID100,TC_ID25468
CC_ID101,TC_ID20596
CC_ID103,TC_ID21144
CC_ID104,TC_ID17718
CC_ID106,TC_ID3239
CC_ID107,TC_ID12573
CC_ID108,TC_ID9323
CC_ID109,TC_ID15109
CC_ID109,TC_ID19617
CC_ID111,TC_ID14877
CC_ID112,TC_ID17074
CC_ID112,TC_ID23589
CC_ID112,TC_ID6268
CC_ID113,TC_ID6086
CC_ID116,TC_ID303
CC_ID120,TC_ID9608
CC_ID121,TC_ID8829
CC_ID122,TC_ID8428
CC_ID125,TC_ID17749
CC_ID127,TC_ID12924
CC_ID129,TC_ID14373
CC_ID132,TC_ID1274
CC_ID133,TC_ID2769
CC_ID134,TC_ID10844
CC_ID135,TC_ID20341
CC_ID136,TC_ID5267
CC_ID140,TC_ID19022
CC_ID140,TC_ID23376
CC_ID140,TC_ID23807
CC_ID142,TC_ID10119
CC_ID142,TC_ID2872
CC_ID143,TC_ID2476
CC_ID144,TC_ID6745
CC_ID145,TC_ID18907
CC_ID146,TC_ID4456
CC_ID152,TC_ID25777
CC_ID155,TC_ID8856
CC_ID156,TC_ID14753
CC_ID156,TC_ID2959
CC_ID156,TC_ID8400
CC_ID158,TC_ID8080
CC_ID159,TC_ID7065
CC_ID162,TC_ID7893
CC_ID163,TC_ID3771
CC_ID164,TC_ID23546
CC_ID165,TC_ID18721
CC_ID166,TC_ID16349
CC_ID166,TC_ID2529
CC_ID168,TC_ID10000
CC_ID169,TC_ID13838
CC_ID170,TC_ID5836
CC_ID171,TC_ID19542
CC_ID171,TC_ID24195
CC_ID171,TC_ID729
CC_ID172,TC_ID1764
CC_ID172,TC_ID22121
CC_ID172,TC_ID6256
CC_ID174,TC_ID21076
CC_ID175,TC_ID15541
CC_ID176,TC_ID19741
CC_ID176,TC_ID25257
CC_ID176,TC_ID6609
CC_ID177,TC_ID19817
CC_ID178,TC_ID5375
CC_ID180,TC_ID22579
CC_ID182,TC_ID4896
CC_ID185,TC_ID15094
CC_ID186,TC_ID2714
CC_ID188,TC_ID20909
CC_ID189,TC_ID178
CC_ID192,TC_ID9299
CC_ID194,TC_ID7290
CC_ID201,TC_ID11343
CC_ID201,TC_ID14995
CC_ID201,TC_ID4752
CC_ID203,TC_ID20983
CC_ID206,TC_ID17290
CC_ID207,TC_ID12846
CC_ID209,TC_ID16042
CC_ID211,TC_ID24670
CC_ID212,TC_ID8174
