CC_ID,FL_ID
CC_ID1,FL_ID1048
CC_ID1,FL_ID1102
CC_ID1,FL_ID271
CC_ID2,FL_ID1154
CC_ID2,FL_ID472
CC_ID3,FL_ID1064
CC_ID3,FL_ID1153
CC_ID3,FL_ID320
CC_ID3,FL_ID5
CC_ID3,FL_ID563
CC_ID3,FL_ID77
CC_ID4,FL_ID1070
CC_ID4,FL_ID425
CC_ID4,FL_ID689
CC_ID5,FL_ID348
CC_ID5,FL_ID777
CC_ID6,FL_ID174
CC_ID6,FL_ID377
CC_ID6,FL_ID768
CC_ID6,FL_ID78
CC_ID6,FL_ID850
CC_ID7,FL_ID108
CC_ID7,FL_ID367
CC_ID7,FL_ID451
CC_ID7,FL_ID821
CC_ID7,FL_ID912
CC_ID7,FL_ID930
CC_ID7,FL_ID961
CC_ID8,FL_ID155
CC_ID8,FL_ID216
CC_ID8,FL_ID44
CC_ID8,FL_ID459
CC_ID8,FL_ID936
CC_ID9,FL_ID1030
CC_ID9,FL_ID596
CC_ID9,FL_ID97
CC_ID10,FL_ID1035
CC_ID10,FL_ID1131
CC_ID10,FL_ID312
CC_ID10,FL_ID42
CC_ID10,FL_ID514
CC_ID10,FL_ID528
CC_ID10,FL_ID540
CC_ID10,FL_ID80
CC_ID11,FL_ID1129
CC_ID11,FL_ID292
CC_ID11,FL_ID585
CC_ID11,FL_ID981
CC_ID12,FL_ID1037
CC_ID12,FL_ID242
CC_ID12,FL_ID344
CC_ID12,FL_ID711
CC_ID12,FL_ID790
CC_ID12,FL_ID998
CC_ID13,FL_ID23
CC_ID13,FL_ID90
CC_ID13,FL_ID907
CC_ID14,FL_ID1209
CC_ID14,FL_ID192
CC_ID14,FL_ID505
CC_ID14,FL_ID614
CC_ID14,FL_ID689
CC_ID14,FL_ID721
CC_ID14,FL_ID91
CC_ID15,FL_ID282
CC_ID15,FL_ID717
CC_ID16,FL_ID730
CC_ID17,FL_ID1011
CC_ID17,FL_ID1217
CC_ID17,FL_ID171
CC_ID17,FL_ID658
CC_ID17,FL_ID686
CC_ID17,FL_ID80
CC_ID18,FL_ID895
CC_ID19,FL_ID1054
CC_ID19,FL_ID302
CC_ID20,FL_ID1053
CC_ID20,FL_ID388
CC_ID20,FL_ID475
CC_ID20,FL_ID525
CC_ID20,FL_ID601
CC_ID20,FL_ID603
CC_ID20,FL_ID953
CC_ID20,FL_ID995
CC_ID21,FL_ID1256
CC_ID22,FL_ID1249
CC_ID22,FL_ID992
CC_ID23,FL_ID1060
CC_ID23,FL_ID1077
CC_ID23,FL_ID1095
CC_ID23,FL_ID261
CC_ID23,FL_ID285
CC_ID23,FL_ID8
CC_ID23,FL_ID815
CC_ID23,FL_ID955
CC_ID24,FL_ID161
CC_ID24,FL_ID162
CC_ID24,FL_ID757
CC_ID24,FL_ID917
CC_ID25,FL_ID82
CC_ID26,FL_ID255
CC_ID26,FL_ID295
CC_ID26,FL_ID478
CC_ID27,FL_ID1218
CC_ID27,FL_ID703
CC_ID27,FL_ID970
CC_ID28,FL_ID120
CC_ID28,FL_ID1291
CC_ID28,FL_ID339
CC_ID28,FL_ID383
CC_ID28,FL_ID567
CC_ID28,FL_ID571
CC_ID28,FL_ID773
CC_ID29,FL_ID360
CC_ID29,FL_ID407
CC_ID29,FL_ID498
