FL_ID,CC_ID
FL_ID1,CC_ID11437
FL_ID1,CC_ID11650
FL_ID1,CC_ID12456
FL_ID1,CC_ID1743
FL_ID2,CC_ID10737
FL_ID3,CC_ID11384
FL_ID3,CC_ID12642
FL_ID3,CC_ID1982
FL_ID3,CC_ID6843
FL_ID3,CC_ID6904
FL_ID4,CC_ID11783
FL_ID4,CC_ID12762
FL_ID4,CC_ID321
FL_ID4,CC_ID5538
FL_ID5,CC_ID2163
FL_ID5,CC_ID6430
FL_ID6,CC_ID10834
FL_ID6,CC_ID6370
FL_ID6,CC_ID8581
FL_ID6,CC_ID8961
FL_ID6,CC_ID9860
FL_ID7,CC_ID1258
FL_ID7,CC_ID2028
FL_ID7,CC_ID2139
FL_ID7,CC_ID4036
FL_ID7,CC_ID5430
FL_ID7,CC_ID5913
FL_ID7,CC_ID7781
FL_ID7,CC_ID9498
FL_ID8,CC_ID1684
FL_ID8,CC_ID4700
FL_ID8,CC_ID5189
FL_ID8,CC_ID6734
FL_ID9,CC_ID3150
FL_ID10,CC_ID10360
FL_ID10,CC_ID11154
FL_ID10,CC_ID12038
FL_ID10,CC_ID2648
FL_ID10,CC_ID3769
FL_ID10,CC_ID6169
FL_ID10,CC_ID8428
FL_ID10,CC_ID8884
FL_ID11,CC_ID10603
FL_ID11,CC_ID5259
FL_ID11,CC_ID6933
FL_ID12,CC_ID10728
FL_ID12,CC_ID3821
FL_ID12,CC_ID4194
FL_ID12,CC_ID5106
FL_ID12,CC_ID7120
FL_ID12,CC_ID8104
FL_ID12,CC_ID9000
FL_ID12,CC_ID9617
FL_ID13,CC_ID11705
FL_ID13,CC_ID12173
FL_ID13,CC_ID542
FL_ID13,CC_ID6197
FL_ID13,CC_ID830
FL_ID13,CC_ID8456
FL_ID13,CC_ID8725
FL_ID13,CC_ID90
FL_ID14,CC_ID11911
FL_ID14,CC_ID12088
FL_ID14,CC_ID5584
FL_ID14,CC_ID8113
FL_ID14,CC_ID8923
FL_ID15,CC_ID10487
FL_ID15,CC_ID11665
FL_ID15,CC_ID11762
FL_ID15,CC_ID12091
FL_ID15,CC_ID3647
FL_ID15,CC_ID4035
FL_ID15,CC_ID4146
FL_ID15,CC_ID7213
FL_ID16,CC_ID10952
FL_ID16,CC_ID12042
FL_ID16,CC_ID8163
FL_ID17,CC_ID436
FL_ID17,CC_ID5739
FL_ID17,CC_ID5855
FL_ID17,CC_ID6282
FL_ID18,CC_ID11460
FL_ID18,CC_ID4863
FL_ID18,CC_ID5109
FL_ID18,CC_ID5454
FL_ID18,CC_ID9450
FL_ID19,CC_ID10084
FL_ID19,CC_ID11184
FL_ID19,CC_ID7065
FL_ID19,CC_ID797
FL_ID20,CC_ID1783
FL_ID20,CC_ID1974
FL_ID20,CC_ID2633
FL_ID20,CC_ID2795
FL_ID20,CC_ID3443
FL_ID20,CC_ID4682
FL_ID20,CC_ID4820
FL_ID20,CC_ID6175
FL_ID21,CC_ID11862
FL_ID21,CC_ID12128
FL_ID21,CC_ID12332
FL_ID21,CC_ID12448
FL_ID21,CC_ID3489
FL_ID21,CC_ID5422
FL_ID22,CC_ID11361
FL_ID22,CC_ID12398
FL_ID22,CC_ID1910
FL_ID22,CC_ID3284
FL_ID22,CC_ID5705
FL_ID22,CC_ID6389
FL_ID22,CC_ID8930
FL_ID23,CC_ID4205
FL_ID24,CC_ID1150
FL_ID24,CC_ID3858
FL_ID24,CC_ID4448
FL_ID24,CC_ID5003
FL_ID24,CC_ID7062
FL_ID24,CC_ID7630
FL_ID24,CC_ID9597
FL_ID25,CC_ID11918
FL_ID25,CC_ID12100
FL_ID25,CC_ID12818
FL_ID25,CC_ID1971
FL_ID25,CC_ID2286
FL_ID25,CC_ID7022
FL_ID25,CC_ID7447
FL_ID25,CC_ID7763
FL_ID26,CC_ID10042
FL_ID26,CC_ID11586
FL_ID26,CC_ID300
FL_ID26,CC_ID4752
FL_ID26,CC_ID5330
FL_ID26,CC_ID756
FL_ID26,CC_ID7596
FL_ID27,CC_ID1933
FL_ID27,CC_ID2100
FL_ID27,CC_ID2357
FL_ID27,CC_ID3166
FL_ID27,CC_ID3404
FL_ID27,CC_ID8224
FL_ID27,CC_ID8399
FL_ID27,CC_ID9083
FL_ID28,CC_ID10329
FL_ID28,CC_ID11557
FL_ID28,CC_ID1684
FL_ID28,CC_ID2412
FL_ID28,CC_ID3007
FL_ID28,CC_ID4230
FL_ID28,CC_ID8789
FL_ID28,CC_ID9844
FL_ID29,CC_ID2946
FL_ID29,CC_ID398
FL_ID29,CC_ID4102
FL_ID30,CC_ID1171
FL_ID30,CC_ID2153
FL_ID30,CC_ID2892
FL_ID30,CC_ID4611
FL_ID30,CC_ID5879
FL_ID31,CC_ID11448
FL_ID31,CC_ID1516
FL_ID32,CC_ID1414
FL_ID32,CC_ID3970
FL_ID32,CC_ID5184
FL_ID32,CC_ID5963
FL_ID32,CC_ID6596
FL_ID32,CC_ID8085
FL_ID32,CC_ID9251
FL_ID33,CC_ID10939
FL_ID33,CC_ID10942
FL_ID33,CC_ID11727
FL_ID33,CC_ID1820
FL_ID33,CC_ID1911
FL_ID33,CC_ID3455
FL_ID33,CC_ID8866
FL_ID33,CC_ID9772
FL_ID34,CC_ID12376
FL_ID34,CC_ID8600
FL_ID35,CC_ID10358
FL_ID35,CC_ID11746
FL_ID35,CC_ID2228
FL_ID35,CC_ID2447
FL_ID35,CC_ID3891
FL_ID35,CC_ID4259
FL_ID35,CC_ID4587
FL_ID36,CC_ID11449
FL_ID36,CC_ID5576
FL_ID36,CC_ID67
FL_ID36,CC_ID9502
FL_ID37,CC_ID1626
FL_ID37,CC_ID2962
FL_ID37,CC_ID3274
FL_ID37,CC_ID3487
FL_ID37,CC_ID5745
FL_ID37,CC_ID7137
FL_ID37,CC_ID8708
FL_ID38,CC_ID10034
FL_ID38,CC_ID1217
FL_ID38,CC_ID1811
FL_ID38,CC_ID1888
FL_ID38,CC_ID2333
FL_ID38,CC_ID6799
FL_ID38,CC_ID7036
FL_ID38,CC_ID8309
FL_ID39,CC_ID10644
FL_ID39,CC_ID11518
FL_ID39,CC_ID12239
FL_ID39,CC_ID1818
FL_ID39,CC_ID3635
FL_ID39,CC_ID4957
FL_ID39,CC_ID9362
FL_ID40,CC_ID12432
FL_ID41,CC_ID11775
FL_ID41,CC_ID2440
FL_ID41,CC_ID3939
FL_ID41,CC_ID4629
FL_ID41,CC_ID7202
FL_ID41,CC_ID8522
FL_ID41,CC_ID9531
FL_ID42,CC_ID10216
FL_ID42,CC_ID2299
FL_ID42,CC_ID7427
FL_ID43,CC_ID2467
FL_ID43,CC_ID726
FL_ID44,CC_ID1082
FL_ID44,CC_ID11388
FL_ID44,CC_ID5073
FL_ID44,CC_ID7736
FL_ID45,CC_ID10472
FL_ID45,CC_ID10867
FL_ID45,CC_ID11363
