R_ID,CC_ID
R_ID1,CC_ID10688
R_ID1,CC_ID1086
R_ID1,CC_ID1314
R_ID1,CC_ID7596
R_ID1,CC_ID7707
R_ID1,CC_ID8535
R_ID2,CC_ID11801
R_ID2,CC_ID12227
R_ID2,CC_ID12720
R_ID2,CC_ID2574
R_ID2,CC_ID277
R_ID2,CC_ID401
R_ID2,CC_ID451
R_ID2,CC_ID4544
R_ID2,CC_ID4558
R_ID2,CC_ID4686
R_ID2,CC_ID507
R_ID2,CC_ID6517
R_ID2,CC_ID6807
R_ID2,CC_ID8255
R_ID2,CC_ID8500
R_ID2,CC_ID8831
R_ID2,CC_ID8933
R_ID2,CC_ID9030
R_ID2,CC_ID917
R_ID2,CC_ID9473
R_ID4,CC_ID11254
R_ID4,CC_ID11273
R_ID4,CC_ID11296
R_ID4,CC_ID11376
R_ID4,CC_ID12836
R_ID4,CC_ID2210
R_ID4,CC_ID2313
R_ID4,CC_ID3812
R_ID4,CC_ID4558
R_ID4,CC_ID498
R_ID4,CC_ID5154
R_ID4,CC_ID6017
R_ID4,CC_ID6156
R_ID4,CC_ID8309
R_ID4,CC_ID9578
R_ID5,CC_ID10368
R_ID5,CC_ID10826
R_ID5,CC_ID1153
R_ID5,CC_ID11652
R_ID5,CC_ID12731
R_ID5,CC_ID2511
R_ID5,CC_ID650
R_ID6,CC_ID11077
R_ID6,CC_ID11123
R_ID6,CC_ID12490
R_ID6,CC_ID1399
R_ID6,CC_ID1695
R_ID6,CC_ID1987
R_ID6,CC_ID2162
R_ID6,CC_ID2954
R_ID6,CC_ID336
R_ID6,CC_ID3666
R_ID6,CC_ID4146
R_ID6,CC_ID4260
R_ID6,CC_ID4455
R_ID6,CC_ID5620
R_ID6,CC_ID6942
R_ID6,CC_ID7327
R_ID6,CC_ID767
R_ID6,CC_ID7794
R_ID6,CC_ID8580
R_ID6,CC_ID8971
R_ID6,CC_ID9423
R_ID7,CC_ID10267
R_ID7,CC_ID11873
R_ID7,CC_ID12038
R_ID7,CC_ID1445
R_ID7,CC_ID172
R_ID7,CC_ID3933
R_ID7,CC_ID4220
R_ID7,CC_ID5485
R_ID7,CC_ID6280
R_ID7,CC_ID7084
R_ID7,CC_ID9177
R_ID8,CC_ID11041
R_ID8,CC_ID1125
R_ID8,CC_ID12658
R_ID8,CC_ID2448
R_ID8,CC_ID2765
R_ID8,CC_ID3376
R_ID8,CC_ID4219
R_ID8,CC_ID4477
R_ID8,CC_ID7695
R_ID9,CC_ID1006
R_ID9,CC_ID10624
R_ID9,CC_ID11291
R_ID9,CC_ID11754
R_ID9,CC_ID12113
R_ID9,CC_ID1563
R_ID9,CC_ID3611
R_ID9,CC_ID4241
R_ID9,CC_ID4380
R_ID9,CC_ID4382
R_ID9,CC_ID4496
R_ID9,CC_ID4506
R_ID9,CC_ID5429
R_ID9,CC_ID6661
R_ID9,CC_ID7082
R_ID9,CC_ID954
R_ID10,CC_ID10973
R_ID10,CC_ID11006
R_ID10,CC_ID11747
R_ID10,CC_ID12586
R_ID10,CC_ID1551
R_ID10,CC_ID1553
R_ID10,CC_ID2940
R_ID10,CC_ID3066
R_ID10,CC_ID3404
R_ID10,CC_ID3686
R_ID10,CC_ID4927
R_ID10,CC_ID5517
R_ID10,CC_ID6406
R_ID10,CC_ID8507
R_ID10,CC_ID9290
R_ID10,CC_ID934
R_ID10,CC_ID9557
R_ID11,CC_ID10854
R_ID11,CC_ID3163
R_ID11,CC_ID3538
R_ID11,CC_ID5857
R_ID12,CC_ID10839
R_ID12,CC_ID11321
R_ID12,CC_ID11352
R_ID12,CC_ID11685
R_ID12,CC_ID12947
R_ID12,CC_ID2763
R_ID12,CC_ID3318
R_ID12,CC_ID3551
R_ID12,CC_ID4753
R_ID12,CC_ID5320
R_ID12,CC_ID5476
R_ID12,CC_ID5714
R_ID12,CC_ID5985
R_ID12,CC_ID7677
R_ID12,CC_ID8482
R_ID12,CC_ID9214
R_ID13,CC_ID10692
R_ID13,CC_ID1974
R_ID13,CC_ID3722
R_ID13,CC_ID8166
R_ID14,CC_ID11116
R_ID14,CC_ID12017
R_ID14,CC_ID8411
R_ID15,CC_ID10108
R_ID15,CC_ID12984
R_ID15,CC_ID1648
R_ID15,CC_ID1748
R_ID15,CC_ID4915
R_ID15,CC_ID4922
R_ID15,CC_ID4999
R_ID15,CC_ID5705
R_ID15,CC_ID6742
R_ID15,CC_ID7276
R_ID15,CC_ID9939
R_ID16,CC_ID10068
R_ID16,CC_ID11173
R_ID16,CC_ID11824
R_ID16,CC_ID12434
R_ID16,CC_ID12628
R_ID16,CC_ID168
R_ID16,CC_ID5057
R_ID16,CC_ID6499
R_ID16,CC_ID6511
R_ID16,CC_ID6594
R_ID16,CC_ID7562
R_ID16,CC_ID873
R_ID16,CC_ID9388
R_ID17,CC_ID10146
R_ID17,CC_ID1745
R_ID17,CC_ID3438
R_ID17,CC_ID4791
R_ID17,CC_ID57
R_ID17,CC_ID5728
R_ID17,CC_ID6701
R_ID17,CC_ID9705
R_ID18,CC_ID11131
R_ID18,CC_ID11255
R_ID18,CC_ID12172
R_ID18,CC_ID1327
R_ID18,CC_ID2052
R_ID18,CC_ID3129
R_ID18,CC_ID38
R_ID18,CC_ID4940
R_ID18,CC_ID6201
R_ID18,CC_ID6308
R_ID18,CC_ID6608
R_ID18,CC_ID6799
R_ID18,CC_ID7666
R_ID18,CC_ID8751
R_ID19,CC_ID4991
R_ID19,CC_ID9536
R_ID20,CC_ID10018
R_ID20,CC_ID10697
R_ID20,CC_ID11494
R_ID20,CC_ID11770
R_ID20,CC_ID11905
R_ID20,CC_ID2354
R_ID20,CC_ID3305
R_ID20,CC_ID517
R_ID20,CC_ID6964
R_ID20,CC_ID7245
R_ID20,CC_ID7547
R_ID20,CC_ID8759
R_ID20,CC_ID9240
R_ID20,CC_ID926
R_ID20,CC_ID9375
R_ID21,CC_ID1044
R_ID21,CC_ID1113
R_ID21,CC_ID3282
R_ID21,CC_ID814
R_ID21,CC_ID926
R_ID21,CC_ID9544
R_ID22,CC_ID1222
R_ID22,CC_ID3140
R_ID22,CC_ID4700
R_ID22,CC_ID7711
R_ID23,CC_ID12932
R_ID23,CC_ID2523
R_ID23,CC_ID3005
R_ID23,CC_ID348
R_ID23,CC_ID5831
R_ID23,CC_ID6563
R_ID23,CC_ID7501
R_ID23,CC_ID7541
R_ID23,CC_ID8171
R_ID23,CC_ID9110
R_ID24,CC_ID10308
R_ID24,CC_ID10775
R_ID24,CC_ID11880
R_ID24,CC_ID11980
R_ID24,CC_ID128
R_ID24,CC_ID2214
R_ID24,CC_ID2985
R_ID24,CC_ID2996
R_ID24,CC_ID478
R_ID24,CC_ID7081
R_ID24,CC_ID7235
R_ID24,CC_ID7852
R_ID24,CC_ID7911
R_ID24,CC_ID8282
R_ID24,CC_ID8626
R_ID24,CC_ID867
R_ID24,CC_ID8822
R_ID24,CC_ID9211
R_ID24,CC_ID9561
R_ID24,CC_ID9825
R_ID25,CC_ID10448
R_ID25,CC_ID10519
R_ID25,CC_ID11414
R_ID25,CC_ID12068
R_ID25,CC_ID12131
R_ID25,CC_ID1491
R_ID25,CC_ID1550
R_ID25,CC_ID2222
R_ID25,CC_ID4162
R_ID25,CC_ID4194
R_ID25,CC_ID422
R_ID25,CC_ID4754
R_ID25,CC_ID5053
R_ID25,CC_ID5060
R_ID25,CC_ID5235
R_ID25,CC_ID6
R_ID25,CC_ID6837
R_ID25,CC_ID6853
R_ID25,CC_ID7273
R_ID25,CC_ID8101
R_ID25,CC_ID8391
R_ID25,CC_ID901
R_ID25,CC_ID9313
R_ID26,CC_ID11961
R_ID26,CC_ID2388
R_ID26,CC_ID519
R_ID26,CC_ID7249
R_ID26,CC_ID8214
R_ID26,CC_ID8970
R_ID26,CC_ID9987
R_ID28,CC_ID10783
R_ID28,CC_ID10844
R_ID28,CC_ID11043
R_ID28,CC_ID12181
R_ID28,CC_ID12875
R_ID28,CC_ID2723
R_ID28,CC_ID3429
R_ID28,CC_ID434
R_ID28,CC_ID4721
R_ID28,CC_ID493
R_ID28,CC_ID5664
R_ID28,CC_ID5830
R_ID28,CC_ID6187
R_ID28,CC_ID6202
R_ID28,CC_ID6293
R_ID28,CC_ID6552
R_ID28,CC_ID6763
R_ID28,CC_ID7905
R_ID28,CC_ID812
R_ID28,CC_ID8407
R_ID28,CC_ID8944
R_ID28,CC_ID9040
R_ID28,CC_ID9214
R_ID28,CC_ID9636
R_ID29,CC_ID3184
R_ID29,CC_ID40
R_ID29,CC_ID6385
R_ID29,CC_ID9613
R_ID30,CC_ID1151
R_ID30,CC_ID1171
R_ID30,CC_ID11731
R_ID30,CC_ID12247
