R_ID,CC_ID
R_ID2,CC_ID8202
R_ID3,CC_ID5297
R_ID4,CC_ID11420
R_ID5,CC_ID2642
R_ID6,CC_ID1898
R_ID6,CC_ID6535
R_ID6,CC_ID792
R_ID8,CC_ID3825
R_ID9,CC_ID10020
R_ID13,CC_ID6563
R_ID14,CC_ID5059
R_ID15,CC_ID1353
R_ID16,CC_ID9223
R_ID18,CC_ID10451
R_ID19,CC_ID12959
R_ID21,CC_ID2811
R_ID24,CC_ID12937
R_ID26,CC_ID9278
R_ID27,CC_ID11997
R_ID29,CC_ID3029
R_ID30,CC_ID10108
R_ID33,CC_ID10580
R_ID34,CC_ID4151
R_ID36,CC_ID10568
R_ID37,CC_ID4220
R_ID40,CC_ID1480
R_ID41,CC_ID11374
R_ID42,CC_ID2402
R_ID43,CC_ID5517
R_ID45,CC_ID5684
R_ID47,CC_ID3699
R_ID53,CC_ID7247
R_ID57,CC_ID11150
R_ID57,CC_ID12561
R_ID57,CC_ID2167
R_ID59,CC_ID3873
R_ID63,CC_ID8896
R_ID66,CC_ID9425
R_ID67,CC_ID762
R_ID69,CC_ID3480
R_ID70,CC_ID5746
R_ID74,CC_ID8901
R_ID75,CC_ID1580
R_ID75,CC_ID4172
R_ID75,CC_ID8182
R_ID76,CC_ID2062
R_ID76,CC_ID2121
R_ID76,CC_ID5949
R_ID80,CC_ID1876
R_ID81,CC_ID11370
R_ID83,CC_ID8773
R_ID85,CC_ID858
R_ID87,CC_ID11485
R_ID89,CC_ID5495
R_ID91,CC_ID12105
R_ID92,CC_ID9606
R_ID94,CC_ID6246
R_ID100,CC_ID3862
R_ID102,CC_ID11523
R_ID103,CC_ID193
R_ID104,CC_ID11688
R_ID105,CC_ID3425
R_ID106,CC_ID6618
R_ID107,CC_ID8781
R_ID110,CC_ID1376
R_ID116,CC_ID10517
R_ID119,CC_ID12012
R_ID120,CC_ID8205
R_ID121,CC_ID183
R_ID125,CC_ID2024
R_ID126,CC_ID12342
R_ID126,CC_ID8111
R_ID126,CC_ID8601
R_ID127,CC_ID4507
R_ID129,CC_ID1895
R_ID130,CC_ID4737
R_ID133,CC_ID12460
R_ID135,CC_ID8102
R_ID136,CC_ID2581
R_ID136,CC_ID3334
R_ID136,CC_ID4228
R_ID138,CC_ID6414
R_ID142,CC_ID10826
R_ID142,CC_ID10854
R_ID142,CC_ID8861
R_ID144,CC_ID10690
R_ID146,CC_ID10426
R_ID147,CC_ID6081
R_ID152,CC_ID8539
R_ID154,CC_ID5901
R_ID155,CC_ID9437
R_ID158,CC_ID12624
R_ID159,CC_ID7781
R_ID160,CC_ID12116
R_ID163,CC_ID6962
R_ID166,CC_ID9304
R_ID168,CC_ID3939
