EC_ID,EC_PRC,EC_POC,EC_STEPS
EC_ID1,EC_ID6,EC_ID82,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.0"
EC_ID2,EC_ID37,EC_ID290,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.0"
EC_ID3,EC_ID143,EC_ID31,"A clinician-requested bolus shall be delivered at the rate, Fccb, of V T BI divided by the duration chosen by the clinician, ?ccb, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0"
EC_ID4,EC_ID28,EC_ID285,The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician.0
EC_ID5,EC_ID118,EC_ID266,The PCA pump shall switch to KVO infusion rate upon receiving an authenticated command through its ICE interface.0
EC_ID6,EC_ID176,EC_ID68,All alarms not of high priority shall be encrypted and authenticated. High priority alarms may be encrypted and authenticated.0
EC_ID7,EC_ID48,EC_ID280,The mechanical pump shall not allow reverse flow from the patient into the pump.0
EC_ID8,EC_ID249,EC_ID29,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.0
EC_ID9,EC_ID211,EC_ID145,"The user interface must show that the PCA pump is working on battery backup, and an estimate of the number of minutes of battery-powered infusion remain.0"
EC_ID10,EC_ID55,EC_ID24,The ICE interface shall allow an authorized clinician to set the duration of clinician-requested boluses through an ICE supervisor user interface.0
EC_ID11,EC_ID283,EC_ID196,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.0
EC_ID12,EC_ID36,EC_ID175,The PCA pump shall detect battery failure and issue a battery failure alarm0
EC_ID13,EC_ID46,EC_ID288,Patient-requested bolus delivery shall be immediately halted when alarms sound.0
EC_ID14,EC_ID5,EC_ID188,"If delivered basal flow rate exceeds the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow, the pump shall issue an basal over-infusion alarm (EC3.2.7).0"
EC_ID15,EC_ID31,EC_ID59,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE0"
EC_ID16,EC_ID193,EC_ID251,The Control Panel shall provide means to inactivate audible alarms indefinitely0
EC_ID17,EC_ID71,EC_ID37,"display of visual information, and0"
EC_ID18,EC_ID86,EC_ID294,"Hospital procedures must endow the attending clinician access to the door key135, yet prevent other persons’ access.0"
EC_ID19,EC_ID222,EC_ID56,The PCA pump shall have a start button.0
EC_ID20,EC_ID259,EC_ID81,"When an occlusion alarm occurs, the pump shall be stopped immediately without completing the current pump stroke0"
EC_ID21,EC_ID40,EC_ID86,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.0
EC_ID22,EC_ID115,EC_ID154,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.0"
EC_ID23,EC_ID271,EC_ID89,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.0"
EC_ID24,EC_ID182,EC_ID206,The event log shall record 30 days of typical events before overwriting oldest event records first.0
EC_ID25,EC_ID7,EC_ID203,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)0
EC_ID26,EC_ID237,EC_ID212,"Upon the clinician’s pressing of the stop button, prescribed infusion shall halt.0"
EC_ID27,EC_ID220,EC_ID44,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.0"
EC_ID28,EC_ID281,EC_ID19,–removed all Rx entry via scanner0
EC_ID29,EC_ID205,EC_ID134,"If the same alert-stop-start sequence occurs 3 or more times in ten minutes, infusion will be stopped, and an audible alarm sounded.0"
EC_ID30,EC_ID145,EC_ID261,The PCA pump must not leak current greater than 10 mA0
EC_ID31,EC_ID12,EC_ID135,"The PCA pump shall maintain an electronic fault log to record each fault condition, and the associated alarm and/or alert issued.0"
EC_ID32,EC_ID235,EC_ID225,"–requirement removed, Rx read from drug container by scanner0"
EC_ID33,EC_ID272,EC_ID300,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow0"
EC_ID34,EC_ID188,EC_ID205,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.0
EC_ID35,EC_ID221,EC_ID137,The scanner shall read and authenticate information from the patient’s wristband0
EC_ID36,EC_ID162,EC_ID100,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.0"
EC_ID37,EC_ID175,EC_ID257,The PCA pump shall detect upstream occlusion.0
EC_ID38,EC_ID262,EC_ID30,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops0"
EC_ID39,EC_ID192,EC_ID69,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.0"
EC_ID40,EC_ID97,EC_ID219,"The drug library102 can be thought of as a lookup table that, given a drug name and a location, provides typical and safe limits of different infusion parameters. The drug library shall be determined by an authorized and authenticated hospital pharmacist0"
EC_ID41,EC_ID191,EC_ID287,"During normal use and/or single fault condition of the equipment, continuous reverse delivery115 shall not be possible (from IEC 601-2-24)0"
EC_ID42,EC_ID268,EC_ID51,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.0
EC_ID43,EC_ID255,EC_ID22,The scanner shall read and authenticate information from the clinician’s badge0
EC_ID44,EC_ID284,EC_ID64,"The PCA pump shall detect power supply voltage out-of-range, issue a voltage out-of-range warning, and switch to battery backup when out-of-range.0"
EC_ID45,EC_ID174,EC_ID222,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.0
EC_ID46,EC_ID107,EC_ID264,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.0"
EC_ID47,EC_ID64,EC_ID259,The PCA pump shall issue alarms and warnings that require clinician attention.0
EC_ID48,EC_ID124,EC_ID77,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.0
EC_ID49,EC_ID269,EC_ID213,An authorized clinician must personally confirm the prescription97 is authentic and meant for the patient to be infused. The routine procedures by which clinicians load the drug reservoir must ensure that the prescription filled by an authorized0
EC_ID50,EC_ID277,EC_ID223,The PCA pump shall use a physician’s prescription as device parameters.0
EC_ID51,EC_ID223,EC_ID168,When auditory alarms are inactive the control panel shall display an inactive auditory alarm symbol from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0
EC_ID52,EC_ID287,EC_ID269,"Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions0"
EC_ID53,EC_ID119,EC_ID52,The Control Panel shall provide means to inactivate audible alarms indefinitely1
EC_ID54,EC_ID153,EC_ID186,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.1
EC_ID55,EC_ID196,EC_ID143,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.1"
EC_ID56,EC_ID300,EC_ID28,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.1"
EC_ID57,EC_ID102,EC_ID169,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.1
EC_ID58,EC_ID96,EC_ID65,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.1
EC_ID59,EC_ID181,EC_ID262,The mechanical pump shall not allow reverse flow from the patient into the pump.1
EC_ID60,EC_ID111,EC_ID160,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.1"
EC_ID61,EC_ID177,EC_ID46,"The PCA pump shall detect power supply voltage out-of-range, issue a voltage out-of-range warning, and switch to battery backup when out-of-range.1"
EC_ID62,EC_ID227,EC_ID124,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.1"
EC_ID63,EC_ID273,EC_ID72,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.1
EC_ID64,EC_ID15,EC_ID217,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow1"
EC_ID65,EC_ID179,EC_ID226,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.1"
EC_ID66,EC_ID274,EC_ID291,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.1"
