FL_ID,FL_DESC,FL_FO,FL_REPORTEDBY,FL_ASSIGNEDTO,FL_SOLUTION,FL_STATUS
FL_ID1,"The PCA pump shall have continuous fault-detection and masking. Hardware monitors of thread heartbeat, memory error correction codes are examples.0",CC_ID1211,Rami,Caleb,basal rate or bolus VTBI exceeded hard limit0,Open
FL_ID2,"The alarm indicator appearance shall comply with color, flashing frequency, and duty cycle given in Table 5.0",CC_ID2539,Rami,Caleb,no audible alarm0,Open
FL_ID3,"If delivered clinician-requested bolus flow rate is less than the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops0",CC_ID637,Ben,Alex,measured flow rate below setting0,Clossed
FL_ID4,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.0,CC_ID2202,Rami,Alex,drug or prescription not intended for this patient0,Clossed
FL_ID5,"If the drug volume in the reservoir measures less than Vlra = 1 ml, and an infusion is in progress, a low-reservoir warning100 shall be issued.0",CC_ID58,Rami,Jane,pump fails to prime after loading drug reservoir0,Open
FL_ID6,The event log shall record 30 days of typical events before overwriting oldest event records first.0,CC_ID612,Ben,Caleb,blockage between reservoir and pump0,Open
FL_ID7,The mechanical pump shall not allow reverse flow from the patient into the pump.0,CC_ID891,Nasim,Alex,basal rate or bolus VTBI exceeded soft limit0,Open
FL_ID8,Information in event and Fault Logs shall be retained for at least ?log = 1000 hours after the PCA pump is turned-off and unplugged.0,CC_ID48,Rami,Jane,indication of no ICE alarms enabled0,Open
FL_ID9,Prescriptions that violate a hard limit of the drug in the drug library shall be rejected with visible and audible indication when confirmation is attempted by the clinician.0,CC_ID1421,Ben,Caleb,the drug library fails authenticity or integrity check0,Open
FL_ID10,"If the drug loaded into the drug reservoir is not present in the drug library or the library does not pass authentication and integrity checks, that the drug is unknown0",CC_ID127,Nasim,Sugandha,measured flow rate exceeds setting0,Open
FL_ID11,–removed all Rx entry via scanner0,CC_ID2375,Ben,Jane,Bolus request denied because minimum time between boluses had not elapsed.0,Clossed
FL_ID12,The PCA pump shall detect battery failure and issue a battery failure alarm0,CC_ID1008,Rami,Alex,pump temperature exceeds 55 C0,Open
FL_ID13,The scanner shall read and authenticate information from the drug’s package label0,CC_ID2230,Ben,Alex,PCA pump detects its own failure0,Assigned
FL_ID14,Alarm’s and warning’s priority shall be determined in accordance with standard IEC 60601-1-8 Medical electrical equipment - Part 1-8: General requirements for safety - Collateral standard.0,CC_ID1631,Ben,Alex,clinician not authorized to operate pump0,Open
FL_ID15,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)0,CC_ID2027,Jerry,Alex,power-on self test fails0,Open
FL_ID16,The pump shall be able to deliver basal infusion at flows throughout the basal infusion flow range of Fbasal min = 1 to Fbasal max = 10 ml/hr.0,CC_ID614,Ben,Alex,dose reaches maximum allowed by drug library0,Open
FL_ID17,The ICE interface shall allow an authorized clinician to set the duration of clinician-requested boluses through an ICE supervisor user interface.0,CC_ID751,Ben,Alex,blockage between pump and patient0,Open
FL_ID18,Alarms shall be issued in order of occurrence.0,CC_ID552,Rami,Caleb,patient not admitted to hospital0,Open
FL_ID19,"Alarms shall cause audible alarms signals that meet the requirements of Tables 203 and 204 of standard IEC 60601-1-8 for alarm pulses, bursts, and harmonics.0",CC_ID1912,Ben,Caleb,bubble detection0,Open
FL_ID20,The scanner shall read and authenticate information from the clinician’s badge0,CC_ID1385,Rami,Alex,measured flow rate exceeds setting1,Open
FL_ID21,"A clinician observing the discomfort of the patient may command the PCA pump to deliver a square bolus of the same volume-to-be-infused, V T BI, as patient-requested bolus over a period of time chosen by the clinician.0",CC_ID1567,Ben,Caleb,basal rate or bolus VTBI exceeded soft limit1,Assigned
FL_ID22,When auditory alarms are inactive the control panel shall display an inactive auditory alarm symbol from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,CC_ID1448,Rami,Jane,drug or prescription not intended for this patient1,Open
FL_ID23,Prescribed V T BI and rate shall not exceed the hard limits set by the drug library from the hospital pharmacy for the drug loaded in the PCA pump.0,CC_ID1331,Jerry,Caleb,power-on self test fails1,Open
FL_ID24,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi0,CC_ID952,Ben,Caleb,patient not admitted to hospital1,Open
FL_ID25,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.30,CC_ID1807,Ben,Alex,blockage between reservoir and pump1,Clossed
FL_ID26,"After the clinician presses the start button, but before commencing infusion, the values of V T BI and Fbasal are checked against the drug library entry of the drug to be infused.0",CC_ID2501,Rami,Sugandha,Bolus request denied because minimum time between boluses had not elapsed.1,Open
FL_ID27,The scanner shall read and authenticate information from the patient’s wristband0,CC_ID190,Ben,Caleb,blockage between pump and patient1,Open
FL_ID28,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.0,CC_ID200,Jerry,Sugandha,measured flow rate below setting1,Open
FL_ID29,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.0,CC_ID2236,Jerry,Caleb,no audible alarm1,Open
FL_ID30,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.0",CC_ID2232,Ben,Alex,pump temperature exceeds 55 C1,Open
FL_ID31,"If a drug library’s soft limit is violated by the proposed settings, but not a hard limit, a warning is shown to the clinician by the user interface and a distinctive, irritating sound made and recorded in the Event Log.0",CC_ID1110,Ben,Alex,PCA pump detects its own failure1,Open
FL_ID32,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided0",CC_ID116,Ben,Alex,dose reaches maximum allowed by drug library1,Open
FL_ID33,The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.0,CC_ID2729,Nasim,Jane,the drug library fails authenticity or integrity check1,Assigned
