FL_ID,FL_DESC,FL_FO,FL_REPORTEDBY,FL_ASSIGNEDTO,FL_SOLUTION,FL_STATUS
FL_ID1,Each tone in the alarm melody shall be composed of a minimum of 4 harmonic components in the range 300 Hz to 4000 Hz comprising an inverted 9th jazz chord.0,CC_ID134,Nasim,Alex,no audible alarm0,Open
FL_ID2,Each log entry shall have a time stamp81 with its time of occurrence.0,CC_ID1520,Jerry,Alex,PCA pump detects its own failure0,Open
FL_ID3,") All filled prescriptions (liquid, narcotic pain-killer dispensed by the hospital pharmacy) must be labeled at least visibly with a. Patient name b. Drug code c. Name of drug d. Concentration0",CC_ID423,Ben,Caleb,basal rate or bolus VTBI exceeded soft limit0,Assigned
FL_ID4,The control panel must display currently-programmed patient data and physician’s prescription.0,CC_ID31,Ben,Caleb,drug or prescription not intended for this patient0,Open
FL_ID5,"When an occlusion alarm occurs, the pump shall be stopped immediately without completing the current pump stroke0",CC_ID1588,Ben,Alex,Bolus request denied because minimum time between boluses had not elapsed.0,Clossed
FL_ID6,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.30,CC_ID155,Jerry,Alex,blockage between reservoir and pump0,Open
FL_ID7,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.0",CC_ID145,Ben,Caleb,indication of no ICE alarms enabled0,Open
FL_ID8,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.0,CC_ID1850,Ben,Alex,blockage between pump and patient0,Open
FL_ID9,"If the drug loaded into the drug reservoir is not present in the drug library or the library does not pass authentication and integrity checks, that the drug is unknown0",CC_ID363,Ben,Alex,the drug library fails authenticity or integrity check0,Clossed
FL_ID10,When auditory alarms are inactive the control panel shall display an inactive auditory alarm symbol from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,CC_ID1571,Jerry,Sugandha,patient not admitted to hospital0,Open
FL_ID11,The mechanical pump shall not allow reverse flow from the patient into the pump.0,CC_ID462,Nasim,Alex,clinician not authorized to operate pump0,Open
FL_ID12,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.0",CC_ID1092,Rami,Sugandha,dose reaches maximum allowed by drug library0,Open
FL_ID13,The PCA pump shall implement a safety architecture112 that separates normal operation from fault detection and response.0,CC_ID1845,Ben,Alex,power-on self test fails0,Open
FL_ID14,The control panel shall allow authorized clinician bolus request 60 and choice of duration.0,CC_ID38,Nasim,Jane,pump temperature exceeds 55 C0,Assigned
