R_ID,R_NAME,R_DESC,R_OWNER,R_STATUS
R_ID1,R_NAME633,"If the estimated battery life remaining is less than ?lba = 3 minutes, the pump shall issue a low-battery warning.0",Alex,Deffered
R_ID2,R_NAME560,The PCA pump shall issue alarms and warnings that require clinician attention.0,Caleb,Completed
R_ID3,R_NAME284,The pump shall deliver basal infusion at the prescribed basal rate within a basal infusion flow tolerance of Fbasal tol = 0.5 ml/hr of the prescribed basal rate.0,Caleb,Completed
R_ID4,R_NAME202,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.0",Priya,Open
R_ID5,R_NAME654,"The PCA pump shall continue to infuse for 10 minutes during interruption of mains electricity supply using battery backup, either continuously or spread over an hour. (Five minutes to recharge per minute using battery.)0",Alex,Completed
R_ID6,R_NAME133,An authorized clinician must personally confirm the prescription97 is authentic and meant for the patient to be infused. The routine procedures by which clinicians load the drug reservoir must ensure that the prescription filled by an authorized0,Priya,Completed
R_ID7,R_NAME898,The control panel must display currently-programmed patient data and physician’s prescription.0,Alex,Completed
R_ID8,R_NAME867,The PCA pump must not leak current greater than 10 mA0,Priya,Completed
R_ID9,R_NAME348,"If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).0",Caleb,Deffered
R_ID10,R_NAME887,Information in event and Fault Logs shall be retained for at least ?log = 1000 hours after the PCA pump is turned-off and unplugged.0,Caleb,Open
R_ID11,R_NAME917,Component failure must not harm patient (beyond stopping function).0,Caleb,Completed
R_ID12,R_NAME572,The patient’s prescription shall be retained for at least ?data = 96 hours after the PCA pump is turned-off and unplugged.0,Caleb,Completed
R_ID13,R_NAME568,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.30,Caleb,Completed
R_ID14,R_NAME20,"Successfully masked faults shall be recorded in the Fault Log, but raise an alarm.0",Caleb,Completed
R_ID15,R_NAME114,"If the drug volume in the reservoir measures less than Vers =0.5 ml, and an infusion is in progress, an empty-reservoir alarm101 shall be issued stopping the pump.0",Priya,Completed
R_ID16,R_NAME334,Prescribed V T BI and rate shall not exceed the hard limits set by the drug library from the hospital pharmacy for the drug loaded in the PCA pump.0,Caleb,Completed
R_ID17,R_NAME156,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided0",Caleb,Completed
R_ID18,R_NAME605,Alarm’s and warning’s priority shall be determined in accordance with standard IEC 60601-1-8 Medical electrical equipment - Part 1-8: General requirements for safety - Collateral standard.0,Jay,Completed
R_ID19,R_NAME585,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.0",Caleb,Deffered
R_ID20,R_NAME420,Alarms shall be issued in order of occurrence.0,Caleb,Completed
R_ID21,R_NAME997,The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.0,Caleb,Open
R_ID22,R_NAME94,At least one visual alarm signal shall be provided that identifies the specific alarm condition and its priority. This signal shall be perceived correctly (be legible) at a distance of 1 m from the equipment0,Alex,Completed
R_ID23,R_NAME245,"The user interface must show that the PCA pump is working on battery backup, and an estimate of the number of minutes of battery-powered infusion remain.0",Caleb,Open
R_ID24,R_NAME8,The ICE Interface shall transmit encrypted and authenticated current operating status to the ICE system.0,Jay,Completed
R_ID25,R_NAME109,"If a drug library’s soft limit is violated by the proposed settings, but not a hard limit, a warning is shown to the clinician by the user interface and a distinctive, irritating sound made and recorded in the Event Log.0",Caleb,Completed
R_ID26,R_NAME41,"–removed, must scan Rx from label of drug container0",Caleb,Completed
R_ID27,R_NAME792,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE0",Caleb,Completed
R_ID28,R_NAME722,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.0",Priya,Open
R_ID29,R_NAME377,The PCA pump shall have a stop button0,Caleb,Completed
R_ID30,R_NAME574,"A clinician-requested bolus shall be delivered at the rate, Fccb, of V T BI divided by the duration chosen by the clinician, ?ccb, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",Caleb,Completed
R_ID31,R_NAME449,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.0,Caleb,Completed
R_ID32,R_NAME935,"The PCA pump shall detect power supply voltage out-of-range, issue a voltage out-of-range warning, and switch to battery backup when out-of-range.0",Caleb,Completed
R_ID33,R_NAME60,"If the drug loaded into the drug reservoir is not present in the drug library or the library does not pass authentication and integrity checks, that the drug is unknown0",Caleb,Deffered
R_ID34,R_NAME384,The PCA pump shall detect battery failure and issue a battery failure alarm0,Jay,Completed
R_ID35,R_NAME639,The fault log shall record at least 1000 faults before overwriting oldest fault records first.0,Caleb,Completed
R_ID36,R_NAME254,The estimate of remaining battery energy must be accurate to within Xbtty = 25%.0,Priya,Deffered
R_ID37,R_NAME905,Visual alarms shall display alarm symbols from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,Priya,Completed
R_ID38,R_NAME912,"The drug library102 can be thought of as a lookup table that, given a drug name and a location, provides typical and safe limits of different infusion parameters. The drug library shall be determined by an authorized and authenticated hospital pharmacist0",Jay,Completed
R_ID39,R_NAME246,"display of visual information, and0",Caleb,Completed
R_ID40,R_NAME28,The Control Panel shall provide means to inactivate audible alarms indefinitely0,Caleb,Completed
R_ID41,R_NAME229,The mechanical pump shall not allow reverse flow from the patient into the pump.0,Alex,Open
R_ID42,R_NAME478,Prescriptions that violate a hard limit of the drug in the drug library shall be rejected with visible and audible indication when confirmation is attempted by the clinician.0,Jay,Completed
R_ID43,R_NAME468,"Hospital procedures must endow the attending clinician access to the door key135, yet prevent other persons’ access.0",Caleb,Completed
R_ID44,R_NAME864,When auditory alarms are inactive the control panel shall display an inactive auditory alarm symbol from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,Alex,Completed
R_ID45,R_NAME980,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.0,Caleb,Completed
R_ID46,R_NAME345,The scanner shall read and authenticate information from the clinician’s badge0,Priya,Completed
R_ID47,R_NAME528,The drug reservoir holds liquid pain-killer supplied by the hospital pharmacy and loaded into the PCA pump by the clinician.0,Caleb,Completed
R_ID48,R_NAME193,"The minimum clinician-chosen duration for a clinician-requested bolus shall be the prescribed minimum number of minutes between consecutive patient-requested bolus deliveries, ?prb.0",Caleb,Completed
R_ID49,R_NAME146,"A clinician observing the discomfort of the patient may command the PCA pump to deliver a square bolus of the same volume-to-be-infused, V T BI, as patient-requested bolus over a period of time chosen by the clinician.0",Alex,Completed
R_ID50,R_NAME956,"If a drug library’s hard limit is violated by the proposed settings, the limit violated is indicated0",Jay,Completed
R_ID51,R_NAME262,The scanner shall read and authenticate information from the patient’s wristband0,Caleb,Completed
R_ID52,R_NAME910,"If the same alert-stop-start sequence occurs 3 or more times in ten minutes, infusion will be stopped, and an audible alarm sounded.0",Caleb,Open
R_ID53,R_NAME977,The PCA pump shall detect air-in-line embolism (bubble).0,Caleb,Deffered
R_ID54,R_NAME586,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.0",Alex,Completed
R_ID55,R_NAME292,"The PCA pump shall maintain an electronic fault log to record each fault condition, and the associated alarm and/or alert issued.0",Caleb,Completed
R_ID56,R_NAME125,"If delivered basal flow rate is less than the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops, the pump shall issue an basal under-infusion warning (EC3.2.8).0",Priya,Open
R_ID57,R_NAME78,All materials that contact fluid shall be biocompatible0,Caleb,Completed
R_ID58,R_NAME362,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.0,Caleb,Completed
R_ID59,R_NAME148,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.0,Caleb,Completed
R_ID60,R_NAME117,"After the clinician presses the start button, but before commencing infusion, the values of V T BI and Fbasal are checked against the drug library entry of the drug to be infused.0",Alex,Completed
R_ID61,R_NAME330,The Control Panel shall provide means to cancel alarm signal inactivation.0,Caleb,Open
R_ID62,R_NAME820,"Occurrence of unavoidable single-event upsets caused by cosmic-ray-induced high- and thermalenergy neutrons must be either masked, or detected to fail-stop0",Priya,Completed
R_ID63,R_NAME230,Temporarily paused alarms shall reactivate ?ap = 10 minutes after inactivation.0,Caleb,Completed
R_ID64,R_NAME70,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi0,Caleb,Open
R_ID65,R_NAME477,The PCA pump shall detect upstream occlusion.0,Caleb,Completed
R_ID66,R_NAME16,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,Caleb,Completed
R_ID67,R_NAME696,The PCA pump case must be at least difficult to breech as its tamper-resistant door. Breaking the case shall not be easier to access the drug reservoir than breeching the door.0,Caleb,Completed
R_ID68,R_NAME963,All alarms not of high priority shall be encrypted and authenticated. High priority alarms may be encrypted and authenticated.0,Caleb,Deffered
R_ID69,R_NAME873,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.0",Priya,Open
R_ID70,R_NAME25,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.0,Caleb,Completed
R_ID71,R_NAME976,The PCA pump shall use a physician’s prescription as device parameters.0,Caleb,Completed
R_ID72,R_NAME800,The PCA pump shall have a start button.0,Jay,Completed
R_ID73,R_NAME273,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.0,Caleb,Completed
R_ID74,R_NAME519,sound of audible alarm0,Priya,Completed
R_ID75,R_NAME698,The event log shall record 30 days of typical events before overwriting oldest event records first.0,Caleb,Completed
R_ID76,R_NAME366,The control panel shall allow authorized clinician bolus request 60 and choice of duration.0,Caleb,Completed
R_ID77,R_NAME112,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow0",Caleb,Deffered
R_ID78,R_NAME252,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.0,Caleb,Open
R_ID79,R_NAME504,The alarm melody of audible alarms signals shall conform to Table AAA.1 of standard IEC 60601-1-8 for drug or fluid delivery. “C d g” shall be used for medium priority alarms; “C d g - C d” shall be used for high priority alarms0,Alex,Deffered
R_ID80,R_NAME827,The ICE interface shall transmit encrypted and authenticated alarms and warnings to the ICE system.0,Caleb,Completed
R_ID81,R_NAME643,"Upon the clinician’s pressing of the stop button, prescribed infusion shall halt.0",Caleb,Deffered
R_ID82,R_NAME940,–removed all Rx entry via scanner0,Alex,Completed
R_ID83,R_NAME390,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.0,Caleb,Deffered
R_ID84,R_NAME212,A real-time clock must produce timestamps accurate to 10 ms.0,Caleb,Completed
R_ID85,R_NAME522,"When an occlusion alarm occurs, the pump shall be stopped immediately without completing the current pump stroke0",Caleb,Completed
R_ID86,R_NAME857,"The PCA pump shall perform a power-on-self-test (POST) to assure system integrity after being turned on, yet before any infusion begins. Failure of POST shall raise a POST alarm, stop pump0",Caleb,Completed
R_ID87,R_NAME655,"–requirement removed, Rx read from drug container by scanner0",Priya,Completed
R_ID88,R_NAME552,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.0",Caleb,Completed
R_ID89,R_NAME567,"The PCA pump shall have continuous fault-detection and masking. Hardware monitors of thread heartbeat, memory error correction codes are examples.0",Caleb,Completed
R_ID90,R_NAME747,The PCA pump shall detect downstream occlusion.0,Priya,Completed
R_ID91,R_NAME48,The Control Panel shall provide means to inactivate audible alarms temporarily for a predefined period of time.0,Jay,Completed
R_ID92,R_NAME307,The ICE interface shall allow an authorized clinician to set the duration of clinician-requested boluses through an ICE supervisor user interface.0,Caleb,Completed
R_ID93,R_NAME439,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.0,Caleb,Completed
R_ID94,R_NAME890,"The mechanical pump shall pump drug at prescribed flow rates for basal, bolus, and KVO infusion when commanded.0",Caleb,Deffered
R_ID95,R_NAME866,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.0",Caleb,Completed
R_ID96,R_NAME408,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.0,Priya,Completed
R_ID97,R_NAME630,"Changing prescription during infusion shall require prescription confirmation61, clinician authentication62, patient authentication63, prescription authentication64 (patient-to-drug match) and drug authentication0",Caleb,Completed
R_ID98,R_NAME153,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.0,Priya,Completed
R_ID99,R_NAME59,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.0",Caleb,Completed
R_ID100,R_NAME322,"A patient-requested bolus shall be delivered at its prescribed rate, Fbolus, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",Priya,Deffered
R_ID101,R_NAME766,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops0",Caleb,Completed
R_ID102,R_NAME981,"Hardware faults detected, but not masked, shall raise a fault alarm, stop pump, record it in the Fault Log, and display the reason for fault on the user interface.0",Priya,Completed
R_ID103,R_NAME859,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)0,Priya,Completed
R_ID104,R_NAME922,The PCA pump shall switch to KVO infusion rate upon receiving an authenticated command through its ICE interface.0,Jay,Completed
