"R_ID","UC_ID"
"R_ID1085","UC_ID1"
"R_ID11934","UC_ID1"
"R_ID12147","UC_ID1"
"R_ID15155","UC_ID1"
"R_ID2072","UC_ID1"
"R_ID2348","UC_ID1"
"R_ID2798","UC_ID1"
"R_ID4527","UC_ID1"
"R_ID7939","UC_ID1"
"R_ID1097","UC_ID2"
"R_ID11705","UC_ID2"
"R_ID13339","UC_ID2"
"R_ID13880","UC_ID2"
"R_ID13991","UC_ID2"
"R_ID17283","UC_ID2"
"R_ID11576","UC_ID3"
"R_ID13727","UC_ID3"
"R_ID1382","UC_ID3"
"R_ID15011","UC_ID3"
"R_ID16123","UC_ID3"
"R_ID17531","UC_ID3"
"R_ID17630","UC_ID3"
"R_ID18008","UC_ID3"
"R_ID1847","UC_ID3"
"R_ID19193","UC_ID3"
"R_ID2157","UC_ID3"
"R_ID2771","UC_ID3"
"R_ID4874","UC_ID3"
"R_ID6940","UC_ID3"
"R_ID8271","UC_ID3"
"R_ID9582","UC_ID3"
"R_ID9800","UC_ID3"
"R_ID10385","UC_ID4"
"R_ID10680","UC_ID4"
"R_ID110","UC_ID4"
"R_ID12188","UC_ID4"
"R_ID1220","UC_ID4"
"R_ID12555","UC_ID4"
"R_ID12930","UC_ID4"
"R_ID1475","UC_ID4"
"R_ID1602","UC_ID4"
"R_ID1636","UC_ID4"
"R_ID17365","UC_ID4"
"R_ID17789","UC_ID4"
"R_ID18293","UC_ID4"
"R_ID18389","UC_ID4"
"R_ID18560","UC_ID4"
"R_ID19421","UC_ID4"
"R_ID19427","UC_ID4"
"R_ID19728","UC_ID4"
"R_ID2303","UC_ID4"
"R_ID2672","UC_ID4"
"R_ID3053","UC_ID4"
"R_ID5897","UC_ID4"
"R_ID6818","UC_ID4"
"R_ID7685","UC_ID4"
"R_ID7969","UC_ID4"
"R_ID9618","UC_ID4"
"R_ID9701","UC_ID4"
"R_ID10484","UC_ID5"
"R_ID11281","UC_ID5"
"R_ID17828","UC_ID5"
"R_ID17864","UC_ID5"
"R_ID2095","UC_ID5"
"R_ID4102","UC_ID5"
"R_ID8116","UC_ID5"
"R_ID8757","UC_ID5"
"R_ID10699","UC_ID6"
"R_ID11502","UC_ID6"
"R_ID11818","UC_ID6"
"R_ID12578","UC_ID6"
"R_ID12886","UC_ID6"
"R_ID13493","UC_ID6"
"R_ID13834","UC_ID6"
"R_ID13882","UC_ID6"
"R_ID14333","UC_ID6"
"R_ID14370","UC_ID6"
"R_ID14783","UC_ID6"
"R_ID15114","UC_ID6"
"R_ID15536","UC_ID6"
"R_ID1560","UC_ID6"
"R_ID17212","UC_ID6"
"R_ID1851","UC_ID6"
"R_ID19263","UC_ID6"
"R_ID305","UC_ID6"
"R_ID3398","UC_ID6"
"R_ID3453","UC_ID6"
"R_ID3462","UC_ID6"
"R_ID3497","UC_ID6"
"R_ID4798","UC_ID6"
"R_ID5467","UC_ID6"
"R_ID5889","UC_ID6"
"R_ID7442","UC_ID6"
"R_ID872","UC_ID6"
"R_ID9285","UC_ID6"
"R_ID9584","UC_ID6"
"R_ID9859","UC_ID6"
"R_ID10405","UC_ID7"
"R_ID10705","UC_ID7"
"R_ID12737","UC_ID7"
"R_ID12880","UC_ID7"
"R_ID14260","UC_ID7"
"R_ID15057","UC_ID7"
"R_ID15219","UC_ID7"
"R_ID15227","UC_ID7"
"R_ID16556","UC_ID7"
"R_ID16853","UC_ID7"
"R_ID17088","UC_ID7"
"R_ID17892","UC_ID7"
"R_ID19991","UC_ID7"
"R_ID2642","UC_ID7"
"R_ID2988","UC_ID7"
"R_ID3248","UC_ID7"
"R_ID3342","UC_ID7"
"R_ID6451","UC_ID7"
"R_ID7667","UC_ID7"
"R_ID8133","UC_ID7"
"R_ID8643","UC_ID7"
"R_ID8793","UC_ID7"
"R_ID9206","UC_ID7"
"R_ID1133","UC_ID8"
"R_ID11655","UC_ID8"
"R_ID12098","UC_ID8"
"R_ID13008","UC_ID8"
"R_ID13781","UC_ID8"
"R_ID15142","UC_ID8"
"R_ID16885","UC_ID8"
"R_ID17533","UC_ID8"
"R_ID17793","UC_ID8"
"R_ID18566","UC_ID8"
"R_ID1955","UC_ID8"
"R_ID2375","UC_ID8"
"R_ID3158","UC_ID8"
"R_ID328","UC_ID8"
"R_ID3638","UC_ID8"
"R_ID7533","UC_ID8"
"R_ID9460","UC_ID8"
"R_ID3711","UC_ID9"
"R_ID4617","UC_ID9"
"R_ID11810","UC_ID10"
"R_ID14842","UC_ID10"
"R_ID17230","UC_ID10"
"R_ID17481","UC_ID10"
"R_ID17838","UC_ID10"
"R_ID6519","UC_ID10"
"R_ID9316","UC_ID10"
"R_ID10143","UC_ID11"
"R_ID11620","UC_ID11"
"R_ID12075","UC_ID11"
"R_ID12219","UC_ID11"
"R_ID13387","UC_ID11"
"R_ID14038","UC_ID11"
"R_ID14160","UC_ID11"
"R_ID15297","UC_ID11"
"R_ID16606","UC_ID11"
"R_ID16667","UC_ID11"
"R_ID16937","UC_ID11"
"R_ID16961","UC_ID11"
"R_ID18277","UC_ID11"
"R_ID18683","UC_ID11"
"R_ID19108","UC_ID11"
"R_ID19791","UC_ID11"
"R_ID2655","UC_ID11"
"R_ID4444","UC_ID11"
"R_ID4767","UC_ID11"
"R_ID6406","UC_ID11"
"R_ID7567","UC_ID11"
"R_ID7777","UC_ID11"
"R_ID8180","UC_ID11"
"R_ID8999","UC_ID11"
"R_ID9413","UC_ID11"
"R_ID9582","UC_ID11"
"R_ID10343","UC_ID12"
"R_ID11206","UC_ID12"
"R_ID11504","UC_ID12"
"R_ID11887","UC_ID12"
"R_ID11996","UC_ID12"
"R_ID12212","UC_ID12"
"R_ID12609","UC_ID12"
"R_ID12978","UC_ID12"
"R_ID13577","UC_ID12"
"R_ID14288","UC_ID12"
"R_ID14619","UC_ID12"
"R_ID16732","UC_ID12"
"R_ID16881","UC_ID12"
"R_ID18455","UC_ID12"
"R_ID18763","UC_ID12"
"R_ID19702","UC_ID12"
"R_ID19919","UC_ID12"
"R_ID308","UC_ID12"
"R_ID3635","UC_ID12"
"R_ID392","UC_ID12"
"R_ID5020","UC_ID12"
"R_ID5891","UC_ID12"
"R_ID6327","UC_ID12"
"R_ID6843","UC_ID12"
"R_ID7111","UC_ID12"
"R_ID7277","UC_ID12"
"R_ID8241","UC_ID12"
"R_ID9084","UC_ID12"
"R_ID9566","UC_ID12"
"R_ID10316","UC_ID13"
"R_ID10496","UC_ID13"
"R_ID10524","UC_ID13"
"R_ID10704","UC_ID13"
"R_ID11203","UC_ID13"
"R_ID12319","UC_ID13"
"R_ID12968","UC_ID13"
"R_ID13118","UC_ID13"
"R_ID13444","UC_ID13"
"R_ID14471","UC_ID13"
"R_ID14699","UC_ID13"
"R_ID14806","UC_ID13"
"R_ID18003","UC_ID13"
"R_ID18937","UC_ID13"
"R_ID19112","UC_ID13"
"R_ID19241","UC_ID13"
"R_ID2183","UC_ID13"
"R_ID3604","UC_ID13"
"R_ID4790","UC_ID13"
"R_ID5149","UC_ID13"
"R_ID5473","UC_ID13"
"R_ID5688","UC_ID13"
"R_ID6337","UC_ID13"
"R_ID7199","UC_ID13"
"R_ID7997","UC_ID13"
"R_ID9399","UC_ID13"
"R_ID10091","UC_ID14"
"R_ID11037","UC_ID14"
"R_ID13132","UC_ID14"
"R_ID14189","UC_ID14"
"R_ID14993","UC_ID14"
"R_ID16696","UC_ID14"
"R_ID17041","UC_ID14"
"R_ID18193","UC_ID14"
"R_ID18352","UC_ID14"
"R_ID288","UC_ID14"
