R_ID,RA_ID
R_ID1,RA_ID744
R_ID3,RA_ID364
R_ID3,RA_ID409
R_ID3,RA_ID615
R_ID3,RA_ID664
R_ID4,RA_ID531
R_ID7,RA_ID61
R_ID10,RA_ID215
R_ID10,RA_ID633
R_ID26,RA_ID390
R_ID26,RA_ID426
R_ID26,RA_ID590
R_ID26,RA_ID701
R_ID28,RA_ID338
R_ID28,RA_ID610
R_ID32,RA_ID768
R_ID37,RA_ID1
R_ID37,RA_ID186
R_ID37,RA_ID416
R_ID37,RA_ID467
R_ID40,RA_ID638
R_ID68,RA_ID310
R_ID68,RA_ID757
R_ID72,RA_ID275
R_ID77,RA_ID466
R_ID78,RA_ID470
R_ID81,RA_ID543
R_ID81,RA_ID74
R_ID83,RA_ID265
R_ID84,RA_ID357
R_ID84,RA_ID674
R_ID85,RA_ID672
R_ID85,RA_ID745
R_ID91,RA_ID341
R_ID103,RA_ID170
R_ID103,RA_ID441
R_ID103,RA_ID59
R_ID104,RA_ID398
R_ID105,RA_ID579
R_ID110,RA_ID650
R_ID110,RA_ID662
R_ID110,RA_ID712
R_ID113,RA_ID14
R_ID114,RA_ID498
R_ID116,RA_ID400
R_ID118,RA_ID466
R_ID130,RA_ID620
R_ID132,RA_ID501
R_ID134,RA_ID183
R_ID136,RA_ID298
R_ID139,RA_ID84
R_ID140,RA_ID779
R_ID148,RA_ID437
R_ID148,RA_ID468
R_ID148,RA_ID77
R_ID148,RA_ID790
R_ID157,RA_ID143
R_ID161,RA_ID740
R_ID184,RA_ID403
R_ID190,RA_ID259
R_ID190,RA_ID653
R_ID190,RA_ID700
R_ID191,RA_ID110
R_ID191,RA_ID469
R_ID195,RA_ID710
R_ID196,RA_ID244
R_ID196,RA_ID570
R_ID201,RA_ID584
R_ID214,RA_ID13
R_ID214,RA_ID392
R_ID214,RA_ID463
R_ID217,RA_ID8
R_ID218,RA_ID543
R_ID221,RA_ID41
R_ID229,RA_ID280
R_ID229,RA_ID4
R_ID230,RA_ID647
R_ID235,RA_ID561
R_ID238,RA_ID197
R_ID238,RA_ID738
R_ID247,RA_ID690
R_ID252,RA_ID75
R_ID253,RA_ID531
R_ID261,RA_ID694
R_ID269,RA_ID708
R_ID271,RA_ID301
R_ID273,RA_ID239
R_ID273,RA_ID309
R_ID273,RA_ID32
R_ID273,RA_ID41
R_ID274,RA_ID175
R_ID274,RA_ID327
R_ID276,RA_ID132
R_ID276,RA_ID30
R_ID276,RA_ID56
R_ID276,RA_ID784
R_ID283,RA_ID263
R_ID283,RA_ID433
