UC_ID,R_ID
UC_ID1,R_ID12777
UC_ID1,R_ID12937
UC_ID1,R_ID14652
UC_ID1,R_ID15152
UC_ID1,R_ID15360
UC_ID1,R_ID15757
UC_ID1,R_ID16374
UC_ID1,R_ID1661
UC_ID1,R_ID17052
UC_ID1,R_ID19924
UC_ID1,R_ID4234
UC_ID1,R_ID4947
UC_ID1,R_ID504
UC_ID1,R_ID5677
UC_ID1,R_ID6426
UC_ID1,R_ID6692
UC_ID1,R_ID8061
UC_ID1,R_ID8804
UC_ID1,R_ID8846
UC_ID1,R_ID9659
UC_ID2,R_ID10368
UC_ID2,R_ID11124
UC_ID2,R_ID11426
UC_ID2,R_ID12655
UC_ID2,R_ID13555
UC_ID2,R_ID13568
UC_ID2,R_ID13707
UC_ID2,R_ID15609
UC_ID2,R_ID15668
UC_ID2,R_ID16028
UC_ID2,R_ID16571
UC_ID2,R_ID16610
UC_ID2,R_ID16875
UC_ID2,R_ID17868
UC_ID2,R_ID18446
UC_ID2,R_ID18847
UC_ID2,R_ID2088
UC_ID2,R_ID2816
UC_ID2,R_ID3373
UC_ID2,R_ID4090
UC_ID2,R_ID4577
UC_ID2,R_ID4896
UC_ID2,R_ID6208
UC_ID2,R_ID636
UC_ID2,R_ID6432
UC_ID2,R_ID6913
UC_ID2,R_ID7497
UC_ID2,R_ID8862
UC_ID2,R_ID9648
UC_ID2,R_ID9717
UC_ID3,R_ID10181
UC_ID3,R_ID14015
UC_ID3,R_ID15284
UC_ID3,R_ID15505
UC_ID3,R_ID17229
UC_ID3,R_ID2758
UC_ID3,R_ID2880
UC_ID3,R_ID4034
UC_ID3,R_ID5016
UC_ID3,R_ID5483
UC_ID3,R_ID7058
UC_ID3,R_ID7387
UC_ID3,R_ID8247
UC_ID3,R_ID8403
UC_ID3,R_ID8450
UC_ID3,R_ID9044
UC_ID3,R_ID9272
UC_ID3,R_ID9817
UC_ID4,R_ID10898
UC_ID4,R_ID10969
UC_ID4,R_ID11481
UC_ID4,R_ID11697
UC_ID4,R_ID16106
UC_ID4,R_ID16162
UC_ID4,R_ID16874
UC_ID4,R_ID17954
UC_ID4,R_ID18554
UC_ID4,R_ID19390
UC_ID4,R_ID19447
UC_ID4,R_ID19539
UC_ID4,R_ID19742
UC_ID4,R_ID2250
UC_ID4,R_ID2537
UC_ID4,R_ID3026
UC_ID4,R_ID3166
UC_ID4,R_ID3478
UC_ID4,R_ID4071
UC_ID4,R_ID4230
UC_ID4,R_ID5031
UC_ID4,R_ID5629
UC_ID4,R_ID5785
UC_ID4,R_ID6015
UC_ID4,R_ID6795
UC_ID4,R_ID722
UC_ID4,R_ID80
UC_ID4,R_ID8008
UC_ID4,R_ID819
UC_ID4,R_ID9214
UC_ID4,R_ID967
UC_ID4,R_ID998
UC_ID5,R_ID10538
UC_ID5,R_ID10593
UC_ID5,R_ID11465
UC_ID5,R_ID12421
UC_ID5,R_ID12486
UC_ID5,R_ID13975
UC_ID5,R_ID14233
UC_ID5,R_ID14335
UC_ID5,R_ID15161
UC_ID5,R_ID16364
UC_ID5,R_ID19986
UC_ID5,R_ID3998
UC_ID5,R_ID4005
UC_ID5,R_ID8081
UC_ID5,R_ID8456
UC_ID6,R_ID10178
UC_ID6,R_ID10756
UC_ID6,R_ID11814
UC_ID6,R_ID12185
UC_ID6,R_ID13078
UC_ID6,R_ID13334
UC_ID6,R_ID14059
UC_ID6,R_ID14343
UC_ID6,R_ID15752
UC_ID6,R_ID3984
UC_ID6,R_ID4396
UC_ID6,R_ID513
UC_ID6,R_ID52
UC_ID6,R_ID5410
UC_ID6,R_ID5581
UC_ID6,R_ID6582
UC_ID6,R_ID7360
UC_ID6,R_ID8546
UC_ID6,R_ID9203
UC_ID6,R_ID93
UC_ID6,R_ID9577
UC_ID7,R_ID11327
UC_ID7,R_ID17139
UC_ID7,R_ID17434
UC_ID7,R_ID17945
UC_ID7,R_ID18021
UC_ID7,R_ID1831
UC_ID7,R_ID19725
UC_ID7,R_ID3133
UC_ID7,R_ID3222
UC_ID7,R_ID4052
UC_ID7,R_ID4247
UC_ID7,R_ID4963
UC_ID7,R_ID5331
UC_ID7,R_ID5383
UC_ID7,R_ID5950
UC_ID7,R_ID6018
UC_ID7,R_ID7740
UC_ID7,R_ID7758
UC_ID7,R_ID809
UC_ID7,R_ID85
UC_ID7,R_ID920
UC_ID8,R_ID17065
UC_ID8,R_ID19661
UC_ID8,R_ID2603
UC_ID8,R_ID2941
UC_ID8,R_ID788
UC_ID9,R_ID10655
UC_ID9,R_ID13361
UC_ID9,R_ID17072
UC_ID9,R_ID19809
UC_ID9,R_ID3401
UC_ID9,R_ID615
UC_ID9,R_ID7364
UC_ID9,R_ID8037
UC_ID10,R_ID1259
UC_ID10,R_ID1321
UC_ID10,R_ID14852
UC_ID10,R_ID14948
UC_ID10,R_ID18151
UC_ID10,R_ID18905
UC_ID10,R_ID19554
UC_ID10,R_ID4732
UC_ID10,R_ID659
UC_ID10,R_ID6743
UC_ID11,R_ID11612
UC_ID11,R_ID12120
UC_ID11,R_ID12258
UC_ID11,R_ID12401
UC_ID11,R_ID12566
UC_ID11,R_ID14755
UC_ID11,R_ID15325
UC_ID11,R_ID19550
UC_ID11,R_ID2132
UC_ID11,R_ID4528
UC_ID11,R_ID4770
UC_ID11,R_ID625
UC_ID11,R_ID6352
UC_ID11,R_ID719
UC_ID11,R_ID8490
UC_ID11,R_ID8922
UC_ID11,R_ID9126
UC_ID11,R_ID9427
UC_ID12,R_ID10550
UC_ID12,R_ID10695
UC_ID12,R_ID12523
UC_ID12,R_ID12789
UC_ID12,R_ID14646
UC_ID12,R_ID15738
UC_ID12,R_ID2650
UC_ID12,R_ID2730
UC_ID12,R_ID3267
UC_ID12,R_ID366
UC_ID12,R_ID4735
UC_ID12,R_ID5876
UC_ID12,R_ID601
UC_ID12,R_ID640
UC_ID12,R_ID6562
UC_ID12,R_ID7449
UC_ID12,R_ID8253
UC_ID12,R_ID8859
UC_ID12,R_ID9138
UC_ID12,R_ID9176
UC_ID12,R_ID9971
UC_ID13,R_ID10185
UC_ID13,R_ID12078
UC_ID13,R_ID13788
UC_ID13,R_ID14271
UC_ID13,R_ID14822
UC_ID13,R_ID15159
UC_ID13,R_ID15392
UC_ID13,R_ID1601
UC_ID13,R_ID16199
UC_ID13,R_ID16525
UC_ID13,R_ID16976
UC_ID13,R_ID17316
UC_ID13,R_ID17407
UC_ID13,R_ID18042
UC_ID13,R_ID3305
UC_ID13,R_ID565
UC_ID13,R_ID5888
UC_ID13,R_ID6609
UC_ID13,R_ID7609
UC_ID13,R_ID775
UC_ID13,R_ID7980
UC_ID13,R_ID8689
UC_ID13,R_ID9906
UC_ID14,R_ID10051
UC_ID14,R_ID15145
UC_ID14,R_ID16053
UC_ID14,R_ID17096
UC_ID14,R_ID17342
UC_ID14,R_ID18462
UC_ID14,R_ID18599
UC_ID14,R_ID19280
UC_ID14,R_ID19350
UC_ID14,R_ID19695
UC_ID14,R_ID21
UC_ID14,R_ID2907
UC_ID14,R_ID3022
UC_ID14,R_ID5602
UC_ID14,R_ID6317
UC_ID14,R_ID9074
UC_ID14,R_ID9707
UC_ID14,R_ID9984
UC_ID15,R_ID11200
UC_ID15,R_ID1123
UC_ID15,R_ID13179
UC_ID15,R_ID13439
UC_ID15,R_ID13638
UC_ID15,R_ID15011
UC_ID15,R_ID15285
UC_ID15,R_ID15941
UC_ID15,R_ID16279
UC_ID15,R_ID16438
UC_ID15,R_ID1826
UC_ID15,R_ID19622
UC_ID15,R_ID2628
UC_ID15,R_ID2733
UC_ID15,R_ID5033
UC_ID15,R_ID7702
UC_ID15,R_ID9077
UC_ID15,R_ID9871
UC_ID16,R_ID10139
UC_ID16,R_ID1105
UC_ID16,R_ID12990
UC_ID16,R_ID13068
UC_ID16,R_ID14822
UC_ID16,R_ID16857
UC_ID16,R_ID17485
UC_ID16,R_ID391
UC_ID16,R_ID7229
UC_ID16,R_ID8336
UC_ID16,R_ID9751
UC_ID17,R_ID10140
UC_ID17,R_ID10326
UC_ID17,R_ID10587
UC_ID17,R_ID11369
UC_ID17,R_ID12975
UC_ID17,R_ID13352
UC_ID17,R_ID15785
UC_ID17,R_ID16846
UC_ID17,R_ID16915
