"R_ID","UC_ID"
"R_ID1085","UC_ID1"
"R_ID15155","UC_ID1"
"R_ID2688","UC_ID1"
"R_ID2798","UC_ID1"
"R_ID13880","UC_ID2"
"R_ID13991","UC_ID2"
"R_ID7742","UC_ID2"
"R_ID11576","UC_ID3"
"R_ID11576","UC_ID3"
"R_ID13727","UC_ID3"
"R_ID1382","UC_ID3"
"R_ID15011","UC_ID3"
"R_ID15011","UC_ID3"
"R_ID17531","UC_ID3"
"R_ID17630","UC_ID3"
"R_ID18008","UC_ID3"
"R_ID1847","UC_ID3"
"R_ID2771","UC_ID3"
"R_ID3514","UC_ID3"
"R_ID4874","UC_ID3"
"R_ID8271","UC_ID3"
"R_ID8271","UC_ID3"
"R_ID10733","UC_ID4"
"R_ID11840","UC_ID4"
"R_ID12188","UC_ID4"
"R_ID1220","UC_ID4"
"R_ID12555","UC_ID4"
"R_ID12555","UC_ID4"
"R_ID12930","UC_ID4"
"R_ID1475","UC_ID4"
"R_ID15091","UC_ID4"
"R_ID1602","UC_ID4"
"R_ID17365","UC_ID4"
"R_ID17365","UC_ID4"
"R_ID17789","UC_ID4"
"R_ID18293","UC_ID4"
"R_ID19421","UC_ID4"
"R_ID19427","UC_ID4"
"R_ID2303","UC_ID4"
"R_ID2672","UC_ID4"
"R_ID3053","UC_ID4"
"R_ID6656","UC_ID4"
"R_ID6818","UC_ID4"
"R_ID7685","UC_ID4"
"R_ID7969","UC_ID4"
"R_ID9618","UC_ID4"
"R_ID9701","UC_ID4"
"R_ID17828","UC_ID5"
"R_ID17864","UC_ID5"
"R_ID4102","UC_ID5"
"R_ID8757","UC_ID5"
"R_ID10699","UC_ID6"
"R_ID11818","UC_ID6"
"R_ID12578","UC_ID6"
"R_ID13834","UC_ID6"
"R_ID13882","UC_ID6"
"R_ID14370","UC_ID6"
"R_ID15114","UC_ID6"
"R_ID1560","UC_ID6"
"R_ID17212","UC_ID6"
"R_ID19041","UC_ID6"
"R_ID19263","UC_ID6"
"R_ID305","UC_ID6"
"R_ID3398","UC_ID6"
