R_ID,R_NAME,R_DESC,R_OWNER,R_STATUS
R_ID1,R_NAME975,The mechanical pump shall not allow reverse flow from the patient into the pump.0,Caleb,Completed
R_ID2,R_NAME404,Information in event and Fault Logs shall be retained for at least ?log = 1000 hours after the PCA pump is turned-off and unplugged.0,Caleb,Deffered
R_ID3,R_NAME1915,The control panel must display currently-programmed patient data and physician’s prescription.0,Alex,Completed
R_ID4,R_NAME1030,Pressing the stop button confirms and silences all alarms and terminates any alarm signal inactivation.0,Alex,Completed
R_ID5,R_NAME1234,The alarm melody of audible alarms signals shall conform to Table AAA.1 of standard IEC 60601-1-8 for drug or fluid delivery. “C d g” shall be used for medium priority alarms; “C d g - C d” shall be used for high priority alarms0,Alex,Completed
R_ID6,R_NAME1870,"A clinician observing the discomfort of the patient may command the PCA pump to deliver a square bolus of the same volume-to-be-infused, V T BI, as patient-requested bolus over a period of time chosen by the clinician.0",Caleb,Completed
R_ID7,R_NAME963,"Because with either working battery or power supply can operate the pump, if the battery failure alarm and either the voltage out-of-range or the power supply failure alarms, then the pump rate will be off.0",Caleb,Completed
R_ID8,R_NAME254,The estimate of remaining battery energy must be accurate to within Xbtty = 25%.0,Priya,Completed
R_ID9,R_NAME1751,"The alarm indicator appearance shall comply with color, flashing frequency, and duty cycle given in Table 5.0",Caleb,Completed
R_ID10,R_NAME425,sound of audible alarm0,Jay,Open
R_ID11,R_NAME157,The PCA pump shall include electronic tamper detection mechanisms and shall record detected tampering attempts in the Fault Log and Event Log as well as issuing an authenticated ICE message.0,Alex,Completed
R_ID12,R_NAME1400,"display of visual information, and0",Jay,Deffered
R_ID13,R_NAME1180,"If the same alert-stop-start sequence occurs 3 or more times in ten minutes, infusion will be stopped, and an audible alarm sounded.0",Jay,Completed
R_ID14,R_NAME308,"If the pump gets overheated to more than Tpoh = 55 C, the pump shall issue an pump overheated alarm (EC3.2.9).0",Caleb,Open
R_ID15,R_NAME675,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.0",Caleb,Completed
R_ID16,R_NAME982,"The pump shall maintain a minimum KVO flow rate of FKV O = 1 ml/hr at all times during infusion, even during alarms, unless the alarm also stops flow. Table 4 defines which alarms also stop drug flow completely.0",Caleb,Completed
R_ID17,R_NAME1335,An upstream occlusion alarm118 shall be triggered when the pump senses an upstream (drug reservoir side) occlusion exceeding Puo = 1 psi0,Jay,Completed
R_ID18,R_NAME1981,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow0",Alex,Completed
R_ID19,R_NAME543,"Hospital procedures must endow the attending clinician access to the door key135, yet prevent other persons’ access.0",Alex,Completed
R_ID20,R_NAME87,"If delivered basal flow rate is less than the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops, the pump shall issue an basal under-infusion warning (EC3.2.8).0",Caleb,Deffered
R_ID21,R_NAME1253,Each log entry shall have a time stamp81 with its time of occurrence.0,Alex,Open
R_ID22,R_NAME1941,Patient-requested bolus delivery shall be immediately halted when alarms sound.0,Caleb,Completed
R_ID23,R_NAME1394,"A patient-requested bolus shall be delivered at its prescribed rate, Fbolus, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",Caleb,Completed
R_ID24,R_NAME698,A downstream occlusion alarm119 shall be triggered if the pump senses a downstream (patient side)0,Caleb,Completed
R_ID25,R_NAME1449,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE0",Caleb,Completed
R_ID26,R_NAME1840,Priority for alarms and warnings is shown in Table 4; warnings are low-priority alarms. The last column show the alarm pump rate to be used while the alarm is in effect. For “special” flow rates for power malfunctions see Section 6.3.0,Alex,Completed
R_ID27,R_NAME1505,The fault log shall record at least 1000 faults before overwriting oldest fault records first.0,Alex,Completed
R_ID28,R_NAME678,Patient-requested bolus shall not be delivered if infusing prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,Jay,Completed
R_ID29,R_NAME1558,"If a drug library’s soft limit is violated by the proposed settings, but not a hard limit, a warning is shown to the clinician by the user interface and a distinctive, irritating sound made and recorded in the Event Log.0",Caleb,Completed
R_ID30,R_NAME1289,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.0,Priya,Deffered
R_ID31,R_NAME1904,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.0,Caleb,Open
R_ID32,R_NAME472,The scanner shall read and authenticate information from the drug’s package label0,Caleb,Deffered
R_ID33,R_NAME1485,"If delivered patient-requested bolus flow rate exceeds the prescribed patient-requested bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the pump goes into free flow0",Caleb,Completed
R_ID34,R_NAME155,"If delivered clinician-requested bolus flow rate is less than the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops0",Caleb,Completed
R_ID35,R_NAME198,"Patient-requested bolus shall not be delivered more often than a prescribed number of minutes, ?prb.0",Caleb,Completed
R_ID36,R_NAME68,") All filled prescriptions (liquid, narcotic pain-killer dispensed by the hospital pharmacy) must be labeled at least visibly with a. Patient name b. Drug code c. Name of drug d. Concentration0",Alex,Completed
R_ID37,R_NAME1327,The PCA pump shall implement a safety architecture112 that separates normal operation from fault detection and response.0,Jay,Completed
R_ID38,R_NAME518,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.0,Alex,Deffered
R_ID39,R_NAME20,"If a visual indicator is necessary for the clinician to identify the equipment or part of the equipment that requires clinician response or awareness, at least one visual alarm signal 46 shall be provided0",Caleb,Completed
R_ID40,R_NAME1019,Alarm’s and warning’s priority shall be determined in accordance with standard IEC 60601-1-8 Medical electrical equipment - Part 1-8: General requirements for safety - Collateral standard.0,Caleb,Completed
R_ID41,R_NAME1233,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.0",Alex,Completed
R_ID42,R_NAME868,The auditory volume of audible alarms signals shall conform to Section 201.3.3.2 Volume of auditory ALARM SIGNALS and INFORMATION SIGNALS of standard IEC 60601-1-8.0,Alex,Completed
R_ID43,R_NAME311,"If the drug volume in the reservoir measures less than Vlra = 1 ml, and an infusion is in progress, a low-reservoir warning100 shall be issued.0",Caleb,Open
R_ID44,R_NAME888,The scanner shall read and authenticate information from the patient’s wristband0,Alex,Completed
R_ID45,R_NAME1061,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.0",Caleb,Completed
R_ID46,R_NAME946,The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.0,Caleb,Open
R_ID47,R_NAME520,The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr.0,Caleb,Completed
R_ID48,R_NAME1528,The pump shall deliver basal infusion at the prescribed basal rate within a basal infusion flow tolerance of Fbasal tol = 0.5 ml/hr of the prescribed basal rate.0,Caleb,Completed
R_ID49,R_NAME964,"Because the drugs used for analgesia are often narcotic, requiring Drug Enforcement Agency (DEA) tracking if used in the United States, the drug reservoir and means to change prescriptions0",Caleb,Completed
R_ID50,R_NAME1352,At least one visual alarm signal shall be provided that identifies the specific alarm condition and its priority. This signal shall be perceived correctly (be legible) at a distance of 1 m from the equipment0,Caleb,Completed
R_ID51,R_NAME1781,"Upon the clinician’s pressing of the stop button, prescribed infusion shall halt.0",Jay,Completed
R_ID52,R_NAME1018,The maximum clinician-chosen duration for a clinician-requested bolus shall be ?ccb max = 6 hours.0,Alex,Open
R_ID53,R_NAME1732,"The PCA pump shall detect power supply voltage out-of-range, issue a voltage out-of-range warning, and switch to battery backup when out-of-range.0",Alex,Completed
R_ID54,R_NAME1513,Clinician-commanded bolus shall be halted when continuing to infuse prescribed V T BI will exceed hard limits retrieved from the drug library for the volume of drug infused over a period of time.0,Caleb,Open
R_ID55,R_NAME1801,"When an occlusion alarm occurs, the pump shall be stopped immediately without completing the current pump stroke0",Caleb,Open
R_ID56,R_NAME1238,The ICE interface shall allow an authorized clinician to set the duration of clinician-requested boluses through an ICE supervisor user interface.0,Caleb,Completed
R_ID57,R_NAME1830,An authorized clinician must personally confirm the prescription97 is authentic and meant for the patient to be infused. The routine procedures by which clinicians load the drug reservoir must ensure that the prescription filled by an authorized0,Priya,Completed
R_ID58,R_NAME1634,When auditory alarms are inactive the control panel shall display an inactive auditory alarm symbol from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,Priya,Completed
R_ID59,R_NAME1699,The Control Panel shall provide means to inactivate audible alarms indefinitely0,Caleb,Completed
R_ID60,R_NAME1832,tactile response (button press).0,Caleb,Completed
R_ID61,R_NAME474,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.0",Caleb,Completed
R_ID62,R_NAME55,Alarms shall be issued in order of occurrence.0,Caleb,Open
R_ID63,R_NAME1260,The PCA pump shall maintain an electronic event log to record each action taken by the pump and each event sensed of its environment.0,Caleb,Completed
R_ID64,R_NAME128,The control panel shall allow authorized clinician bolus request 60 and choice of duration.0,Caleb,Completed
R_ID65,R_NAME1963,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.0",Caleb,Completed
R_ID66,R_NAME1147,A real-time clock must produce timestamps accurate to 10 ms.0,Caleb,Open
R_ID67,R_NAME717,The PCA pump shall have a start button.0,Caleb,Completed
R_ID68,R_NAME1523,"Successfully masked faults shall be recorded in the Fault Log, but raise an alarm.0",Alex,Open
R_ID69,R_NAME1571,"When an empty-reservoir alarm occurs, the current pump stroke shall be completed prior to stopping the pump.0",Alex,Completed
R_ID70,R_NAME1214,The Control Panel shall provide means to cancel alarm signal inactivation.0,Caleb,Completed
R_ID71,R_NAME925,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops0",Priya,Completed
R_ID72,R_NAME631,"Occurrence of unavoidable single-event upsets caused by cosmic-ray-induced high- and thermalenergy neutrons must be either masked, or detected to fail-stop0",Priya,Completed
R_ID73,R_NAME123,"Changing prescription during infusion shall require prescription confirmation61, clinician authentication62, patient authentication63, prescription authentication64 (patient-to-drug match) and drug authentication0",Alex,Completed
R_ID74,R_NAME655,The PCA pump shall detect downstream occlusion.0,Alex,Open
R_ID75,R_NAME295,The PCA pump shall use a physician’s prescription as device parameters.0,Priya,Completed
R_ID76,R_NAME677,The PCA pump shall detect battery failure and issue a battery failure alarm0,Caleb,Completed
R_ID77,R_NAME258,Temporarily paused alarms shall reactivate ?ap = 10 minutes after inactivation.0,Caleb,Completed
R_ID78,R_NAME952,Hardware faults that prevent operation of the Control Panel shall illuminate a hardware fault indicator (light-emitting diode).0,Caleb,Open
R_ID79,R_NAME1158,"After the clinician presses the start button, but before commencing infusion, the values of V T BI and Fbasal are checked against the drug library entry of the drug to be infused.0",Caleb,Completed
R_ID80,R_NAME1859,The ICE interface shall transmit encrypted and authenticated alarms and warnings to the ICE system.0,Caleb,Deffered
R_ID81,R_NAME2000,"The PCA pump shall have continuous fault-detection and masking. Hardware monitors of thread heartbeat, memory error correction codes are examples.0",Caleb,Completed
R_ID82,R_NAME539,"–requirement removed, Rx read from drug container by scanner0",Caleb,Completed
R_ID83,R_NAME1232,A open door alarm shall be triggered when the reservoir door is opened while the pump is not stopped.0,Alex,Completed
