RA_ID,RA_RISK,RA_DESC,RA_LIKELIHOOD,RA_IMPACT,RA_MITIGATED
RA_ID1,Low,"The PCA pump shall continue to infuse for 10 minutes during interruption of mains electricity supply using battery backup, either continuously or spread over an hour. (Five minutes to recharge per minute using battery.)0",Low,Low,Y
RA_ID2,Medium,sound of audible alarm0,High,High,Y
RA_ID3,High,The Control Panel shall visually indicate the specific problem causing the alarm condition as described in Section 5.4.2.0,Medium,Low,Y
RA_ID4,High,The PCA pump shall switch to KVO infusion rate upon receiving an authenticated command through its ICE interface.0,Low,High,Y
RA_ID5,Medium,"Because with either working battery or power supply can operate the pump, if the battery failure alarm and either the voltage out-of-range or the power supply failure alarms, then the pump rate will be off.0",Low,Low,Y
RA_ID6,Low,The PCA pump shall maintain an electronic event log to record each action taken by the pump and each event sensed of its environment.0,Low,Catastrophic,Y
RA_ID7,Medium,"If delivered patient-requested bolus flow rate exceeds the prescribed patient-requested bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the pump goes into free flow0",Medium,Low,N
RA_ID8,Low,"For each drug that may be infused with a PCA pump, the drug library entry103 for that drug shall have data elements listed in Table 6.0",Low,Low,Y
RA_ID9,Low,"If the same alert-stop-start sequence occurs 3 or more times in ten minutes, infusion will be stopped, and an audible alarm sounded.0",Low,High,Y
RA_ID10,High,The PCA pump shall have a start button.0,Medium,High,Y
RA_ID11,Medium,"Successfully masked faults shall be recorded in the Fault Log, but raise an alarm.0",Low,Low,Y
RA_ID12,Low,The pump shall be able to deliver basal infusion at flows throughout the basal infusion flow range of Fbasal min = 1 to Fbasal max = 10 ml/hr.0,Medium,High,Y
RA_ID13,Medium,"If a drug library’s soft limit is violated by the proposed settings, but not a hard limit, a warning is shown to the clinician by the user interface and a distinctive, irritating sound made and recorded in the Event Log.0",Low,Low,Y
RA_ID14,Medium,Hardware faults that prevent operation of the Control Panel shall illuminate a hardware fault indicator (light-emitting diode).0,Low,Low,Y
RA_ID15,Low,"If delivered clinician-requested bolus flow rate is less than the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops0",Low,Catastrophic,Y
RA_ID16,Low,The Control Panel shall audibly indicate the specific problem causing the alarm condition as described in Section 5.4.30,Medium,High,Y
RA_ID17,Medium,The PCA pump shall detect battery failure and issue a battery failure alarm0,Low,Low,Y
RA_ID18,Low,The measured drug volume shall be within Vrt = 1 ml of the actual drug volume.0,Medium,Low,Y
RA_ID19,Medium,The ICE interface shall allow an authorized clinician to set the duration of clinician-requested boluses through an ICE supervisor user interface.0,Low,Low,Y
RA_ID20,Medium,"Hardware faults detected, but not masked, shall raise a fault alarm, stop pump, record it in the Fault Log, and display the reason for fault on the user interface.0",Low,Low,N
RA_ID21,Medium,The Control Panel shall provide means to inactivate audible alarms indefinitely0,Medium,High,Y
RA_ID22,Medium,Component failure must not harm patient (beyond stopping function).0,Low,Low,Y
RA_ID23,Medium,"The alarm indicator appearance shall comply with color, flashing frequency, and duty cycle given in Table 5.0",High,Low,Y
RA_ID24,Medium,") All filled prescriptions (liquid, narcotic pain-killer dispensed by the hospital pharmacy) must be labeled at least visibly with a. Patient name b. Drug code c. Name of drug d. Concentration0",Medium,Low,Y
RA_ID25,Low,The drug loaded into the reservoir must also be found in the PCA pump’s drug in library99. The drug code of the prescription must match the drug code of a drug library entry.0,Low,Low,Y
RA_ID26,Low,"The minimum clinician-chosen duration for a clinician-requested bolus shall be the prescribed minimum number of minutes between consecutive patient-requested bolus deliveries, ?prb.0",Medium,Low,Y
RA_ID27,Low,"Upon the clinician’s pressing of the start button, prescribed infusion shall commence.0",Medium,Low,Y
RA_ID28,Low,"After the clinician presses the start button, but before commencing infusion, the values of V T BI and Fbasal are checked against the drug library entry of the drug to be infused.0",Low,Low,Y
RA_ID29,Low,The PCA pump case must be at least difficult to breech as its tamper-resistant door. Breaking the case shall not be easier to access the drug reservoir than breeching the door.0,Low,Catastrophic,Y
RA_ID30,Medium,"If the estimated battery life remaining is less than ?lba = 3 minutes, the pump shall issue a low-battery warning.0",Low,Catastrophic,Y
RA_ID31,Low,"The drug library102 can be thought of as a lookup table that, given a drug name and a location, provides typical and safe limits of different infusion parameters. The drug library shall be determined by an authorized and authenticated hospital pharmacist0",High,Low,Y
RA_ID32,Low,"The pump shall maintain a minimum KVO flow rate of FKV O = 1 ml/hr at all times during infusion, even during alarms, unless the alarm also stops flow. Table 4 defines which alarms also stop drug flow completely.0",Medium,Low,Y
RA_ID33,Medium,"If a drug library’s hard limit is violated by the proposed settings, the limit violated is indicated0",Medium,Low,Y
RA_ID34,Medium,"The PCA pump shall detect power supply voltage out-of-range, issue a voltage out-of-range warning, and switch to battery backup when out-of-range.0",High,Low,Y
RA_ID35,Low,The Control Panel shall provide means to inactivate audible alarms temporarily for a predefined period of time.0,Low,High,Y
RA_ID36,Low,The estimate of remaining battery energy must be accurate to within Xbtty = 25%.0,Low,Low,N
RA_ID37,Medium,The scanner shall read and authenticate information from the patient’s wristband0,Low,Catastrophic,Y
RA_ID38,High,The fault log shall record at least 1000 faults before overwriting oldest fault records first.0,Medium,High,Y
RA_ID39,Medium,"Upon patient’s press of the PCA pump’s patient-button, a prescribed bolus volume-to-be-infused, V T BI, of the drug loaded in the pump is delivered to the patient.0",Low,Low,Y
RA_ID40,Low,The PCA pump shall have a stop button0,Low,Low,Y
RA_ID41,Medium,All materials that contact fluid shall be biocompatible0,Low,High,N
RA_ID42,Low,The mechanical pump shall not allow reverse flow from the patient into the pump.0,Low,Low,Y
RA_ID43,High,The PCA pump shall resume prescribed infusion upon receiving an authenticated command through its ICE interface.0,Low,Low,Y
RA_ID44,Medium,When auditory alarms are inactive the control panel shall display an inactive auditory alarm symbol from Table D.201 Graphical symbols for ALARM SYSTEMS of standard IEC 60601-1-8.0,Low,Catastrophic,Y
RA_ID45,Low,The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)0,Low,Catastrophic,Y
RA_ID46,Low,"If delivered clinician-requested bolus flow rate exceeds the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow0",Low,Low,Y
RA_ID47,Medium,"When an occlusion alarm occurs, the pump shall be stopped immediately without completing the current pump stroke0",Low,Low,Y
RA_ID48,Low,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops0",Medium,Low,Y
RA_ID49,Low,"If delivered basal flow rate exceeds the prescribed basal rate setting by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the pump goes into free flow, the pump shall issue an basal over-infusion alarm (EC3.2.7).0",Low,Low,Y
RA_ID50,Low,An air-in-line alarm116 shall be triggered by the pump if detectable air bubbles are infused into the patient.0,Low,Low,Y
RA_ID51,Low,"The PCA pump shall perform periodic self-tests to assure system integrity during long periods of use. Failure of a self-test shall raise a self-test alarm, stop pump, record it in the Fault Log, and display the reason for failure on the user interface.0",High,Low,Y
RA_ID52,Low,"Upon the clinician’s pressing of the stop button, prescribed infusion shall halt.0",Low,Low,Y
RA_ID53,Low,The alarm melody of audible alarms signals shall conform to Table AAA.1 of standard IEC 60601-1-8 for drug or fluid delivery. “C d g” shall be used for medium priority alarms; “C d g - C d” shall be used for high priority alarms0,High,Low,Y
RA_ID54,Low,"A clinician-requested bolus shall be delivered at the rate, Fccb, of V T BI divided by the duration chosen by the clinician, ?ccb, in addition to the prescribed basal flow rate, Fbasal, but no more than the maximum flow rate for the pump, Fmax.0",Low,Low,Y
RA_ID55,Low,Each tone in the alarm melody shall be composed of a minimum of 4 harmonic components in the range 300 Hz to 4000 Hz comprising an inverted 9th jazz chord.0,High,Low,Y
RA_ID56,Medium,Clinician-requested bolus delivery shall be immediately halted when alarms sound.0,Medium,High,Y
RA_ID57,Medium,"If alarms are inactivated or paused through the ICE supervisor user interface, they shall be reactivated upon loss of connection to ICE0",Medium,Low,Y
RA_ID58,Medium,The event log shall record 30 days of typical events before overwriting oldest event records first.0,Low,Low,Y
RA_ID59,High,Temporarily paused alarms shall reactivate ?ap = 10 minutes after inactivation.0,Medium,Low,Y
RA_ID60,Medium,"Prior to, or coincident with, loading the drug reservoir must also enter prescription96 on the drug container’s label using the scanner.0",Low,High,Y
RA_ID61,High,The ICE interface shall transmit encrypted and authenticated alarms and warnings to the ICE system.0,Low,Low,N
RA_ID62,Low,The ICE Interface shall transmit encrypted and authenticated current operating status to the ICE system.0,Medium,Low,Y
RA_ID63,Low,"The PCA pump shall have continuous fault-detection and masking. Hardware monitors of thread heartbeat, memory error correction codes are examples.0",Medium,Low,Y
