RA_ID,RA_RISK,RA_DESC,RA_LIKELIHOOD,RA_IMPACT,RA_MITIGATED
RA_ID1,Low,"The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir.0",Low,Low,Y
RA_ID2,Low,"If delivered clinician-requested bolus flow rate is less than the calculated square bolus rate by more than its allowed tolerance over a period of more than 5 minutes, or immediately if the flow stops0",Medium,Low,Y
RA_ID3,Medium,The PCA pump shall detect air-in-line embolism (bubble).0,Low,Low,Y
RA_ID4,Low,"During normal use and/or single fault condition of the equipment, continuous reverse delivery115 shall not be possible (from IEC 601-2-24)0",Low,Low,Y
RA_ID5,Low,Component failure must not harm patient (beyond stopping function).0,Low,Catastrophic,Y
RA_ID6,Low,The PCA pump shall switch to KVO infusion rate upon receiving an authenticated command through its ICE interface.0,Low,Low,Y
RA_ID7,Low,The PCA pump shall have a start button.0,Low,Low,Y
RA_ID8,Medium,Prescriptions that violate the soft limits of the drug in the drug library shall issue a visible and audible warning requiring a soft limit confirmation by the clinician.0,Low,Low,Y
RA_ID9,Low,The PCA pump shall detect upstream occlusion.0,Low,Catastrophic,Y
RA_ID10,Low,The PCA pump shall issue alarms and warnings that require clinician attention.0,Low,Low,Y
RA_ID11,Low,"When an occlusion alarm occurs, the pump shall be stopped immediately without completing the current pump stroke0",Medium,Low,Y
RA_ID12,Low,"A patient-requested bolus shall take precedence over a clinician-requested bolus. The clinicianrequested bolus shall be suspended while the patient-requested bolus dose is administered, and resumed afterward.0",Medium,Catastrophic,Y
RA_ID13,High,"Hospital procedures must endow the attending clinician access to the door key135, yet prevent other persons’ access.0",Low,Catastrophic,Y
RA_ID14,Medium,"If delivered patient-requested bolus flow rate is less than the prescribed bolus rate setting by more than its allowed tolerance over a period of more than 1 minutes, or immediately if the flow stops0",Low,Low,Y
RA_ID15,Low,"If the same alert-stop-start sequence occurs 3 or more times in ten minutes, infusion will be stopped, and an audible alarm sounded.0",Medium,Low,Y
RA_ID16,Low,"Because with either working battery or power supply can operate the pump, if the battery failure alarm and either the voltage out-of-range or the power supply failure alarms, then the pump rate will be off.0",Low,Low,Y
RA_ID17,Low,Each log entry shall have a time stamp81 with its time of occurrence.0,Low,Low,Y
