R_ID,RA_ID
R_ID1,RA_ID1985
R_ID1,RA_ID813
R_ID2,RA_ID1581
R_ID3,RA_ID100
R_ID3,RA_ID1267
R_ID3,RA_ID1454
R_ID3,RA_ID1975
R_ID3,RA_ID233
R_ID3,RA_ID387
R_ID3,RA_ID546
R_ID4,RA_ID1139
R_ID4,RA_ID1467
R_ID4,RA_ID1743
R_ID4,RA_ID1765
R_ID4,RA_ID1793
R_ID4,RA_ID259
R_ID4,RA_ID489
R_ID4,RA_ID508
R_ID4,RA_ID894
R_ID4,RA_ID932
R_ID5,RA_ID1465
R_ID6,RA_ID1098
R_ID6,RA_ID1127
R_ID6,RA_ID1267
R_ID6,RA_ID1482
R_ID6,RA_ID1489
R_ID6,RA_ID210
R_ID6,RA_ID440
R_ID6,RA_ID723
R_ID7,RA_ID1218
R_ID7,RA_ID148
R_ID7,RA_ID1621
R_ID7,RA_ID1736
R_ID7,RA_ID1901
R_ID7,RA_ID1967
R_ID7,RA_ID1989
R_ID7,RA_ID331
R_ID7,RA_ID376
R_ID7,RA_ID870
R_ID7,RA_ID879
R_ID8,RA_ID1309
R_ID8,RA_ID1390
R_ID9,RA_ID1050
R_ID9,RA_ID1310
R_ID9,RA_ID1444
R_ID9,RA_ID1587
R_ID9,RA_ID1697
R_ID9,RA_ID1887
R_ID9,RA_ID262
R_ID9,RA_ID601
R_ID10,RA_ID1267
R_ID11,RA_ID1195
R_ID11,RA_ID1260
R_ID11,RA_ID1318
R_ID11,RA_ID1548
R_ID11,RA_ID1649
R_ID11,RA_ID1898
R_ID11,RA_ID323
R_ID11,RA_ID360
R_ID11,RA_ID553
R_ID11,RA_ID902
R_ID12,RA_ID1488
R_ID12,RA_ID1915
R_ID12,RA_ID1929
R_ID12,RA_ID415
R_ID12,RA_ID546
R_ID12,RA_ID555
R_ID12,RA_ID603
R_ID12,RA_ID795
R_ID12,RA_ID841
R_ID13,RA_ID1380
R_ID13,RA_ID1479
R_ID13,RA_ID890
R_ID14,RA_ID1029
R_ID14,RA_ID1380
R_ID14,RA_ID1606
R_ID14,RA_ID1881
R_ID14,RA_ID1888
R_ID14,RA_ID387
R_ID14,RA_ID935
R_ID14,RA_ID986
R_ID15,RA_ID1026
R_ID15,RA_ID1125
R_ID15,RA_ID115
R_ID15,RA_ID1186
R_ID15,RA_ID1274
R_ID15,RA_ID1421
R_ID15,RA_ID1448
R_ID15,RA_ID1632
R_ID15,RA_ID1730
R_ID15,RA_ID1820
R_ID15,RA_ID512
R_ID15,RA_ID514
R_ID15,RA_ID821
R_ID15,RA_ID880
R_ID17,RA_ID277
R_ID18,RA_ID1735
R_ID18,RA_ID1997
R_ID20,RA_ID1122
R_ID20,RA_ID1413
