UC_ID,R_ID
UC_ID1,R_ID4873
UC_ID2,R_ID2443
UC_ID2,R_ID2445
UC_ID2,R_ID439
UC_ID2,R_ID5520
UC_ID4,R_ID2776
UC_ID4,R_ID3244
UC_ID5,R_ID2580
UC_ID6,R_ID2846
UC_ID6,R_ID3100
UC_ID6,R_ID3674
UC_ID6,R_ID4763
UC_ID6,R_ID5947
UC_ID7,R_ID6242
UC_ID7,R_ID6546
UC_ID7,R_ID7900
UC_ID8,R_ID2233
UC_ID8,R_ID2445
UC_ID8,R_ID5747
UC_ID8,R_ID7454
UC_ID8,R_ID880
UC_ID9,R_ID770
UC_ID10,R_ID153
UC_ID10,R_ID2698
UC_ID10,R_ID3994
UC_ID10,R_ID5216
UC_ID10,R_ID5450
UC_ID10,R_ID7931
UC_ID11,R_ID1042
UC_ID11,R_ID1779
UC_ID11,R_ID5419
UC_ID11,R_ID5979
UC_ID11,R_ID866
UC_ID12,R_ID2428
UC_ID12,R_ID5341
UC_ID12,R_ID6589
UC_ID12,R_ID7953
UC_ID13,R_ID5588
UC_ID14,R_ID1280
UC_ID17,R_ID2448
UC_ID18,R_ID3048
UC_ID18,R_ID3397
UC_ID18,R_ID4032
UC_ID19,R_ID2738
UC_ID19,R_ID2798
UC_ID19,R_ID2996
UC_ID19,R_ID5230
UC_ID19,R_ID6600
UC_ID19,R_ID7657
UC_ID21,R_ID855
UC_ID22,R_ID1368
UC_ID22,R_ID1631
UC_ID22,R_ID2340
UC_ID22,R_ID4791
UC_ID22,R_ID5717
UC_ID22,R_ID6009
UC_ID22,R_ID6351
UC_ID23,R_ID149
UC_ID23,R_ID3144
UC_ID23,R_ID3547
UC_ID23,R_ID4602
UC_ID23,R_ID5759
UC_ID23,R_ID968
UC_ID24,R_ID3241
UC_ID24,R_ID5004
UC_ID24,R_ID6209
UC_ID24,R_ID7126
UC_ID24,R_ID78
UC_ID25,R_ID6148
UC_ID27,R_ID7920
UC_ID30,R_ID3097
UC_ID30,R_ID3190
UC_ID30,R_ID4410
UC_ID30,R_ID5904
UC_ID30,R_ID6384
UC_ID30,R_ID785
UC_ID31,R_ID2587
UC_ID33,R_ID1225
UC_ID33,R_ID1305
UC_ID33,R_ID1823
UC_ID33,R_ID2731
UC_ID33,R_ID2911
UC_ID34,R_ID2687
UC_ID34,R_ID3112
UC_ID34,R_ID3462
UC_ID35,R_ID2620
UC_ID35,R_ID338
UC_ID35,R_ID4381
UC_ID37,R_ID2837
UC_ID37,R_ID2969
UC_ID37,R_ID2978
UC_ID37,R_ID3813
UC_ID37,R_ID6080
UC_ID38,R_ID832
UC_ID39,R_ID4246
UC_ID40,R_ID2729
UC_ID42,R_ID136
UC_ID43,R_ID3852
UC_ID44,R_ID2468
UC_ID45,R_ID3749
UC_ID46,R_ID4763
UC_ID47,R_ID2179
UC_ID47,R_ID3203
UC_ID47,R_ID676
UC_ID47,R_ID7774
UC_ID48,R_ID5917
UC_ID49,R_ID137
UC_ID50,R_ID3762
UC_ID50,R_ID7037
UC_ID52,R_ID1823
UC_ID52,R_ID3142
UC_ID52,R_ID4236
UC_ID52,R_ID890
UC_ID53,R_ID1848
UC_ID53,R_ID371
UC_ID53,R_ID4196
UC_ID53,R_ID4577
UC_ID53,R_ID4894
UC_ID55,R_ID2090
UC_ID55,R_ID31
UC_ID55,R_ID5686
UC_ID56,R_ID5468
UC_ID57,R_ID6632
UC_ID59,R_ID4792
UC_ID59,R_ID6249
UC_ID60,R_ID2186
UC_ID60,R_ID4784
UC_ID60,R_ID6194
UC_ID61,R_ID7318
UC_ID62,R_ID4918
UC_ID64,R_ID5070
UC_ID64,R_ID6914
UC_ID64,R_ID6918
UC_ID65,R_ID3098
UC_ID66,R_ID6141
UC_ID66,R_ID739
UC_ID67,R_ID1943
UC_ID67,R_ID2821
UC_ID67,R_ID312
UC_ID67,R_ID3732
UC_ID67,R_ID55
UC_ID67,R_ID5692
UC_ID69,R_ID1870
UC_ID70,R_ID2635
UC_ID71,R_ID5772
UC_ID72,R_ID1833
UC_ID72,R_ID2172
UC_ID72,R_ID3065
UC_ID72,R_ID3997
UC_ID72,R_ID5715
UC_ID73,R_ID1870
UC_ID74,R_ID2690
UC_ID74,R_ID3699
UC_ID75,R_ID5486
UC_ID76,R_ID5386
UC_ID77,R_ID6986
UC_ID79,R_ID388
UC_ID80,R_ID3027
UC_ID80,R_ID5421
UC_ID80,R_ID6813
UC_ID81,R_ID1053
UC_ID81,R_ID1179
UC_ID81,R_ID3233
UC_ID81,R_ID5065
UC_ID81,R_ID6750
UC_ID82,R_ID141
UC_ID82,R_ID2453
UC_ID82,R_ID2624
UC_ID82,R_ID3161
UC_ID82,R_ID4016
UC_ID82,R_ID5722
UC_ID83,R_ID7079
UC_ID84,R_ID132
UC_ID84,R_ID3281
UC_ID84,R_ID3911
UC_ID84,R_ID4871
UC_ID84,R_ID513
UC_ID84,R_ID6756
UC_ID84,R_ID866
UC_ID88,R_ID1189
UC_ID88,R_ID3752
UC_ID88,R_ID7665
UC_ID89,R_ID2349
UC_ID89,R_ID4118
UC_ID89,R_ID511
UC_ID89,R_ID7766
UC_ID90,R_ID1376
UC_ID90,R_ID4331
UC_ID90,R_ID6030
UC_ID90,R_ID6771
UC_ID90,R_ID7282
UC_ID93,R_ID4613
UC_ID93,R_ID7450
UC_ID94,R_ID7472
UC_ID95,R_ID4396
UC_ID95,R_ID927
UC_ID96,R_ID2010
UC_ID96,R_ID4221
UC_ID96,R_ID4624
UC_ID96,R_ID5528
UC_ID97,R_ID4888
UC_ID97,R_ID5944
UC_ID98,R_ID1205
UC_ID98,R_ID1243
UC_ID98,R_ID1321
UC_ID98,R_ID2426
UC_ID98,R_ID2737
UC_ID98,R_ID5613
UC_ID98,R_ID851
UC_ID99,R_ID5629
UC_ID100,R_ID4520
UC_ID103,R_ID3925
UC_ID104,R_ID1326
UC_ID104,R_ID1987
UC_ID104,R_ID296
UC_ID104,R_ID316
UC_ID104,R_ID5775
UC_ID105,R_ID5830
UC_ID106,R_ID4692
