R_ID,UC_ID
R_ID1,UC_ID1077
R_ID1,UC_ID1108
R_ID1,UC_ID1362
R_ID1,UC_ID1466
R_ID1,UC_ID1674
R_ID1,UC_ID1853
R_ID1,UC_ID2459
R_ID1,UC_ID2615
R_ID1,UC_ID266
R_ID1,UC_ID2669
R_ID1,UC_ID2742
R_ID1,UC_ID2859
R_ID1,UC_ID327
R_ID1,UC_ID658
R_ID1,UC_ID963
R_ID2,UC_ID1175
R_ID2,UC_ID1222
R_ID2,UC_ID1504
R_ID2,UC_ID2616
R_ID2,UC_ID2693
R_ID2,UC_ID38
R_ID2,UC_ID759
R_ID2,UC_ID841
R_ID3,UC_ID1309
R_ID3,UC_ID1772
R_ID3,UC_ID2040
R_ID3,UC_ID2065
R_ID3,UC_ID552
R_ID3,UC_ID642
R_ID3,UC_ID778
R_ID3,UC_ID786
R_ID3,UC_ID885
R_ID3,UC_ID970
R_ID4,UC_ID1028
R_ID4,UC_ID133
R_ID4,UC_ID1430
R_ID4,UC_ID151
R_ID4,UC_ID1574
R_ID4,UC_ID1576
R_ID4,UC_ID178
R_ID4,UC_ID1841
R_ID4,UC_ID2352
R_ID4,UC_ID2465
R_ID4,UC_ID398
R_ID4,UC_ID435
R_ID4,UC_ID587
R_ID4,UC_ID64
R_ID4,UC_ID893
R_ID5,UC_ID1224
R_ID5,UC_ID1393
R_ID5,UC_ID1424
R_ID5,UC_ID1574
R_ID5,UC_ID2192
R_ID5,UC_ID2382
R_ID5,UC_ID2525
R_ID5,UC_ID2829
R_ID5,UC_ID2957
R_ID5,UC_ID2967
R_ID5,UC_ID340
R_ID5,UC_ID608
R_ID5,UC_ID978
R_ID6,UC_ID1211
R_ID6,UC_ID1270
R_ID6,UC_ID1745
R_ID6,UC_ID1914
R_ID6,UC_ID2014
R_ID6,UC_ID2313
R_ID6,UC_ID2324
R_ID6,UC_ID2537
R_ID6,UC_ID310
R_ID6,UC_ID55
R_ID7,UC_ID1035
R_ID7,UC_ID1061
R_ID7,UC_ID1145
R_ID7,UC_ID1475
R_ID7,UC_ID1496
R_ID7,UC_ID1550
R_ID7,UC_ID1697
R_ID7,UC_ID1904
R_ID7,UC_ID1963
R_ID7,UC_ID1967
R_ID7,UC_ID1970
R_ID7,UC_ID2145
R_ID7,UC_ID2494
R_ID7,UC_ID2529
R_ID7,UC_ID2532
R_ID7,UC_ID37
R_ID7,UC_ID422
R_ID7,UC_ID77
R_ID8,UC_ID1235
R_ID8,UC_ID1331
R_ID8,UC_ID1334
R_ID8,UC_ID1420
R_ID8,UC_ID1802
R_ID8,UC_ID2161
R_ID8,UC_ID2857
R_ID8,UC_ID426
R_ID8,UC_ID502
R_ID8,UC_ID643
R_ID8,UC_ID739
R_ID8,UC_ID990
R_ID8,UC_ID999
R_ID10,UC_ID1103
R_ID10,UC_ID150
R_ID10,UC_ID1593
R_ID10,UC_ID2036
R_ID10,UC_ID2077
R_ID10,UC_ID2187
R_ID10,UC_ID273
R_ID10,UC_ID2736
R_ID10,UC_ID2766
R_ID10,UC_ID2966
R_ID10,UC_ID457
R_ID10,UC_ID469
R_ID10,UC_ID519
R_ID10,UC_ID579
R_ID10,UC_ID589
R_ID10,UC_ID764
R_ID10,UC_ID826
R_ID10,UC_ID938
R_ID11,UC_ID1062
R_ID11,UC_ID1071
R_ID11,UC_ID1159
R_ID11,UC_ID1377
R_ID11,UC_ID1418
R_ID11,UC_ID1789
R_ID11,UC_ID1797
R_ID11,UC_ID1810
R_ID11,UC_ID1860
R_ID11,UC_ID199
R_ID11,UC_ID2162
R_ID11,UC_ID2747
R_ID11,UC_ID880
R_ID11,UC_ID91
R_ID11,UC_ID979
R_ID12,UC_ID1338
R_ID12,UC_ID1453
R_ID12,UC_ID1468
R_ID12,UC_ID1665
R_ID12,UC_ID1695
R_ID12,UC_ID1823
R_ID12,UC_ID1899
R_ID12,UC_ID2069
R_ID12,UC_ID210
R_ID12,UC_ID2259
R_ID12,UC_ID2499
R_ID12,UC_ID257
R_ID12,UC_ID2574
R_ID12,UC_ID2894
R_ID12,UC_ID810
R_ID12,UC_ID88
R_ID12,UC_ID907
R_ID13,UC_ID1143
R_ID13,UC_ID1247
R_ID13,UC_ID1386
R_ID13,UC_ID1449
R_ID13,UC_ID187
R_ID13,UC_ID2019
R_ID13,UC_ID2035
R_ID13,UC_ID2200
R_ID13,UC_ID23
R_ID13,UC_ID230
R_ID13,UC_ID2460
R_ID13,UC_ID2738
R_ID13,UC_ID2957
R_ID13,UC_ID571
R_ID13,UC_ID759
R_ID13,UC_ID844
R_ID13,UC_ID984
R_ID14,UC_ID1016
R_ID14,UC_ID1129
R_ID14,UC_ID1565
R_ID14,UC_ID1581
R_ID14,UC_ID1957
R_ID14,UC_ID1998
R_ID14,UC_ID2065
R_ID14,UC_ID2071
R_ID14,UC_ID2178
R_ID14,UC_ID2480
R_ID14,UC_ID2587
R_ID14,UC_ID2859
R_ID14,UC_ID2952
R_ID14,UC_ID2964
R_ID14,UC_ID3
R_ID14,UC_ID661
R_ID14,UC_ID664
R_ID14,UC_ID899
R_ID15,UC_ID1155
R_ID15,UC_ID1204
R_ID15,UC_ID1657
R_ID15,UC_ID183
R_ID15,UC_ID1946
R_ID15,UC_ID218
R_ID15,UC_ID2195
R_ID15,UC_ID235
R_ID15,UC_ID2706
R_ID15,UC_ID2747
R_ID15,UC_ID419
R_ID15,UC_ID516
R_ID15,UC_ID65
R_ID15,UC_ID859
R_ID16,UC_ID1005
R_ID16,UC_ID1436
