TC_ID,TC_NAME,TC_LTR,TC_CS
TC_ID1,TC_NAME22249,2015-06-16,Passed
TC_ID2,TC_NAME11014,2015-06-24,Passed
TC_ID3,TC_NAME8179,2015-06-10,Passed
TC_ID4,TC_NAME22962,2015-06-05,Passed
TC_ID5,TC_NAME11642,2015-06-15,Passed
TC_ID6,TC_NAME1593,2015-06-03,Passed
TC_ID7,TC_NAME25221,2015-06-17,Passed
TC_ID8,TC_NAME25234,2015-06-29,Passed
TC_ID9,TC_NAME1204,2015-06-04,Passed
TC_ID10,TC_NAME10316,2015-06-30,Passed
TC_ID11,TC_NAME20266,2015-07-03,Passed
TC_ID12,TC_NAME19807,2015-06-30,Passed
TC_ID13,TC_NAME13369,2015-06-16,Passed
TC_ID14,TC_NAME18343,2015-06-30,Passed
TC_ID15,TC_NAME184,2015-06-24,Passed
TC_ID16,TC_NAME22290,2015-07-02,Passed
TC_ID17,TC_NAME9872,2015-07-02,Passed
TC_ID18,TC_NAME25245,2015-07-09,Passed
TC_ID19,TC_NAME17559,2015-07-01,Passed
TC_ID20,TC_NAME6495,2015-07-02,Passed
TC_ID21,TC_NAME13773,2015-06-23,Passed
TC_ID22,TC_NAME17942,2015-07-06,Passed
TC_ID23,TC_NAME2969,2015-06-18,Passed
TC_ID24,TC_NAME25566,2015-06-19,Passed
TC_ID25,TC_NAME9599,2015-06-11,Passed
TC_ID26,TC_NAME19014,2015-06-30,Passed
TC_ID27,TC_NAME17214,2015-07-07,Passed
TC_ID28,TC_NAME24698,2015-06-29,Passed
TC_ID29,TC_NAME10546,2015-06-01,Passed
TC_ID30,TC_NAME13438,2015-06-15,Passed
TC_ID31,TC_NAME7040,2015-06-26,Passed
TC_ID32,TC_NAME14160,2015-07-10,Passed
TC_ID33,TC_NAME18858,2015-06-02,Passed
TC_ID34,TC_NAME8253,2015-06-10,Passed
TC_ID35,TC_NAME9266,2015-06-23,Passed
TC_ID36,TC_NAME2710,2015-07-02,Passed
TC_ID37,TC_NAME13269,2015-07-07,Passed
TC_ID38,TC_NAME6120,2015-06-29,Passed
TC_ID39,TC_NAME23529,2015-06-02,Passed
TC_ID40,TC_NAME11778,2015-07-09,Passed
TC_ID41,TC_NAME5351,2015-07-01,Passed
TC_ID42,TC_NAME14130,2015-06-25,Passed
TC_ID43,TC_NAME18243,2015-06-08,Passed
TC_ID44,TC_NAME21550,2015-06-15,Passed
TC_ID45,TC_NAME10277,2015-07-14,Passed
TC_ID46,TC_NAME6987,2015-07-09,Passed
TC_ID47,TC_NAME12918,2015-07-07,Passed
TC_ID48,TC_NAME9594,2015-06-15,Passed
TC_ID49,TC_NAME23051,2015-06-24,Passed
TC_ID50,TC_NAME24281,2015-06-29,Passed
TC_ID51,TC_NAME21945,2015-07-06,Passed
TC_ID52,TC_NAME18189,2015-06-22,Passed
TC_ID53,TC_NAME25336,2015-06-04,Passed
TC_ID54,TC_NAME8689,2015-07-10,Passed
TC_ID55,TC_NAME19896,2015-06-18,Passed
TC_ID56,TC_NAME10137,2015-06-02,Passed
TC_ID57,TC_NAME18421,2015-07-15,Passed
TC_ID58,TC_NAME16482,2015-06-15,Passed
TC_ID59,TC_NAME6777,2015-06-11,Passed
TC_ID60,TC_NAME5106,2015-06-26,Passed
TC_ID61,TC_NAME8075,2015-06-22,Passed
TC_ID62,TC_NAME1387,2015-07-06,Passed
TC_ID63,TC_NAME5944,2015-06-23,Passed
TC_ID64,TC_NAME2290,2015-06-04,Passed
TC_ID65,TC_NAME4105,2015-06-02,Passed
TC_ID66,TC_NAME17258,2015-06-08,Passed
TC_ID67,TC_NAME10303,2015-06-11,Passed
TC_ID68,TC_NAME9505,2015-06-11,Passed
TC_ID69,TC_NAME10772,2015-06-22,Passed
TC_ID70,TC_NAME23926,2015-07-15,Passed
TC_ID71,TC_NAME12672,2015-06-17,Passed
TC_ID72,TC_NAME5523,2015-06-02,Passed
TC_ID73,TC_NAME21918,2015-06-16,Passed
TC_ID74,TC_NAME5794,2015-06-18,Passed
TC_ID75,TC_NAME18027,2015-07-09,Passed
TC_ID76,TC_NAME23569,2015-06-26,Passed
TC_ID77,TC_NAME17717,2015-07-09,Passed
TC_ID78,TC_NAME15444,2015-06-08,Passed
TC_ID79,TC_NAME3825,2015-06-11,Passed
TC_ID80,TC_NAME926,2015-07-06,Passed
TC_ID81,TC_NAME25146,2015-06-01,Passed
TC_ID82,TC_NAME6664,2015-07-13,Passed
TC_ID83,TC_NAME22086,2015-07-06,Passed
TC_ID84,TC_NAME1062,2015-06-30,Passed
TC_ID85,TC_NAME2950,2015-07-13,Passed
TC_ID86,TC_NAME14234,2015-07-03,Passed
