UC_ID,UC_TITLE,UC_PrC,UC_PoC,UC_STEPS
UC_ID1,Clinician Authentication Failure0,UC_ID1947,UC_ID1640,Maximum Safe Dose0
UC_ID2,Air-in-line Embolism0,UC_ID2824,UC_ID1253,Drug Library Hard Limit0
UC_ID3,Drug Library Hard Limit0,UC_ID887,UC_ID215,Drug Library Soft Limit0
UC_ID4,ICE Failure0,UC_ID1676,UC_ID24,Downstream Occlusion0
UC_ID5,Patient Authentication Failure0,UC_ID1378,UC_ID1582,Under-Flow Rate Alarm0
UC_ID6,Upstream Occlusion0,UC_ID1701,UC_ID1572,Patient Authentication Failure0
UC_ID7,Sound Failure0,UC_ID857,UC_ID1875,Sound Failure0
UC_ID8,Over-Flow Rate Alarm0,UC_ID1155,UC_ID708,Clinician Authentication Failure0
UC_ID9,Drug Library Soft Limit0,UC_ID692,UC_ID1337,Over-Flow Rate Alarm0
UC_ID10,Bolus request too soon0,UC_ID807,UC_ID645,Prescription Authentication Failure0
UC_ID11,Prescription Authentication Failure0,UC_ID2052,UC_ID1485,Air-in-line Embolism0
UC_ID12,Pump Overheating0,UC_ID420,UC_ID2887,Pump Priming Failure0
UC_ID13,Drug Library Not Present or Corrupted0,UC_ID864,UC_ID2711,Upstream Occlusion0
UC_ID14,Downstream Occlusion0,UC_ID1756,UC_ID850,Drug Library Not Present or Corrupted0
UC_ID15,Power-On Self Test Failure0,UC_ID2871,UC_ID19,Pump Overheating0
UC_ID16,Maximum Safe Dose0,UC_ID2176,UC_ID1287,ICE Failure0
UC_ID17,Pump Priming Failure0,UC_ID2010,UC_ID1105,Bolus request too soon0
UC_ID18,Internal Electronic Failure0,UC_ID2047,UC_ID806,Power-On Self Test Failure0
UC_ID19,Under-Flow Rate Alarm0,UC_ID2702,UC_ID2624,Internal Electronic Failure0
UC_ID20,Downstream Occlusion1,UC_ID142,UC_ID841,Pump Priming Failure1
UC_ID21,Internal Electronic Failure1,UC_ID2167,UC_ID1975,Clinician Authentication Failure1
UC_ID22,Power-On Self Test Failure1,UC_ID841,UC_ID1122,Drug Library Hard Limit1
UC_ID23,Drug Library Hard Limit1,UC_ID2110,UC_ID996,Upstream Occlusion1
UC_ID24,Drug Library Soft Limit1,UC_ID779,UC_ID1985,Prescription Authentication Failure1
UC_ID25,Pump Priming Failure1,UC_ID2402,UC_ID2765,Patient Authentication Failure1
UC_ID26,Pump Overheating1,UC_ID1233,UC_ID2191,Air-in-line Embolism1
UC_ID27,Drug Library Not Present or Corrupted1,UC_ID853,UC_ID1350,ICE Failure1
