CLASSNAME,SUBCOMPONENTID
PCA88,SCP2
PCA3948,SCP2
PCA9306,SCP2
PCA1560,SCP6
PCA5370,SCP6
PCA2299,SCP6
PCA41,SCP7
PCA1590,SCP10
PCA5700,SCP10
PCA5451,SCP10
PCA20,SCP12
PCA51,SCP13
PCA9510,SCP14
PCA4683,SCP14
PCA7908,SCP14
PCA11,SCP18
PCA6,SCP20
PCA66,SCP28
PCA5989,SCP28
PCA1672,SCP28
PCA5985,SCP36
PCA9250,SCP36
PCA9675,SCP36
PCA9613,SCP39
PCA4970,SCP39
PCA1665,SCP39
PCA52,SCP41
PCA28,SCP43
PCA7568,SCP44
PCA7303,SCP44
PCA9468,SCP44
PCA1720,SCP45
PCA9590,SCP45
PCA3242,SCP45
PCA1238,SCP46
PCA4864,SCP46
PCA9075,SCP46
PCA60,SCP47
PCA7003,SCP49
PCA6041,SCP49
PCA7431,SCP49
PCA6936,SCP50
PCA3568,SCP50
PCA4058,SCP50
PCA56,SCP52
PCA43,SCP56
PCA9377,SCP59
PCA8628,SCP59
PCA9063,SCP59
PCA31,SCP60
PCA41,SCP61
PCA54,SCP62
PCA54,SCP64
PCA10,SCP65
PCA427,SCP67
PCA3153,SCP67
PCA1150,SCP67
PCA51,SCP68
PCA67,SCP69
PCA43,SCP70
PCA30,SCP72
PCA15,SCP77
PCA69,SCP80
PCA7089,SCP82
PCA8081,SCP82
PCA5184,SCP82
PCA14,SCP83
PCA567,SCP84
PCA7280,SCP84
PCA832,SCP84
PCA3921,SCP85
PCA5544,SCP85
PCA3137,SCP85
PCA6,SCP87
PCA3991,SCP88
PCA1009,SCP88
PCA1287,SCP88
PCA2077,SCP89
PCA4012,SCP89
PCA4312,SCP89
PCA7438,SCP90
PCA7948,SCP90
PCA2125,SCP90
PCA3027,SCP91
PCA7425,SCP91
PCA9123,SCP91
PCA24,SCP97
PCA56,SCP98
PCA4,SCP99
PCA9122,SCP100
PCA5026,SCP100
PCA8656,SCP100
PCA54,SCP102
PCA66,SCP104
PCA7,SCP106
PCA9,SCP111
PCA736,SCP113
PCA927,SCP113
PCA9071,SCP113
PCA5512,SCP117
PCA8971,SCP117
PCA7536,SCP117
PCA6269,SCP118
PCA2443,SCP118
PCA4362,SCP118
PCA37,SCP119
PCA11,SCP121
PCA62,SCP126
PCA60,SCP131
PCA9560,SCP132
PCA4159,SCP132
PCA383,SCP132
PCA3587,SCP133
PCA2734,SCP133
PCA334,SCP133
PCA1,SCP134
PCA3729,SCP137
PCA3791,SCP137
PCA2748,SCP137
PCA44,SCP140
PCA37,SCP141
PCA69,SCP142
PCA1851,SCP148
PCA8612,SCP148
PCA2072,SCP148
PCA58,SCP150
PCA57,SCP151
PCA18,SCP152
PCA5523,SCP158
PCA9324,SCP158
PCA5922,SCP158
PCA7494,SCP159
PCA9080,SCP159
PCA5938,SCP159
PCA373,SCP160
PCA9798,SCP160
PCA494,SCP160
PCA2645,SCP162
PCA7180,SCP162
PCA8658,SCP162
PCA7647,SCP164
PCA4004,SCP164
PCA9520,SCP164
PCA12,SCP167
PCA42,SCP168
PCA22,SCP169
PCA54,SCP171
PCA1356,SCP176
PCA964,SCP176
PCA7266,SCP176
PCA1343,SCP183
PCA3235,SCP183
PCA2910,SCP183
PCA56,SCP191
PCA6322,SCP192
PCA3872,SCP192
PCA3126,SCP192
PCA18,SCP193
PCA64,SCP196
PCA2148,SCP197
PCA2655,SCP197
PCA5594,SCP197
PCA41,SCP198
PCA5654,SCP199
PCA8798,SCP199
PCA949,SCP199
PCA54,SCP200
PCA63,SCP201
PCA63,SCP202
PCA4651,SCP205
PCA1188,SCP205
PCA8867,SCP205
PCA1250,SCP206
PCA8053,SCP206
PCA6121,SCP206
PCA3061,SCP209
PCA6997,SCP209
PCA6930,SCP209
PCA52,SCP210
PCA5286,SCP213
PCA5864,SCP213
