"SUBCOMPONENTID","COMPONENTID"
"SCP2","CP46"
"SCP5","CP9"
"SCP8","CP5"
"SCP9","CP9"
"SCP10","CP18"
"SCP11","CP8294"
"SCP11","CP63"
"SCP11","CP4024"
"SCP14","CP2616"
"SCP14","CP6490"
"SCP14","CP8383"
"SCP15","CP5132"
"SCP15","CP5692"
"SCP15","CP5502"
"SCP17","CP9"
"SCP19","CP442"
"SCP19","CP2022"
"SCP19","CP9353"
"SCP29","CP6837"
"SCP29","CP5331"
"SCP29","CP925"
"SCP31","CP6920"
"SCP31","CP8175"
"SCP31","CP6670"
"SCP33","CP457"
"SCP33","CP9446"
"SCP33","CP498"
"SCP38","CP3505"
"SCP38","CP2472"
"SCP38","CP1609"
"SCP41","CP61"
"SCP42","CP49"
"SCP43","CP6602"
"SCP43","CP987"
"SCP43","CP5354"
"SCP44","CP33"
"SCP49","CP4240"
"SCP49","CP8927"
"SCP49","CP9133"
"SCP53","CP45"
"SCP55","CP5947"
"SCP55","CP4623"
"SCP55","CP7401"
"SCP57","CP6143"
"SCP57","CP9350"
"SCP57","CP6539"
"SCP59","CP27"
"SCP62","CP2983"
"SCP62","CP6138"
"SCP62","CP5477"
"SCP66","CP68"
"SCP71","CP8"
"SCP75","CP42"
"SCP77","CP51"
"SCP82","CP66"
"SCP83","CP6220"
"SCP83","CP1647"
"SCP83","CP1662"
"SCP84","CP20"
"SCP86","CP9936"
"SCP86","CP909"
"SCP86","CP7634"
"SCP91","CP53"
"SCP92","CP58"
"SCP94","CP9052"
"SCP94","CP8167"
"SCP94","CP1802"
"SCP97","CP8073"
"SCP97","CP4981"
"SCP97","CP9587"
"SCP102","CP11"
"SCP106","CP5194"
"SCP106","CP4646"
"SCP106","CP1440"
"SCP110","CP7923"
"SCP110","CP1055"
"SCP110","CP1684"
"SCP112","CP2311"
"SCP112","CP4339"
"SCP112","CP9625"
"SCP116","CP19"
"SCP118","CP63"
"SCP120","CP54"
"SCP124","CP8388"
"SCP124","CP9184"
"SCP124","CP2743"
"SCP125","CP13"
"SCP129","CP1902"
"SCP129","CP130"
"SCP129","CP2987"
"SCP131","CP9926"
"SCP131","CP2086"
"SCP131","CP353"
"SCP132","CP1"
"SCP141","CP23"
"SCP145","CP66"
"SCP147","CP9039"
"SCP147","CP7271"
"SCP147","CP6841"
"SCP148","CP946"
"SCP148","CP4169"
"SCP148","CP8058"
"SCP149","CP32"
"SCP153","CP6365"
"SCP153","CP3831"
"SCP153","CP4075"
"SCP159","CP9329"
"SCP159","CP2972"
"SCP159","CP5239"
"SCP163","CP9224"
"SCP163","CP1974"
"SCP163","CP3942"
"SCP164","CP7"
"SCP166","CP7656"
"SCP166","CP5671"
"SCP166","CP121"
"SCP167","CP7689"
"SCP167","CP943"
"SCP167","CP8439"
"SCP169","CP5594"
"SCP169","CP6317"
"SCP169","CP4249"
"SCP171","CP2285"
"SCP171","CP3135"
"SCP171","CP6475"
"SCP173","CP34"
"SCP174","CP7544"
"SCP174","CP114"
"SCP174","CP4354"
"SCP177","CP38"
"SCP178","CP20"
"SCP180","CP6818"
"SCP180","CP2825"
"SCP180","CP4509"
"SCP181","CP7900"
"SCP181","CP6993"
"SCP181","CP643"
"SCP182","CP5773"
"SCP182","CP695"
"SCP182","CP8972"
"SCP184","CP2610"
"SCP184","CP8805"
"SCP184","CP7238"
"SCP185","CP8961"
"SCP185","CP3072"
"SCP185","CP9386"
"SCP189","CP59"
"SCP190","CP59"
"SCP195","CP57"
"SCP197","CP42"
"SCP198","CP66"
"SCP204","CP2871"
"SCP204","CP1035"
"SCP204","CP3718"
"SCP205","CP56"
"SCP206","CP48"
"SCP208","CP782"
"SCP208","CP3478"
"SCP208","CP928"
"SCP209","CP8547"
"SCP209","CP1549"
"SCP209","CP3685"
"SCP211","CP61"
"SCP213","CP64"
"SCP216","CP52"
"SCP217","CP4098"
"SCP217","CP2432"
"SCP217","CP6810"
"SCP218","CP50"
"SCP222","CP1"
"SCP228","CP29"
"SCP231","CP9709"
"SCP231","CP5166"
"SCP231","CP305"
"SCP243","CP67"
"SCP247","CP25"
"SCP248","CP4"
"SCP249","CP14"
"SCP252","CP44"
"SCP253","CP2"
"SCP254","CP6802"
"SCP254","CP9899"
"SCP254","CP1332"
"SCP255","CP3147"
"SCP255","CP4351"
"SCP255","CP419"
"SCP256","CP693"
"SCP256","CP658"
"SCP256","CP1510"
"SCP258","CP6231"
"SCP258","CP4336"
"SCP258","CP2302"
"SCP259","CP125"
"SCP259","CP7010"
"SCP259","CP8952"
"SCP260","CP1457"
"SCP260","CP7900"
"SCP260","CP6098"
"SCP262","CP40"
"SCP263","CP6094"
"SCP263","CP371"
"SCP263","CP2288"
"SCP265","CP4978"
"SCP265","CP6825"
"SCP265","CP6875"
"SCP267","CP36"
"SCP268","CP58"
"SCP272","CP37"
"SCP274","CP1334"
"SCP274","CP1111"
"SCP274","CP8058"
"SCP275","CP20"
"SCP278","CP7040"
"SCP278","CP3479"
"SCP278","CP570"
"SCP284","CP4463"
"SCP284","CP1084"
"SCP284","CP4020"
"SCP290","CP5961"
"SCP290","CP7619"
"SCP290","CP9816"
"SCP291","CP7365"
"SCP291","CP1556"
"SCP291","CP2729"
"SCP292","CP70"
"SCP294","CP55"
"SCP295","CP7"
"SCP296","CP55"
"SCP298","CP2823"
"SCP298","CP6775"
"SCP298","CP5125"
"SCP300","CP1862"
"SCP300","CP7207"
"SCP300","CP3894"
"SCP301","CP24"
"SCP304","CP6232"
"SCP304","CP5822"
"SCP304","CP4767"
"SCP305","CP2619"
"SCP305","CP3965"
"SCP305","CP6456"
"SCP308","CP5509"
"SCP308","CP6620"
"SCP308","CP5615"
"SCP310","CP8919"
"SCP310","CP6297"
"SCP310","CP9382"
"SCP313","CP5993"
"SCP313","CP6456"
"SCP313","CP857"
"SCP314","CP9"
"SCP317","CP22"
"SCP318","CP9108"
"SCP318","CP4972"
"SCP318","CP4742"
"SCP319","CP3085"
"SCP319","CP1384"
"SCP319","CP7908"
"SCP326","CP16"
"SCP327","CP5452"
"SCP327","CP4328"
"SCP327","CP8445"
"SCP331","CP6"
"SCP332","CP35"
"SCP336","CP65"
"SCP340","CP18"
"SCP342","CP8162"
"SCP342","CP6248"
"SCP342","CP6003"
"SCP347","CP56"
"SCP348","CP2"
"SCP353","CP3749"
"SCP353","CP9411"
"SCP353","CP609"
"SCP356","CP6900"
"SCP356","CP40"
"SCP356","CP3660"
"SCP357","CP7"
"SCP358","CP4291"
"SCP358","CP2847"
"SCP358","CP5573"
"SCP359","CP3"
"SCP362","CP53"
"SCP363","CP61"
"SCP364","CP3233"
"SCP364","CP6990"
"SCP364","CP9325"
"SCP371","CP9708"
"SCP371","CP774"
"SCP371","CP3807"
"SCP372","CP20"
"SCP374","CP98"
"SCP374","CP5606"
"SCP374","CP6899"
"SCP375","CP24"
"SCP377","CP8"
"SCP378","CP1775"
"SCP378","CP5593"
"SCP378","CP6338"
"SCP380","CP44"
"SCP381","CP13"
"SCP382","CP32"
"SCP384","CP5004"
"SCP384","CP4925"
"SCP384","CP9910"
"SCP386","CP762"
"SCP386","CP8592"
"SCP386","CP364"
"SCP387","CP41"
"SCP390","CP6462"
"SCP390","CP6722"
"SCP390","CP123"
"SCP392","CP8369"
"SCP392","CP1265"
"SCP392","CP5038"
"SCP393","CP29"
"SCP394","CP1325"
"SCP394","CP7535"
"SCP394","CP9442"
"SCP395","CP9093"
"SCP395","CP9898"
"SCP395","CP8232"
"SCP400","CP1064"
"SCP400","CP3335"
"SCP400","CP1958"
"SCP403","CP6871"
"SCP403","CP4929"
"SCP403","CP9637"
"SCP404","CP9397"
"SCP404","CP7441"
"SCP404","CP9715"
"SCP405","CP65"
"SCP407","CP6161"
"SCP407","CP2825"
"SCP407","CP3838"
"SCP417","CP1739"
"SCP417","CP9366"
"SCP417","CP7194"
"SCP418","CP52"
"SCP420","CP3445"
"SCP420","CP9869"
"SCP420","CP3288"
"SCP422","CP3778"
"SCP422","CP6331"
"SCP422","CP9504"
"SCP424","CP5924"
"SCP424","CP2393"
"SCP424","CP7008"
"SCP425","CP17"
"SCP428","CP6056"
"SCP428","CP6235"
"SCP428","CP7177"
"SCP429","CP7090"
"SCP429","CP472"
"SCP429","CP9594"
"SCP430","CP62"
"SCP431","CP70"
"SCP432","CP1"
"SCP434","CP1818"
"SCP434","CP5552"
"SCP434","CP5399"
"SCP435","CP12"
"SCP442","CP4532"
"SCP442","CP7284"
"SCP442","CP6045"
"SCP447","CP31"
"SCP449","CP53"
"SCP451","CP8"
"SCP458","CP49"
"SCP460","CP48"
"SCP463","CP4"
"SCP464","CP6978"
"SCP464","CP3336"
"SCP464","CP8359"
"SCP466","CP4845"
"SCP466","CP4112"
"SCP466","CP3939"
"SCP468","CP1266"
"SCP468","CP5390"
"SCP468","CP2126"
"SCP470","CP43"
"SCP472","CP7550"
"SCP472","CP3261"
"SCP472","CP3720"
"SCP473","CP47"
"SCP474","CP3237"
"SCP474","CP9536"
"SCP474","CP2966"
"SCP475","CP6"
"SCP482","CP12"
"SCP484","CP1242"
"SCP484","CP5583"
"SCP484","CP4368"
"SCP485","CP7756"
"SCP485","CP2150"
"SCP485","CP3727"
"SCP487","CP3245"
"SCP487","CP5703"
"SCP487","CP8305"
"SCP489","CP3530"
"SCP489","CP193"
"SCP489","CP8322"
"SCP490","CP7682"
"SCP490","CP1391"
"SCP490","CP6545"
"SCP495","CP49"
"SCP499","CP58"
"SCP500","CP8165"
"SCP500","CP7509"
"SCP500","CP505"
"SCP504","CP8630"
"SCP504","CP2118"
"SCP504","CP4857"
"SCP506","CP8081"
"SCP506","CP6076"
"SCP506","CP2836"
"SCP507","CP41"
"SCP508","CP26"
"SCP511","CP62"
"SCP516","CP2884"
"SCP516","CP8491"
"SCP516","CP1892"
"SCP520","CP63"
"SCP521","CP8391"
"SCP521","CP2723"
"SCP521","CP1976"
"SCP522","CP6"
"SCP523","CP8319"
"SCP523","CP3055"
"SCP523","CP2782"
"SCP525","CP6606"
"SCP525","CP9309"
"SCP525","CP686"
"SCP526","CP62"
"SCP527","CP4234"
"SCP527","CP3040"
"SCP527","CP114"
"SCP532","CP12"
"SCP534","CP7"
"SCP535","CP27"
"SCP539","CP598"
"SCP539","CP903"
