"COMPONENTID","ID"
"CP1","R6.4.0(6)"
"CP1","R4.1.0(1)"
"CP1","R6.1.0(1)"
"CP2","R4.1.0(1)"
"CP6","R6.4.0(6)"
"CP10","R5.9.0(6)"
"CP10","R6.5.0(1)"
"CP10","R5.1.0(1)"
"CP14","R6.2.0(8)"
"CP20","R6.4.0(1)"
"CP20","R6.3.0(8)"
"CP20","R5.8.0(1)"
"CP22","R5.7.0(5)"
"CP24","R5.9.0(6)"
"CP24","R5.5.0(1)"
"CP24","R6.2.0(8)"
"CP26","R6.3.0(8)"
"CP26","R5.8.0(1)"
"CP26","R6.2.0(8)"
"CP28","R5.9.0(6)"
"CP28","R5.1.0(1)"
"CP28","R6.4.0(1)"
"CP31","R5.7.0(5)"
"CP31","R6.3.0(9)"
"CP31","R6.4.0(7)"
"CP34","R6.4.0(7)"
"CP37","R6.1.0(1)"
"CP37","R5.8.0(1)"
"CP37","R5.4.4(3)"
"CP38","R6.3.0(1)"
"CP42","R6.2.0(1)"
"CP43","R6.4.0(1)"
"CP46","R5.8.0(9)"
"CP46","R5.8.0(1)"
"CP46","R6.5.0(1)"
"CP47","R6.3.0(8)"
"CP49","R7.3.0(4)"
"CP49","R6.4.0(7)"
"CP49","R5.1.0(1)"
"CP51","R4.1.0(1)"
"CP52","R6.2.0(8)"
"CP52","R4.1.0(2)"
"CP52","R5.9.0(6)"
"CP54","R6.4.0(7)"
"CP54","R5.6.0(1)"
"CP54","R5.1.0(1)"
"CP56","R5.4.4(3)"
"CP57","R5.6.0(1)"
"CP57","R5.5.0(9)"
"CP57","R6.1.0(1)"
"CP63","R4.1.0(1)"
"CP63","R6.4.0(1)"
"CP63","R6.4.0(6)"
"CP64","R6.2.0(8)"
"CP64","R6.4.0(6)"
"CP64","R5.5.0(9)"
"CP65","R6.4.0(7)"
"CP65","R6.2.0(8)"
"CP65","R5.9.0(6)"
"CP68","R6.1.0(1)"
"CP71","R6.2.0(8)"
"CP72","R5.9.0(6)"
"CP72","R6.1.0(1)"
"CP72","R4.1.0(2)"
"CP73","R6.1.0(1)"
"CP75","R6.4.0(1)"
"CP75","R4.1.0(1)"
"CP75","R6.2.0(8)"
"CP76","R5.9.0(1)"
"CP78","R6.4.0(7)"
"CP79","R6.4.0(1)"
"CP79","R5.8.0(1)"
"CP79","R5.7.0(1)"
"CP80","R6.3.0(9)"
"CP80","R5.5.0(9)"
"CP80","R5.6.0(1)"
"CP82","R6.4.0(6)"
"CP82","R6.3.0(9)"
"CP82","R5.4.4(3)"
"CP84","R5.6.0(1)"
"CP84","R6.4.0(6)"
"CP84","R6.3.0(8)"
"CP87","R5.9.0(6)"
"CP88","R5.5.0(1)"
"CP94","R5.5.0(9)"
"CP97","R6.4.0(7)"
"CP97","R5.8.0(9)"
"CP97","R6.5.0(1)"
"CP100","R5.9.0(6)"
"CP100","R5.7.0(5)"
"CP100","R6.3.0(9)"
"CP102","R6.2.0(1)"
"CP102","R4.1.0(1)"
"CP102","R5.6.0(8)"
"CP103","R7.3.0(4)"
"CP104","R4.1.0(2)"
"CP104","R6.3.0(8)"
"CP104","R5.7.0(1)"
"CP106","R5.7.0(5)"
"CP106","R6.2.0(8)"
"CP106","R4.1.0(2)"
"CP107","R6.5.0(1)"
"CP108","R7.3.0(4)"
"CP108","R7.1.0(3)"
"CP108","R5.4.4(3)"
"CP109","R6.3.0(1)"
"CP109","R6.4.0(1)"
"CP109","R5.9.0(1)"
"CP111","R6.2.0(1)"
"CP112","R6.5.0(1)"
"CP112","R6.3.0(1)"
"CP112","R4.1.0(2)"
"CP118","R4.1.0(1)"
"CP121","R5.6.0(8)"
"CP125","R5.5.0(1)"
"CP131","R6.3.0(1)"
"CP131","R5.9.0(6)"
"CP131","R4.1.0(1)"
"CP133","R6.3.0(1)"
"CP133","R5.7.0(5)"
"CP133","R5.9.0(6)"
"CP139","R5.9.0(6)"
"CP139","R6.3.0(1)"
"CP139","R6.3.0(8)"
"CP140","R4.1.0(1)"
"CP143","R5.8.0(1)"
"CP144","R7.3.0(4)"
"CP145","R7.1.0(3)"
"CP145","R6.3.0(1)"
"CP145","R5.8.0(1)"
"CP146","R6.1.0(1)"
"CP148","R5.8.0(9)"
"CP149","R4.1.0(2)"
"CP151","R4.1.0(2)"
"CP152","R6.3.0(8)"
"CP152","R7.3.0(4)"
"CP152","R6.2.0(1)"
"CP153","R5.8.0(1)"
"CP153","R6.2.0(8)"
"CP153","R7.1.0(3)"
"CP154","R7.1.0(3)"
